,Team1,1pts,Team2,2pts
0,Houston Rockets,118,Orlando Magic,110
1,Indiana Pacers,93,Toronto Raptors,81
2,New York Knicks,96,Washington Wizards,88
3,Golden State Warriors,86,Boston Celtics,94
4,Los Angeles Clippers,105,Cleveland Cavaliers,89
5,Dallas Mavericks,98,Brooklyn Nets,90
6,Memphis Grizzlies,91,Miami Heat,98
7,Detroit Pistons,95,New Orleans Hornets,100
8,Sacramento Kings,102,San Antonio Spurs,130
9,Atlanta Hawks,87,Phoenix Suns,92
10,Charlotte Bobcats,68,Utah Jazz,98
11,Oklahoma City Thunder,103,Denver Nuggets,105
12,Golden State Warriors,97,Philadelphia 76ers,104
13,Brooklyn Nets,85,Chicago Bulls,96
14,Toronto Raptors,114,Milwaukee Bucks,122
15,Minnesota Timberwolves,94,Portland Trail Blazers,109
16,Miami Heat,99,New York Knicks,93
17,Oklahoma City Thunder,108,Los Angeles Clippers,104
18,Memphis Grizzlies,108,Orlando Magic,82
19,Charlotte Bobcats,83,Sacramento Kings,119
20,Philadelphia 76ers,87,Washington Wizards,90
21,Dallas Mavericks,103,Houston Rockets,136
22,Detroit Pistons,75,San Antonio Spurs,114
23,Chicago Bulls,92,Indiana Pacers,97
24,Atlanta Hawks,98,Los Angeles Lakers,99
25,New York Knicks,102,Cleveland Cavaliers,97
26,Utah Jazz,108,Milwaukee Bucks,109
27,Miami Heat,97,Minnesota Timberwolves,81
28,Orlando Magic,105,New Orleans Hornets,102
29,Atlanta Hawks,88,Denver Nuggets,104
30,Charlotte Bobcats,105,Portland Trail Blazers,122
31,Toronto Raptors,118,Golden State Warriors,125
32,Boston Celtics,109,Philadelphia 76ers,101
33,Los Angeles Lakers,105,Oklahoma City Thunder,122
34,Denver Nuggets,120,Sacramento Kings,113
35,Brooklyn Nets,99,Charlotte Bobcats,78
36,Utah Jazz,101,Cleveland Cavaliers,104
37,Boston Celtics,83,Indiana Pacers,81
38,Philadelphia 76ers,96,Atlanta Hawks,107
39,New York Knicks,87,Detroit Pistons,77
40,Orlando Magic,96,Miami Heat,97
41,Portland Trail Blazers,85,Memphis Grizzlies,91
42,Washington Wizards,82,Minnesota Timberwolves,87
43,Los Angeles Lakers,108,New Orleans Hornets,102
44,Houston Rockets,108,Dallas Mavericks,112
45,Toronto Raptors,98,Phoenix Suns,71
46,Chicago Bulls,83,San Antonio Spurs,101
47,Sacramento Kings,83,Golden State Warriors,87
48,Milwaukee Bucks,101,Los Angeles Clippers,117
49,Oklahoma City Thunder,95,New York Knicks,94
50,Los Angeles Clippers,92,Denver Nuggets,107
51,Oklahoma City Thunder,116,Charlotte Bobcats,94
52,Indiana Pacers,115,Orlando Magic,86
53,Washington Wizards,78,Brooklyn Nets,95
54,Memphis Grizzlies,103,Cleveland Cavaliers,92
55,Dallas Mavericks,102,Detroit Pistons,99
56,Atlanta Hawks,102,Boston Celtics,107
57,Utah Jazz,88,Chicago Bulls,89
58,Philadelphia 76ers,93,Miami Heat,102
59,Portland Trail Blazers,136,San Antonio Spurs,106
60,Phoenix Suns,112,Sacramento Kings,121
61,Houston Rockets,94,Golden State Warriors,88
62,Toronto Raptors,116,Los Angeles Lakers,118
63,Brooklyn Nets,93,Atlanta Hawks,80
64,Utah Jazz,84,New York Knicks,113
65,New Orleans Hornets,85,Memphis Grizzlies,96
66,Charlotte Bobcats,87,Washington Wizards,104
67,Minnesota Timberwolves,88,Denver Nuggets,111
68,Houston Rockets,105,Phoenix Suns,107
69,Milwaukee Bucks,103,Golden State Warriors,93
70,Boston Celtics,79,Oklahoma City Thunder,91
71,Chicago Bulls,81,Los Angeles Lakers,90
