,Team1,1pts,Team2,2pts
0,Miami Heat,89,Indiana Pacers,102
1,Los Angeles Clippers,73,Toronto Raptors,98
2,Orlando Magic,84,Boston Celtics,97
3,Chicago Bulls,89,Brooklyn Nets,93
4,Cleveland Cavaliers,99,Detroit Pistons,117
5,Milwaukee Bucks,86,New York Knicks,96
6,Sacramento Kings,80,Philadelphia 76ers,89
7,Washington Wizards,76,Memphis Grizzlies,85
8,New Orleans Hornets,98,Denver Nuggets,113
9,Dallas Mavericks,109,Phoenix Suns,99
10,Portland Trail Blazers,77,Utah Jazz,86
11,Los Angeles Lakers,111,Minnesota Timberwolves,100
12,Chicago Bulls,93,Atlanta Hawks,76
13,Oklahoma City Thunder,110,Cleveland Cavaliers,115
14,Sacramento Kings,81,New York Knicks,120
15,Charlotte Bobcats,95,Houston Rockets,109
16,New Orleans Hornets,86,Minnesota Timberwolves,115
17,Orlando Magic,98,Milwaukee Bucks,107
18,Washington Wizards,86,San Antonio Spurs,96
19,Utah Jazz,99,Portland Trail Blazers,105
20,Phoenix Suns,93,Golden State Warriors,113
21,Los Angeles Clippers,104,Boston Celtics,106
22,Los Angeles Lakers,98,Detroit Pistons,97
23,Miami Heat,100,Toronto Raptors,85
24,Chicago Bulls,101,Indiana Pacers,111
25,Orlando Magic,61,Philadelphia 76ers,78
26,Los Angeles Clippers,90,Washington Wizards,98
27,Charlotte Bobcats,94,Miami Heat,99
28,Detroit Pistons,85,New York Knicks,99
29,Portland Trail Blazers,100,Minnesota Timberwolves,98
30,Dallas Mavericks,91,Oklahoma City Thunder,112
31,Sacramento Kings,91,Utah Jazz,98
32,Atlanta Hawks,103,Indiana Pacers,114
33,Los Angeles Lakers,92,Brooklyn Nets,83
34,Golden State Warriors,109,Houston Rockets,140
35,Phoenix Suns,96,Memphis Grizzlies,90
36,Milwaukee Bucks,104,Denver Nuggets,112
37,Charlotte Bobcats,95,Cleveland Cavaliers,122
38,Los Angeles Clippers,86,Orlando Magic,76
39,Indiana Pacers,88,Philadelphia 76ers,69
40,Boston Celtics,99,Toronto Raptors,95
41,New York Knicks,96,Washington Wizards,106
42,Memphis Grizzlies,92,Atlanta Hawks,103
43,Brooklyn Nets,93,Detroit Pistons,90
44,Houston Rockets,108,Miami Heat,114
45,Phoenix Suns,84,New Orleans Hornets,93
46,Golden State Warriors,98,Oklahoma City Thunder,119
47,Portland Trail Blazers,99,Dallas Mavericks,105
48,San Antonio Spurs,104,Minnesota Timberwolves,94
49,Milwaukee Bucks,86,Utah Jazz,100
50,Los Angeles Lakers,95,Boston Celtics,116
51,Chicago Bulls,96,Denver Nuggets,128
52,Los Angeles Lakers,100,Charlotte Bobcats,93
53,Toronto Raptors,100,Indiana Pacers,98
54,Brooklyn Nets,74,Washington Wizards,89
55,New Orleans Hornets,111,Atlanta Hawks,100
56,Orlando Magic,108,Cleveland Cavaliers,119
57,San Antonio Spurs,109,Detroit Pistons,119
58,Portland Trail Blazers,103,Houston Rockets,118
59,Golden State Warriors,93,Memphis Grizzlies,99
60,Los Angeles Clippers,89,Miami Heat,111
61,New York Knicks,100,Minnesota Timberwolves,94
62,Phoenix Suns,96,Oklahoma City Thunder,127
63,Chicago Bulls,93,Utah Jazz,89
64,Denver Nuggets,111,Cleveland Cavaliers,103
65,Charlotte Bobcats,76,Philadelphia 76ers,87
66,Golden State Warriors,91,Dallas Mavericks,116
67,Detroit Pistons,105,Milwaukee Bucks,100
68,Utah Jazz,109,Sacramento Kings,120
69,Los Angeles Clippers,102,New York Knicks,88
70,Los Angeles Lakers,97,Miami Heat,107
71,Denver Nuggets,114,Boston Celtics,118
72,Minnesota Timberwolves,88,Memphis Grizzlies,105
73,Portland Trail Blazers,104,Orlando Magic,110
74,New Orleans Hornets,89,Toronto Raptors,102
75,San Antonio Spurs,111,Brooklyn Nets,86
76,Oklahoma City Thunder,97,Phoenix Suns,69
77,Houston Rockets,111,Sacramento Kings,117
78,Boston Celtics,91,Charlotte Bobcats,94
79,Minnesota Timberwolves,100,Cleveland Cavaliers,92
80,Brooklyn Nets,89,Indiana Pacers,84
81,Los Angeles Clippers,107,Philadelphia 76ers,90
82,New Orleans Hornets,105,Detroit Pistons,86
83,San Antonio Spurs,103,Chicago Bulls,89
84,Washington Wizards,102,Milwaukee Bucks,90
85,Atlanta Hawks,105,Dallas Mavericks,101
86,Denver Nuggets,108,Toronto Raptors,109
87,Portland Trail Blazers,104,Miami Heat,117
88,Sacramento Kings,101,Memphis Grizzlies,108
89,Oklahoma City Thunder,94,Utah Jazz,109
90,Houston Rockets,116,Golden State Warriors,107
91,Phoenix Suns,85,Los Angeles Lakers,91
92,San Antonio Spurs,96,Cleveland Cavaliers,95
93,Charlotte Bobcats,77,Indiana Pacers,101
94,Atlanta Hawks,108,Orlando Magic,76
95,Chicago Bulls,69,Boston Celtics,71
96,Denver Nuggets,108,Brooklyn Nets,119
97,Washington Wizards,85,Detroit Pistons,96
98,Toronto Raptors,92,New York Knicks,88
99,Philadelphia 76ers,92,Milwaukee Bucks,94
100,Utah Jazz,97,Minnesota Timberwolves,93
101,Portland Trail Blazers,63,New Orleans Hornets,99
102,Sacramento Kings,100,Dallas Mavericks,123
103,Houston Rockets,96,Los Angeles Clippers,106
104,Miami Heat,110,Oklahoma City Thunder,100
105,Los Angeles Clippers,125,Los Angeles Lakers,101
106,Charlotte Bobcats,105,Orlando Magic,92
107,Toronto Raptors,96,Washington Wizards,88
108,Milwaukee Bucks,111,Brooklyn Nets,113
109,Memphis Grizzlies,105,Detroit Pistons,91
110,Chicago Bulls,96,New Orleans Hornets,87
111,Boston Celtics,90,Denver Nuggets,97
112,Golden State Warriors,101,Utah Jazz,115
113,Phoenix Suns,102,Portland Trail Blazers,98
114,San Antonio Spurs,108,Sacramento Kings,102
115,Detroit Pistons,105,Charlotte Bobcats,99
116,New York Knicks,91,Indiana Pacers,125
117,Memphis Grizzlies,88,Toronto Raptors,82
118,Miami Heat,103,Atlanta Hawks,90
119,New Orleans Hornets,100,Cleveland Cavaliers,105
120,Oklahoma City Thunder,119,Houston Rockets,122
121,Brooklyn Nets,97,Milwaukee Bucks,94
122,Philadelphia 76ers,87,Minnesota Timberwolves,94
123,Orlando Magic,96,Dallas Mavericks,111
124,Phoenix Suns,98,Golden State Warriors,108
125,Boston Celtics,99,Los Angeles Lakers,113
126,Miami Heat,86,Chicago Bulls,67
127,San Antonio Spurs,116,Los Angeles Clippers,90
128,Chicago Bulls,105,Charlotte Bobcats,75
129,Detroit Pistons,82,Indiana Pacers,114
130,New York Knicks,98,Toronto Raptors,100
131,Denver Nuggets,113,Washington Wizards,119
132,Sacramento Kings,108,Atlanta Hawks,122
133,Houston Rockets,106,Brooklyn Nets,96
134,Orlando Magic,82,Memphis Grizzlies,88
135,Dallas Mavericks,104,New Orleans Hornets,100
136,Minnesota Timberwolves,111,Oklahoma City Thunder,127
137,Boston Celtics,113,Phoenix Suns,88
138,San Antonio Spurs,101,Golden State Warriors,107
139,Portland Trail Blazers,107,Los Angeles Lakers,111
140,Denver Nuggets,113,Charlotte Bobcats,99
141,Cleveland Cavaliers,118,Orlando Magic,94
142,Houston Rockets,103,Washington Wizards,105
143,Indiana Pacers,90,Detroit Pistons,72
144,Miami Heat,114,Philadelphia 76ers,90
145,Atlanta Hawks,103,Milwaukee Bucks,102
146,Utah Jazz,94,Los Angeles Clippers,107
147,Los Angeles Lakers,103,Dallas Mavericks,99
148,Golden State Warriors,100,Minnesota Timberwolves,99
149,Cleveland Cavaliers,105,Miami Heat,109
150,Sacramento Kings,95,New Orleans Hornets,110
151,Memphis Grizzlies,76,Brooklyn Nets,72
152,Philadelphia 76ers,93,New York Knicks,99
153,San Antonio Spurs,97,Phoenix Suns,87
154,Boston Celtics,86,Portland Trail Blazers,92
155,Chicago Bulls,72,Oklahoma City Thunder,102
156,Washington Wizards,90,Toronto Raptors,84
