,Team1,1pts,Team2,2pts
0,Oklahoma City Thunder,84,San Antonio Spurs,86
1,Indiana Pacers,89,Charlotte Bobcats,90
2,Denver Nuggets,89,Orlando Magic,102
3,Houston Rockets,109,Atlanta Hawks,102
4,Milwaukee Bucks,99,Boston Celtics,88
5,Chicago Bulls,115,Cleveland Cavaliers,86
6,Sacramento Kings,80,Minnesota Timberwolves,92
7,Utah Jazz,86,New Orleans Hornets,88
8,Miami Heat,84,New York Knicks,104
9,Portland Trail Blazers,92,Oklahoma City Thunder,106
10,Detroit Pistons,89,Phoenix Suns,92
11,Memphis Grizzlies,104,Golden State Warriors,94
12,Los Angeles Clippers,105,Los Angeles Lakers,95
13,Sacramento Kings,98,Indiana Pacers,106
14,Boston Celtics,89,Washington Wizards,86
15,Toronto Raptors,100,Brooklyn Nets,107
16,Denver Nuggets,116,Miami Heat,119
17,New Orleans Hornets,89,Chicago Bulls,82
18,Portland Trail Blazers,95,Houston Rockets,85
19,Charlotte Bobcats,99,Dallas Mavericks,126
20,Cleveland Cavaliers,102,Milwaukee Bucks,105
21,Utah Jazz,100,San Antonio Spurs,110
22,Golden State Warriors,114,Los Angeles Clippers,110
23,Philadelphia 76ers,84,New York Knicks,100
24,Phoenix Suns,94,Orlando Magic,115
25,Minnesota Timberwolves,86,Toronto Raptors,105
26,Atlanta Hawks,104,Oklahoma City Thunder,95
27,Detroit Pistons,79,Los Angeles Lakers,108
28,New York Knicks,110,Philadelphia 76ers,88
29,Minnesota Timberwolves,107,Brooklyn Nets,96
30,Phoenix Suns,99,Miami Heat,124
31,Utah Jazz,94,Memphis Grizzlies,103
32,Portland Trail Blazers,91,Dallas Mavericks,114
33,Indiana Pacers,79,San Antonio Spurs,101
34,Golden State Warriors,92,Sacramento Kings,94
35,Cleveland Cavaliers,108,Los Angeles Clippers,101
36,Orlando Magic,93,Chicago Bulls,99
37,Toronto Raptors,88,Oklahoma City Thunder,108
38,Detroit Pistons,97,Denver Nuggets,109
39,Phoenix Suns,117,Charlotte Bobcats,110
40,Indiana Pacers,86,Atlanta Hawks,89
41,Washington Wizards,94,Boston Celtics,100
42,Brooklyn Nets,73,Miami Heat,103
43,Denver Nuggets,93,Houston Rockets,87
44,Memphis Grizzlies,108,Milwaukee Bucks,90
45,Orlando Magic,75,Minnesota Timberwolves,90
46,Philadelphia 76ers,77,New Orleans Hornets,62
47,Toronto Raptors,104,Dallas Mavericks,109
48,Los Angeles Lakers,86,Utah Jazz,95
49,Detroit Pistons,103,Sacramento Kings,105
50,Cleveland Cavaliers,96,Golden State Warriors,106
51,San Antonio Spurs,84,Los Angeles Clippers,106
52,Oklahoma City Thunder,97,Chicago Bulls,91
53,Los Angeles Clippers,103,Portland Trail Blazers,90
54,Brooklyn Nets,107,Orlando Magic,68
55,Milwaukee Bucks,101,Washington Wizards,91
56,Miami Heat,95,Atlanta Hawks,89
57,Philadelphia 76ers,106,Boston Celtics,100
58,Dallas Mavericks,94,New York Knicks,104
59,Houston Rockets,85,Memphis Grizzlies,93
60,Indiana Pacers,94,Minnesota Timberwolves,96
61,Charlotte Bobcats,99,New Orleans Hornets,107
62,Detroit Pistons,94,Oklahoma City Thunder,105
63,Cleveland Cavaliers,105,Phoenix Suns,107
64,San Antonio Spurs,97,Sacramento Kings,86
65,Utah Jazz,84,Denver Nuggets,104
66,Golden State Warriors,77,Los Angeles Lakers,101
67,Washington Wizards,85,Indiana Pacers,89
68,Philadelphia 76ers,93,Toronto Raptors,83
69,Dallas Mavericks,97,Charlotte Bobcats,101
70,Minnesota Timberwolves,80,Chicago Bulls,87
71,Detroit Pistons,82,Houston Rockets,96
72,Boston Celtics,96,Milwaukee Bucks,92
73,Phoenix Suns,81,Utah Jazz,94
74,San Antonio Spurs,112,Portland Trail Blazers,109
75,Denver Nuggets,107,Golden State Warriors,101
76,Orlando Magic,74,Brooklyn Nets,82
77,Atlanta Hawks,76,Los Angeles Clippers,89
78,Miami Heat,86,Memphis Grizzlies,104
79,Cleveland Cavaliers,91,Oklahoma City Thunder,106
80,Sacramento Kings,90,Los Angeles Lakers,103
81,Milwaukee Bucks,105,Philadelphia 76ers,96
82,Utah Jazz,140,Toronto Raptors,133
83,Oklahoma City Thunder,92,Detroit Pistons,90
84,Boston Celtics,101,Chicago Bulls,95
85,Miami Heat,113,Houston Rockets,110
86,Minnesota Timberwolves,90,Dallas Mavericks,82
87,Denver Nuggets,100,Phoenix Suns,110
88,Atlanta Hawks,95,Portland Trail Blazers,87
89,Washington Wizards,76,Charlotte Bobcats,92
90,Toronto Raptors,74,Indiana Pacers,72
91,New York Knicks,99,Orlando Magic,89
92,Cleveland Cavaliers,101,Brooklyn Nets,114
93,Portland Trail Blazers,103,Sacramento Kings,86
94,San Antonio Spurs,84,Los Angeles Lakers,82
95,Detroit Pistons,94,Philadelphia 76ers,76
96,Utah Jazz,93,Boston Celtics,98
97,New Orleans Hornets,96,Houston Rockets,100
98,Indiana Pacers,85,Milwaukee Bucks,99
99,Charlotte Bobcats,89,Minnesota Timberwolves,87
100,Memphis Grizzlies,107,Oklahoma City Thunder,97
101,Washington Wizards,101,Dallas Mavericks,107
102,Chicago Bulls,112,Phoenix Suns,106
103,Atlanta Hawks,88,Golden State Warriors,92
104,Miami Heat,100,Los Angeles Clippers,107
105,Boston Celtics,97,Brooklyn Nets,102
106,New York Knicks,104,San Antonio Spurs,100
107,Miami Heat,98,Denver Nuggets,93
108,Dallas Mavericks,83,Indiana Pacers,103
109,Utah Jazz,93,Philadelphia 76ers,99
110,Orlando Magic,110,Detroit Pistons,106
111,Golden State Warriors,106,Minnesota Timberwolves,98
112,Oklahoma City Thunder,110,New Orleans Hornets,95
113,New York Knicks,95,Memphis Grizzlies,105
114,Houston Rockets,117,Portland Trail Blazers,119
115,Atlanta Hawks,112,Sacramento Kings,96
116,Phoenix Suns,102,Los Angeles Lakers,114
117,Toronto Raptors,89,Boston Celtics,107
118,Utah Jazz,83,Washington Wizards,76
119,Memphis Grizzlies,94,Charlotte Bobcats,87
