,Team1,1pts,Team2,2pts
0,Boston Celtics,99,Cleveland Cavaliers,102
1,Houston Rockets,122,Golden State Warriors,121
2,Charlotte Hornets,90,Detroit Pistons,102
3,Brooklyn Nets,131,Indiana Pacers,140
4,Miami Heat,109,Orlando Magic,116
5,Philadelphia 76ers,115,Washington Wizards,120
6,Milwaukee Bucks,108,Boston Celtics,100
7,New Orleans Pelicans,91,Memphis Grizzlies,103
8,Atlanta Hawks,117,Dallas Mavericks,111
9,Denver Nuggets,96,Utah Jazz,106
10,Minnesota Timberwolves,99,San Antonio Spurs,107
11,Portland Trail Blazers,124,Phoenix Suns,76
12,Houston Rockets,105,Sacramento Kings,100
13,Chicago Bulls,100,Toronto Raptors,117
14,New York Knicks,84,Oklahoma City Thunder,105
15,Los Angeles Clippers,108,Los Angeles Lakers,92
16,Atlanta Hawks,91,Charlotte Hornets,109
17,Portland Trail Blazers,114,Indiana Pacers,96
18,Cleveland Cavaliers,116,Milwaukee Bucks,97
19,Boston Celtics,102,Philadelphia 76ers,92
20,Detroit Pistons,111,Washington Wizards,115
21,Orlando Magic,121,Brooklyn Nets,126
22,Utah Jazz,97,Minnesota Timberwolves,100
23,Sacramento Kings,93,Dallas Mavericks,88
24,Golden State Warriors,128,New Orleans Pelicans,120
25,Los Angeles Lakers,132,Phoenix Suns,130
26,Philadelphia 76ers,94,Toronto Raptors,128
27,San Antonio Spurs,87,Chicago Bulls,77
28,Orlando Magic,114,Cleveland Cavaliers,93
29,Dallas Mavericks,91,Houston Rockets,107
30,Golden State Warriors,101,Memphis Grizzlies,111
31,Indiana Pacers,108,Miami Heat,112
32,Detroit Pistons,111,New York Knicks,107
33,Portland Trail Blazers,110,Milwaukee Bucks,113
34,Sacramento Kings,79,Denver Nuggets,96
35,Oklahoma City Thunder,87,Utah Jazz,96
36,Phoenix Suns,88,Los Angeles Clippers,130
37,Atlanta Hawks,104,Brooklyn Nets,116
38,Minnesota Timberwolves,115,Oklahoma City Thunder,113
39,New Orleans Pelicans,119,Los Angeles Lakers,112
40,Philadelphia 76ers,97,Detroit Pistons,86
41,Atlanta Hawks,93,Miami Heat,104
42,Memphis Grizzlies,98,Houston Rockets,90
43,Charlotte Hornets,94,Milwaukee Bucks,103
44,Golden State Warriors,133,Dallas Mavericks,103
45,Toronto Raptors,97,San Antonio Spurs,101
46,Washington Wizards,109,Denver Nuggets,104
47,Sacramento Kings,115,Phoenix Suns,117
48,Chicago Bulls,112,Cleveland Cavaliers,119
49,Brooklyn Nets,121,Orlando Magic,125
50,New York Knicks,89,Boston Celtics,110
51,Indiana Pacers,130,Minnesota Timberwolves,107
52,New Orleans Pelicans,93,Portland Trail Blazers,103
53,Utah Jazz,84,Los Angeles Clippers,102
54,Denver Nuggets,93,Charlotte Hornets,110
55,Minnesota Timberwolves,101,Detroit Pistons,122
56,Houston Rockets,105,Philadelphia 76ers,104
57,Cleveland Cavaliers,107,Brooklyn Nets,112
58,San Antonio Spurs,117,Miami Heat,100
59,Indiana Pacers,96,Oklahoma City Thunder,114
60,Memphis Grizzlies,94,Dallas Mavericks,103
61,Utah Jazz,88,Phoenix Suns,97
62,Toronto Raptors,112,Golden State Warriors,117
63,Washington Wizards,99,Los Angeles Lakers,102
64,Atlanta Hawks,86,Chicago Bulls,91
65,Dallas Mavericks,91,Memphis Grizzlies,96
66,Boston Celtics,96,Milwaukee Bucks,89
67,Los Angeles Clippers,104,Portland Trail Blazers,103
68,New Orleans Pelicans,114,Sacramento Kings,106
69,Houston Rockets,109,Charlotte Hornets,93
70,San Antonio Spurs,87,Orlando Magic,114
71,Denver Nuggets,105,Atlanta Hawks,100
72,Brooklyn Nets,86,New York Knicks,107
73,Oklahoma City Thunder,116,Minnesota Timberwolves,119
74,Washington Wizards,117,Golden State Warriors,120
75,Toronto Raptors,101,Los Angeles Lakers,92
76,Cleveland Cavaliers,101,New Orleans Pelicans,123
77,Oklahoma City Thunder,101,Chicago Bulls,69
78,Houston Rockets,89,Memphis Grizzlies,103
79,Boston Celtics,96,Miami Heat,90
80,Philadelphia 76ers,112,Dallas Mavericks,110
81,Los Angeles Lakers,81,Utah Jazz,96
82,Phoenix Suns,107,Portland Trail Blazers,114
83,Detroit Pistons,95,Los Angeles Clippers,87
84,Milwaukee Bucks,117,Atlanta Hawks,106
85,San Antonio Spurs,94,Indiana Pacers,97
86,Denver Nuggets,124,Brooklyn Nets,111
87,Orlando Magic,113,Charlotte Hornets,120
88,Washington Wizards,110,Sacramento Kings,83
89,New York Knicks,114,Cleveland Cavaliers,95
90,Detroit Pistons,115,Golden State Warriors,107
91,San Antonio Spurs,94,Boston Celtics,108
92,Minnesota Timberwolves,125,Miami Heat,122
93,Denver Nuggets,110,New York Knicks,116
94,Philadelphia 76ers,115,Houston Rockets,107
95,Charlotte Hornets,104,Memphis Grizzlies,99
96,Orlando Magic,115,New Orleans Pelicans,99
97,Dallas Mavericks,89,Utah Jazz,104
98,Toronto Raptors,99,Portland Trail Blazers,85
99,Golden State Warriors,141,Los Angeles Clippers,113
100,Sacramento Kings,83,Indiana Pacers,101
101,Phoenix Suns,122,Brooklyn Nets,114
102,Oklahoma City Thunder,110,Milwaukee Bucks,91
103,Detroit Pistons,93,Los Angeles Lakers,113
