,Team1,1pts,Team2,2pts
0,Washington Wizards,84,Cleveland Cavaliers,94
1,Boston Celtics,107,Miami Heat,120
2,Dallas Mavericks,99,Los Angeles Lakers,91
3,Denver Nuggets,75,Philadelphia 76ers,84
4,Indiana Pacers,90,Toronto Raptors,88
5,Houston Rockets,105,Detroit Pistons,96
6,Sacramento Kings,87,Chicago Bulls,93
7,San Antonio Spurs,99,New Orleans Hornets,95
8,Dallas Mavericks,94,Utah Jazz,113
9,Golden State Warriors,87,Phoenix Suns,85
10,Memphis Grizzlies,92,Los Angeles Clippers,101
11,Los Angeles Lakers,106,Portland Trail Blazers,116
