,Team1,1pts,Team2,2pts
0,Cleveland Cavaliers,84,Charlotte Bobcats,90
1,New Orleans Pelicans,90,Orlando Magic,110
2,Philadelphia 76ers,109,Washington Wizards,102
3,Toronto Raptors,95,Atlanta Hawks,102
4,Milwaukee Bucks,105,Boston Celtics,98
5,Miami Heat,100,Brooklyn Nets,101
6,Dallas Mavericks,105,Houston Rockets,113
7,Detroit Pistons,108,Memphis Grizzlies,111
8,Oklahoma City Thunder,81,Minnesota Timberwolves,100
9,Portland Trail Blazers,113,Denver Nuggets,98
10,Utah Jazz,84,Phoenix Suns,87
11,Los Angeles Clippers,110,Sacramento Kings,101
12,San Antonio Spurs,91,Los Angeles Lakers,85
13,Cleveland Cavaliers,74,Indiana Pacers,89
14,Chicago Bulls,104,Philadelphia 76ers,107
15,Charlotte Bobcats,84,New Orleans Pelicans,105
16,Memphis Grizzlies,99,Dallas Mavericks,111
17,Toronto Raptors,97,Milwaukee Bucks,90
18,Houston Rockets,104,Utah Jazz,93
19,San Antonio Spurs,105,Portland Trail Blazers,115
20,Sacramento Kings,87,Golden State Warriors,98
21,Boston Celtics,77,Detroit Pistons,87
22,Washington Wizards,93,Miami Heat,103
23,Brooklyn Nets,86,Orlando Magic,107
24,Phoenix Suns,96,Oklahoma City Thunder,103
25,Minnesota Timberwolves,109,New York Knicks,100
26,Atlanta Hawks,103,Los Angeles Lakers,105
27,Minnesota Timberwolves,92,Cleveland Cavaliers,93
28,Golden State Warriors,110,Philadelphia 76ers,90
29,Boston Celtics,88,Memphis Grizzlies,95
30,Houston Rockets,118,Los Angeles Clippers,137
31,Miami Heat,104,Toronto Raptors,95
32,Utah Jazz,88,Brooklyn Nets,104
33,Indiana Pacers,99,Detroit Pistons,91
34,Charlotte Bobcats,102,New York Knicks,97
35,Phoenix Suns,104,New Orleans Pelicans,98
36,Los Angeles Lakers,104,Dallas Mavericks,123
37,San Antonio Spurs,102,Denver Nuggets,94
38,Houston Rockets,116,Portland Trail Blazers,101
39,Atlanta Hawks,105,Sacramento Kings,100
40,Toronto Raptors,90,Charlotte Bobcats,92
41,Chicago Bulls,80,Indiana Pacers,97
42,Los Angeles Clippers,90,Orlando Magic,98
43,Washington Wizards,116,Philadelphia 76ers,102
44,Utah Jazz,87,Boston Celtics,97
45,New Orleans Pelicans,99,Memphis Grizzlies,84
46,Cleveland Cavaliers,104,Milwaukee Bucks,109
47,Golden State Warriors,106,Minnesota Timberwolves,93
48,Phoenix Suns,96,San Antonio Spurs,99
49,Dallas Mavericks,93,Oklahoma City Thunder,107
50,Los Angeles Clippers,97,Miami Heat,102
51,Atlanta Hawks,107,Denver Nuggets,109
52,Los Angeles Lakers,99,Houston Rockets,98
53,New York Knicks,101,Charlotte Bobcats,91
54,Toronto Raptors,84,Indiana Pacers,91
55,Boston Celtics,91,Orlando Magic,89
56,Cleveland Cavaliers,79,Philadelphia 76ers,94
57,Brooklyn Nets,108,Washington Wizards,112
58,Oklahoma City Thunder,119,Detroit Pistons,110
59,Utah Jazz,73,Chicago Bulls,97
60,Dallas Mavericks,108,Minnesota Timberwolves,116
61,Los Angeles Lakers,85,New Orleans Pelicans,96
