,Team1,1pts,Team2,2pts
0,Dallas Mavericks,87,Washington Wizards,78
1,Indiana Pacers,82,Toronto Raptors,95
2,New Orleans Pelicans,112,Minnesota Timberwolves,124
3,Philadelphia 76ers,114,Denver Nuggets,102
4,Charlotte Bobcats,85,Los Angeles Clippers,112
5,Orlando Magic,81,Cleveland Cavaliers,87
6,Golden State Warriors,123,Miami Heat,114
7,Boston Celtics,82,Chicago Bulls,94
8,Brooklyn Nets,95,Oklahoma City Thunder,93
9,New York Knicks,105,San Antonio Spurs,101
10,Memphis Grizzlies,99,Phoenix Suns,91
11,Milwaukee Bucks,87,Utah Jazz,96
12,Charlotte Bobcats,104,Portland Trail Blazers,134
13,Philadelphia 76ers,113,Sacramento Kings,104
14,Toronto Raptors,101,Washington Wizards,88
15,Golden State Warriors,101,Atlanta Hawks,100
16,New Orleans Pelicans,95,Boston Celtics,92
17,New York Knicks,100,Houston Rockets,102
18,Los Angeles Clippers,119,Dallas Mavericks,112
19,Memphis Grizzlies,108,Denver Nuggets,111
20,Utah Jazz,99,Los Angeles Lakers,110
21,New Orleans Pelicans,82,Indiana Pacers,99
22,Miami Heat,110,Orlando Magic,94
23,Cleveland Cavaliers,82,Brooklyn Nets,89
24,Atlanta Hawks,84,Chicago Bulls,91
25,Oklahoma City Thunder,115,Minnesota Timberwolves,111
26,Los Angeles Clippers,92,San Antonio Spurs,116
27,Milwaukee Bucks,100,Phoenix Suns,116
28,Philadelphia 76ers,101,Portland Trail Blazers,99
29,Charlotte Bobcats,113,Sacramento Kings,103
30,Memphis Grizzlies,112,Detroit Pistons,84
31,Indiana Pacers,82,Cleveland Cavaliers,78
32,Toronto Raptors,97,Miami Heat,102
33,Golden State Warriors,112,Washington Wizards,96
34,Boston Celtics,96,Oklahoma City Thunder,119
35,New York Knicks,92,Dallas Mavericks,80
36,Denver Nuggets,137,Los Angeles Lakers,115
37,Minnesota Timberwolves,126,Philadelphia 76ers,95
38,Atlanta Hawks,86,Brooklyn Nets,91
39,Orlando Magic,81,Los Angeles Clippers,101
40,Washington Wizards,97,Charlotte Bobcats,83
41,Philadelphia 76ers,93,Cleveland Cavaliers,111
42,Toronto Raptors,79,Indiana Pacers,86
43,New Orleans Pelicans,88,Miami Heat,107
44,Detroit Pistons,85,New York Knicks,89
45,Phoenix Suns,87,Chicago Bulls,92
46,San Antonio Spurs,110,Memphis Grizzlies,108
47,Golden State Warriors,101,Milwaukee Bucks,80
48,Los Angeles Lakers,97,Dallas Mavericks,110
49,Boston Celtics,98,Denver Nuggets,129
50,Oklahoma City Thunder,101,Utah Jazz,112
51,Portland Trail Blazers,119,Sacramento Kings,123
52,Dallas Mavericks,90,San Antonio Spurs,112
53,Detroit Pistons,91,Toronto Raptors,112
54,Indiana Pacers,87,Atlanta Hawks,97
55,Golden State Warriors,98,Brooklyn Nets,102
56,Los Angeles Lakers,99,Houston Rockets,113
57,Washington Wizards,102,New Orleans Pelicans,96
58,Phoenix Suns,104,Minnesota Timberwolves,103
59,Orlando Magic,94,Portland Trail Blazers,110
60,Boston Celtics,105,Los Angeles Clippers,111
61,Miami Heat,92,New York Knicks,102
62,Oklahoma City Thunder,88,Denver Nuggets,101
63,Washington Wizards,66,Indiana Pacers,93
64,Detroit Pistons,114,Philadelphia 76ers,104
65,Houston Rockets,80,Atlanta Hawks,83
66,Miami Heat,95,Brooklyn Nets,104
67,Phoenix Suns,99,Memphis Grizzlies,104
68,Charlotte Bobcats,92,Minnesota Timberwolves,119
69,Dallas Mavericks,107,New Orleans Pelicans,90
70,Chicago Bulls,81,Milwaukee Bucks,72
71,Cleveland Cavaliers,113,Utah Jazz,102
72,Orlando Magic,83,Sacramento Kings,103
73,Boston Celtics,97,Golden State Warriors,99
74,Los Angeles Lakers,87,Los Angeles Clippers,123
75,Brooklyn Nets,80,Toronto Raptors,96
76,Houston Rockets,114,Washington Wizards,107
77,Phoenix Suns,108,Detroit Pistons,110
78,New York Knicks,102,Philadelphia 76ers,92
79,Charlotte Bobcats,97,Chicago Bulls,103
80,Milwaukee Bucks,85,Oklahoma City Thunder,101
81,New Orleans Pelicans,107,Dallas Mavericks,110
82,Orlando Magic,94,Denver Nuggets,120
83,Boston Celtics,104,Portland Trail Blazers,112
84,Atlanta Hawks,101,Memphis Grizzlies,108
85,Cleveland Cavaliers,80,Sacramento Kings,124
86,Minnesota Timberwolves,86,San Antonio Spurs,104
87,Milwaukee Bucks,94,Toronto Raptors,116
88,Houston Rockets,104,Boston Celtics,92
89,Phoenix Suns,96,New York Knicks,98
90,Washington Wizards,102,Chicago Bulls,88
91,San Antonio Spurs,101,New Orleans Pelicans,95
92,Orlando Magic,88,Dallas Mavericks,107
93,Denver Nuggets,103,Utah Jazz,118
94,New York Knicks,98,Charlotte Bobcats,108
95,Sacramento Kings,92,Indiana Pacers,116
96,Oklahoma City Thunder,87,Memphis Grizzlies,90
97,Cleveland Cavaliers,120,Los Angeles Lakers,118
