,Team1,1pts,Team2,2pts
0,New York Knicks,88,Cleveland Cavaliers,117
1,Utah Jazz,104,Portland Trail Blazers,113
2,San Antonio Spurs,129,Golden State Warriors,100
3,Dallas Mavericks,121,Indiana Pacers,130
4,Miami Heat,108,Orlando Magic,96
5,Detroit Pistons,91,Toronto Raptors,109
6,Brooklyn Nets,117,Boston Celtics,122
7,Charlotte Hornets,107,Milwaukee Bucks,96
8,Denver Nuggets,107,New Orleans Pelicans,102
9,Minnesota Timberwolves,98,Memphis Grizzlies,102
10,Oklahoma City Thunder,103,Philadelphia 76ers,97
11,Sacramento Kings,113,Phoenix Suns,94
12,Houston Rockets,114,Los Angeles Lakers,120
13,Washington Wizards,99,Atlanta Hawks,114
14,Boston Celtics,99,Chicago Bulls,105
15,Los Angeles Clippers,114,Portland Trail Blazers,106
16,San Antonio Spurs,102,Sacramento Kings,94
17,Cleveland Cavaliers,94,Toronto Raptors,91
18,Indiana Pacers,94,Brooklyn Nets,103
19,Orlando Magic,82,Detroit Pistons,108
20,Phoenix Suns,110,Oklahoma City Thunder,113
21,Charlotte Hornets,97,Miami Heat,91
22,Houston Rockets,106,Dallas Mavericks,98
23,Los Angeles Lakers,89,Utah Jazz,96
24,Golden State Warriors,122,New Orleans Pelicans,114
25,Atlanta Hawks,104,Philadelphia 76ers,72
26,Boston Celtics,104,Charlotte Hornets,98
27,Orlando Magic,99,Cleveland Cavaliers,105
28,Memphis Grizzlies,104,New York Knicks,111
29,New Orleans Pelicans,79,San Antonio Spurs,98
30,Brooklyn Nets,108,Milwaukee Bucks,110
31,Indiana Pacers,101,Chicago Bulls,118
32,Portland Trail Blazers,115,Denver Nuggets,113
33,Minnesota Timberwolves,103,Sacramento Kings,106
34,Utah Jazz,75,Los Angeles Clippers,88
35,Milwaukee Bucks,83,Detroit Pistons,98
36,San Antonio Spurs,106,Miami Heat,99
37,Golden State Warriors,106,Phoenix Suns,100
38,Los Angeles Lakers,96,Oklahoma City Thunder,113
39,Dallas Mavericks,92,Houston Rockets,93
40,Washington Wizards,103,Memphis Grizzlies,112
41,Sacramento Kings,95,Atlanta Hawks,106
42,Chicago Bulls,118,Brooklyn Nets,88
43,Denver Nuggets,102,Toronto Raptors,105
44,Phoenix Suns,98,Los Angeles Clippers,116
