,Team1,1pts,Team2,2pts
0,Milwaukee Bucks,121,Charlotte Hornets,126
1,Indiana Pacers,124,Cleveland Cavaliers,107
2,Atlanta Hawks,109,Philadelphia 76ers,119
3,Phoenix Suns,122,Washington Wizards,116
4,Sacramento Kings,86,Boston Celtics,113
5,Chicago Bulls,91,Miami Heat,97
6,Orlando Magic,101,Memphis Grizzlies,99
7,Minnesota Timberwolves,104,New Orleans Pelicans,98
8,Houston Rockets,119,New York Knicks,97
9,Toronto Raptors,111,Denver Nuggets,129
10,Portland Trail Blazers,103,Utah Jazz,112
11,Dallas Mavericks,98,Los Angeles Clippers,119
12,Golden State Warriors,112,San Antonio Spurs,92
13,Los Angeles Lakers,110,Portland Trail Blazers,113
14,Milwaukee Bucks,96,Detroit Pistons,105
15,Chicago Bulls,105,Orlando Magic,83
16,Indiana Pacers,110,Philadelphia 76ers,121
17,Cleveland Cavaliers,130,Washington Wizards,122
18,Houston Rockets,119,Atlanta Hawks,104
19,Phoenix Suns,107,New York Knicks,120
20,New Orleans Pelicans,99,Dallas Mavericks,94
21,Charlotte Hornets,101,San Antonio Spurs,108
22,Miami Heat,94,Denver Nuggets,95
23,Toronto Raptors,109,Utah Jazz,100
24,Boston Celtics,101,Oklahoma City Thunder,94
25,Brooklyn Nets,112,Los Angeles Lakers,124
26,Memphis Grizzlies,113,Los Angeles Clippers,104
27,Sacramento Kings,99,Detroit Pistons,108
28,New Orleans Pelicans,96,Chicago Bulls,90
29,Dallas Mavericks,99,Minnesota Timberwolves,112
30,Golden State Warriors,127,Denver Nuggets,108
31,Atlanta Hawks,117,Cleveland Cavaliers,115
32,Miami Heat,104,Los Angeles Clippers,101
33,Boston Celtics,104,Orlando Magic,88
34,Washington Wizards,107,Toronto Raptors,96
35,Utah Jazz,110,Houston Rockets,137
36,Phoenix Suns,95,San Antonio Spurs,112
37,Indiana Pacers,101,New York Knicks,108
38,Charlotte Hornets,94,Minnesota Timberwolves,112
39,Oklahoma City Thunder,99,Portland Trail Blazers,103
40,Memphis Grizzlies,102,Los Angeles Lakers,107
41,Boston Celtics,110,Atlanta Hawks,107
42,Brooklyn Nets,98,Phoenix Suns,92
43,Miami Heat,80,Golden State Warriors,97
44,Milwaukee Bucks,119,Cleveland Cavaliers,124
45,New Orleans Pelicans,117,Indiana Pacers,112
46,Dallas Mavericks,113,Washington Wizards,99
47,Charlotte Hornets,113,New York Knicks,118
48,Chicago Bulls,114,Toronto Raptors,119
49,Los Angeles Clippers,107,San Antonio Spurs,120
50,Brooklyn Nets,104,Denver Nuggets,112
51,Philadelphia 76ers,104,Utah Jazz,97
52,Memphis Grizzlies,98,Portland Trail Blazers,97
53,Oklahoma City Thunder,86,Sacramento Kings,94
54,Indiana Pacers,97,Detroit Pistons,114
55,New York Knicks,99,Orlando Magic,112
56,Los Angeles Lakers,96,Boston Celtics,107
57,Miami Heat,126,Phoenix Suns,115
58,Minnesota Timberwolves,101,Golden State Warriors,125
59,Los Angeles Lakers,95,Washington Wizards,111
60,New Orleans Pelicans,118,Toronto Raptors,122
61,Cleveland Cavaliers,113,Houston Rockets,117
62,Philadelphia 76ers,108,Sacramento Kings,109
63,Oklahoma City Thunder,94,Denver Nuggets,102
64,Atlanta Hawks,104,Detroit Pistons,111
65,Charlotte Hornets,87,Boston Celtics,90
66,Indiana Pacers,105,Chicago Bulls,87
67,Los Angeles Clippers,111,Oklahoma City Thunder,120
68,Orlando Magic,128,Phoenix Suns,112
69,Milwaukee Bucks,94,San Antonio Spurs,87
70,Miami Heat,84,Utah Jazz,74
71,Brooklyn Nets,101,Portland Trail Blazers,97
72,Los Angeles Clippers,103,New Orleans Pelicans,111
73,Atlanta Hawks,94,Washington Wizards,113
74,Memphis Grizzlies,96,Houston Rockets,111
75,Sacramento Kings,91,New York Knicks,118
76,Cleveland Cavaliers,111,Dallas Mavericks,104
77,Philadelphia 76ers,114,Golden State Warriors,135
78,Los Angeles Lakers,90,Milwaukee Bucks,98
79,Chicago Bulls,94,San Antonio Spurs,133
80,Orlando Magic,107,Denver Nuggets,125
81,Minnesota Timberwolves,110,Phoenix Suns,118
82,Brooklyn Nets,106,Utah Jazz,114
83,Toronto Raptors,94,Boston Celtics,95
84,Miami Heat,103,Detroit Pistons,112
85,Houston Rockets,118,Indiana Pacers,95
86,Dallas Mavericks,99,Oklahoma City Thunder,112
87,Sacramento Kings,92,Washington Wizards,110
88,Cleveland Cavaliers,104,New York Knicks,101
89,Memphis Grizzlies,103,Milwaukee Bucks,110
90,Atlanta Hawks,105,New Orleans Pelicans,106
91,Los Angeles Lakers,100,Phoenix Suns,93
92,Minnesota Timberwolves,109,Utah Jazz,98
93,Denver Nuggets,82,Portland Trail Blazers,99
94,Orlando Magic,100,Golden State Warriors,110
95,Philadelphia 76ers,109,Los Angeles Clippers,105
96,Boston Celtics,109,Brooklyn Nets,102
97,Toronto Raptors,129,Houston Rockets,113
98,San Antonio Spurs,97,Dallas Mavericks,91
99,Sacramento Kings,80,Atlanta Hawks,126
100,Washington Wizards,102,Miami Heat,93
101,Utah Jazz,101,New York Knicks,106
102,Cleveland Cavaliers,115,Charlotte Hornets,107
103,Indiana Pacers,116,Memphis Grizzlies,113
104,Detroit Pistons,95,Milwaukee Bucks,99
105,San Antonio Spurs,86,Minnesota Timberwolves,98
106,Toronto Raptors,125,New Orleans Pelicans,116
107,Chicago Bulls,79,Oklahoma City Thunder,92
108,Orlando Magic,94,Portland Trail Blazers,99
109,Philadelphia 76ers,115,Los Angeles Lakers,109
110,Golden State Warriors,88,Boston Celtics,92
111,Houston Rockets,142,Phoenix Suns,116
112,Detroit Pistons,100,Indiana Pacers,107
113,Miami Heat,91,Washington Wizards,88
114,Utah Jazz,107,Brooklyn Nets,118
115,Los Angeles Clippers,113,Cleveland Cavaliers,118
116,New York Knicks,84,Toronto Raptors,107
117,Charlotte Hornets,120,Chicago Bulls,123
118,Oklahoma City Thunder,101,San Antonio Spurs,104
119,Minnesota Timberwolves,111,Dallas Mavericks,87
120,Portland Trail Blazers,82,Sacramento Kings,86
121,New Orleans Pelicans,114,Denver Nuggets,146
122,Phoenix Suns,122,Los Angeles Lakers,113
123,Los Angeles Clippers,87,Charlotte Hornets,102
124,Utah Jazz,125,Orlando Magic,85
125,Boston Celtics,110,Atlanta Hawks,99
126,Golden State Warriors,124,Philadelphia 76ers,116
127,Houston Rockets,105,Memphis Grizzlies,83
128,Milwaukee Bucks,79,Dallas Mavericks,111
129,Sacramento Kings,90,Portland Trail Blazers,102
130,Washington Wizards,91,Toronto Raptors,100
131,Indiana Pacers,120,Miami Heat,95
132,Golden State Warriors,118,Brooklyn Nets,111
133,Detroit Pistons,100,Minnesota Timberwolves,97
134,Chicago Bulls,105,Phoenix Suns,113
135,Denver Nuggets,109,Los Angeles Lakers,127
136,Minnesota Timberwolves,102,Charlotte Hornets,118
137,Cleveland Cavaliers,116,Detroit Pistons,88
138,Indiana Pacers,105,Orlando Magic,97
139,Utah Jazz,86,Philadelphia 76ers,107
140,Los Angeles Clippers,85,New York Knicks,107
141,Portland Trail Blazers,100,Memphis Grizzlies,92
142,Washington Wizards,99,Milwaukee Bucks,88
143,Oklahoma City Thunder,107,New Orleans Pelicans,114
144,Boston Celtics,110,Dallas Mavericks,102
145,Atlanta Hawks,85,San Antonio Spurs,96
146,Denver Nuggets,114,Sacramento Kings,98
147,Chicago Bulls,94,Los Angeles Lakers,103
148,Washington Wizards,124,Charlotte Hornets,129
149,Brooklyn Nets,109,Cleveland Cavaliers,119
150,Portland Trail Blazers,81,Philadelphia 76ers,101
151,Los Angeles Clippers,116,Atlanta Hawks,103
152,Boston Celtics,98,Miami Heat,104
153,Toronto Raptors,100,New York Knicks,108
154,Denver Nuggets,95,Houston Rockets,125
155,Dallas Mavericks,95,Memphis Grizzlies,94
156,Orlando Magic,118,Minnesota Timberwolves,124
157,San Antonio Spurs,90,New Orleans Pelicans,107
158,Golden State Warriors,91,Oklahoma City Thunder,108
159,Milwaukee Bucks,113,Phoenix Suns,107
160,Chicago Bulls,80,Utah Jazz,110
161,Los Angeles Lakers,102,Sacramento Kings,113
162,Portland Trail Blazers,127,Brooklyn Nets,125
163,New York Knicks,104,Atlanta Hawks,116
164,Orlando Magic,103,Boston Celtics,118
165,Charlotte Hornets,99,Cleveland Cavaliers,100
166,Toronto Raptors,104,Indiana Pacers,107
167,Miami Heat,109,Minnesota Timberwolves,97
168,Detroit Pistons,99,Oklahoma City Thunder,98
169,Memphis Grizzlies,92,Denver Nuggets,104
170,New Orleans Pelicans,115,Phoenix Suns,91
171,Chicago Bulls,94,Golden State Warriors,143
172,San Antonio Spurs,106,Charlotte Hornets,86
173,Orlando Magic,111,Philadelphia 76ers,130
174,Portland Trail Blazers,108,Washington Wizards,105
175,Toronto Raptors,112,Atlanta Hawks,78
176,New York Knicks,102,Houston Rockets,117
177,Boston Celtics,108,Indiana Pacers,98
178,Oklahoma City Thunder,81,Dallas Mavericks,97
179,New Orleans Pelicans,95,Golden State Warriors,110
180,Milwaukee Bucks,108,Utah Jazz,121
181,Los Angeles Clippers,97,Sacramento Kings,95
182,Miami Heat,100,Chicago Bulls,93
183,Phoenix Suns,108,Minnesota Timberwolves,119
184,Brooklyn Nets,98,Memphis Grizzlies,88
185,Orlando Magic,109,Indiana Pacers,121
186,Cleveland Cavaliers,113,Philadelphia 76ers,91
187,Detroit Pistons,118,Boston Celtics,108
188,Portland Trail Blazers,103,New York Knicks,91
189,Brooklyn Nets,103,Houston Rockets,117
190,Dallas Mavericks,108,San Antonio Spurs,115
191,Sacramento Kings,110,Golden State Warriors,106
192,Los Angeles Lakers,115,Los Angeles Clippers,120
193,Miami Heat,97,Cleveland Cavaliers,108
194,Phoenix Suns,104,Chicago Bulls,99
