,Team1,1pts,Team2,2pts
125,Washington Wizards,113,Brooklyn Nets,107
126,New York Knicks,107,Milwaukee Bucks,101
127,Portland Trail Blazers,109,Minnesota Timberwolves,120
128,Memphis Grizzlies,91,Dallas Mavericks,105
129,San Antonio Spurs,108,Phoenix Suns,101
130,Chicago Bulls,94,Houston Rockets,109
131,New Orleans Pelicans,95,Los Angeles Clippers,108
132,Chicago Bulls,95,Oklahoma City Thunder,107
133,San Antonio Spurs,104,Golden State Warriors,102
134,Brooklyn Nets,120,Philadelphia 76ers,121
135,Utah Jazz,85,Atlanta Hawks,118
136,Milwaukee Bucks,111,Cleveland Cavaliers,114
137,Charlotte Bobcats,116,Detroit Pistons,106
138,Sacramento Kings,103,Miami Heat,122
139,Houston Rockets,81,Indiana Pacers,114
140,Toronto Raptors,109,Dallas Mavericks,108
141,Phoenix Suns,103,Denver Nuggets,99
142,Minnesota Timberwolves,91,Los Angeles Lakers,104
143,Washington Wizards,106,Boston Celtics,99
144,Sacramento Kings,105,Orlando Magic,100
145,Utah Jazz,88,Charlotte Bobcats,85
146,Houston Rockets,114,Detroit Pistons,97
147,Cleveland Cavaliers,84,Chicago Bulls,100
148,Philadelphia 76ers,106,Milwaukee Bucks,116
149,Oklahoma City Thunder,113,San Antonio Spurs,100
150,Dallas Mavericks,108,Phoenix Suns,123
151,New Orleans Pelicans,107,Portland Trail Blazers,110
152,Los Angeles Lakers,83,Golden State Warriors,102
153,Denver Nuggets,91,Los Angeles Clippers,112
154,Memphis Grizzlies,95,New York Knicks,87
155,Boston Celtics,79,Indiana Pacers,106
156,Toronto Raptors,104,Oklahoma City Thunder,98
157,Minnesota Timberwolves,116,Los Angeles Clippers,120
158,Milwaukee Bucks,110,Charlotte Bobcats,111
159,Detroit Pistons,115,Cleveland Cavaliers,92
160,New York Knicks,103,Orlando Magic,98
161,Indiana Pacers,103,Brooklyn Nets,86
162,Atlanta Hawks,119,Miami Heat,121
163,Dallas Mavericks,111,Houston Rockets,104
164,Utah Jazz,94,Memphis Grizzlies,104
165,Toronto Raptors,99,San Antonio Spurs,112
166,Golden State Warriors,89,Denver Nuggets,81
167,Los Angeles Lakers,90,Phoenix Suns,117
168,New Orleans Pelicans,113,Sacramento Kings,100
169,Oklahoma City Thunder,123,New York Knicks,94
170,Miami Heat,101,Los Angeles Lakers,95
