,Team1,1pts,Team2,2pts
0,Orlando Magic,87,Indiana Pacers,97
1,Chicago Bulls,95,Miami Heat,107
2,Los Angeles Clippers,103,Los Angeles Lakers,116
3,Brooklyn Nets,94,Cleveland Cavaliers,98
4,Boston Celtics,87,Toronto Raptors,93
5,Miami Heat,110,Philadelphia 76ers,114
6,Washington Wizards,102,Detroit Pistons,113
7,Milwaukee Bucks,83,New York Knicks,90
8,Indiana Pacers,95,New Orleans Pelicans,90
9,Orlando Magic,115,Minnesota Timberwolves,120
10,Charlotte Bobcats,83,Houston Rockets,96
11,Memphis Grizzlies,94,San Antonio Spurs,101
12,Atlanta Hawks,109,Dallas Mavericks,118
13,Oklahoma City Thunder,101,Utah Jazz,98
14,Portland Trail Blazers,91,Phoenix Suns,104
15,Denver Nuggets,88,Sacramento Kings,90
16,Los Angeles Lakers,94,Golden State Warriors,125
17,New York Knicks,81,Chicago Bulls,82
18,Golden State Warriors,115,Los Angeles Clippers,126
