,Team1,1pts,Team2,2pts
0,Miami Heat,83,Boston Celtics,75
1,Los Angeles Lakers,80,New York Knicks,92
2,Philadelphia 76ers,84,Cleveland Cavaliers,97
3,Charlotte Hornets,92,Washington Wizards,88
4,Los Angeles Clippers,100,Brooklyn Nets,102
5,Milwaukee Bucks,82,Toronto Raptors,75
6,Atlanta Hawks,100,New Orleans Pelicans,115
7,Orlando Magic,97,Oklahoma City Thunder,104
8,Minnesota Timberwolves,94,Dallas Mavericks,100
9,Memphis Grizzlies,102,Phoenix Suns,101
10,Denver Nuggets,98,Philadelphia 76ers,105
11,Miami Heat,91,Detroit Pistons,108
12,Boston Celtics,108,New York Knicks,97
13,Utah Jazz,102,Portland Trail Blazers,103
14,Golden State Warriors,121,Sacramento Kings,96
15,Detroit Pistons,109,Indiana Pacers,114
16,Washington Wizards,96,Atlanta Hawks,105
17,Denver Nuggets,100,Boston Celtics,104
18,Brooklyn Nets,109,Toronto Raptors,93
19,Chicago Bulls,90,Houston Rockets,101
20,Los Angeles Lakers,105,Milwaukee Bucks,113
21,Miami Heat,101,Minnesota Timberwolves,102
22,Oklahoma City Thunder,102,New Orleans Pelicans,91
23,Orlando Magic,103,San Antonio Spurs,110
24,Memphis Grizzlies,100,Utah Jazz,90
25,Dallas Mavericks,114,Golden State Warriors,128
26,Washington Wizards,87,Charlotte Hornets,94
27,Los Angeles Clippers,94,Cleveland Cavaliers,105
28,Dallas Mavericks,101,Sacramento Kings,78
29,Phoenix Suns,87,Portland Trail Blazers,108
30,New York Knicks,88,Brooklyn Nets,92
31,Cleveland Cavaliers,99,Indiana Pacers,103
32,Los Angeles Lakers,97,Orlando Magic,103
33,Los Angeles Clippers,107,Toronto Raptors,123
34,Golden State Warriors,116,Atlanta Hawks,124
35,Philadelphia 76ers,96,Boston Celtics,107
36,Denver Nuggets,88,Detroit Pistons,98
37,Milwaukee Bucks,111,Houston Rockets,117
38,Memphis Grizzlies,89,Minnesota Timberwolves,90
39,New Orleans Pelicans,116,Oklahoma City Thunder,113
40,Utah Jazz,93,Phoenix Suns,100
41,Miami Heat,85,San Antonio Spurs,98
42,Chicago Bulls,107,New Orleans Pelicans,72
43,Brooklyn Nets,77,Washington Wizards,114
44,Golden State Warriors,106,New York Knicks,92
45,Charlotte Hornets,81,Philadelphia 76ers,89
46,Portland Trail Blazers,101,Dallas Mavericks,111
47,Boston Celtics,93,Milwaukee Bucks,96
48,Sacramento Kings,90,Utah Jazz,102
49,Los Angeles Clippers,108,Oklahoma City Thunder,131
50,Los Angeles Lakers,105,Cleveland Cavaliers,120
51,Indiana Pacers,103,Charlotte Hornets,102
52,Minnesota Timberwolves,112,Detroit Pistons,101
53,Atlanta Hawks,88,Memphis Grizzlies,94
54,Chicago Bulls,98,Orlando Magic,97
55,Portland Trail Blazers,109,Houston Rockets,98
56,San Antonio Spurs,82,Toronto Raptors,87
57,Phoenix Suns,83,Sacramento Kings,85
58,San Antonio Spurs,95,Indiana Pacers,93
59,Golden State Warriors,89,Philadelphia 76ers,84
60,Orlando Magic,80,Washington Wizards,96
61,New York Knicks,95,Miami Heat,109
62,Brooklyn Nets,97,Milwaukee Bucks,103
63,Atlanta Hawks,117,Minnesota Timberwolves,105
64,Utah Jazz,100,New Orleans Pelicans,96
65,Los Angeles Clippers,115,Dallas Mavericks,98
66,Oklahoma City Thunder,124,Denver Nuggets,114
67,Detroit Pistons,106,Charlotte Hornets,78
68,Sacramento Kings,86,Chicago Bulls,104
69,Brooklyn Nets,86,Memphis Grizzlies,95
