,Team1,1pts,Team2,2pts
0,Los Angeles Lakers,131,Miami Heat,113
1,Philadelphia 76ers,108,Cleveland Cavaliers,97
2,Brooklyn Nets,111,Sacramento Kings,116
3,Minnesota Timberwolves,99,Portland Trail Blazers,108
4,Detroit Pistons,106,Orlando Magic,115
5,Charlotte Hornets,99,Philadelphia 76ers,110
6,Golden State Warriors,114,Atlanta Hawks,109
7,Dallas Mavericks,100,Chicago Bulls,108
8,Denver Nuggets,108,Memphis Grizzlies,102
9,Indiana Pacers,103,Milwaukee Bucks,96
10,Toronto Raptors,102,Washington Wizards,95
11,Oklahoma City Thunder,124,Phoenix Suns,116
12,New York Knicks,105,Los Angeles Clippers,128
13,Minnesota Timberwolves,108,Utah Jazz,116
14,Memphis Grizzlies,100,Orlando Magic,107
15,Denver Nuggets,126,Cleveland Cavaliers,117
16,Detroit Pistons,96,Miami Heat,105
17,Boston Celtics,120,Houston Rockets,123
18,Los Angeles Lakers,116,San Antonio Spurs,112
19,Oklahoma City Thunder,100,Portland Trail Blazers,108
20,Utah Jazz,98,Sacramento Kings,91
21,Phoenix Suns,112,Atlanta Hawks,113
22,Charlotte Hornets,98,Toronto Raptors,103
23,Indiana Pacers,98,Washington Wizards,95
24,New Orleans Pelicans,126,Dallas Mavericks,109
25,Philadelphia 76ers,110,Milwaukee Bucks,118
26,Brooklyn Nets,120,Los Angeles Clippers,123
27,New York Knicks,99,Sacramento Kings,102
28,Detroit Pistons,90,Cleveland Cavaliers,112
29,Milwaukee Bucks,89,Indiana Pacers,92
30,Phoenix Suns,103,Miami Heat,125
31,Boston Celtics,105,Chicago Bulls,89
32,Memphis Grizzlies,98,San Antonio Spurs,100
33,Orlando Magic,80,Utah Jazz,94
34,Portland Trail Blazers,108,Los Angeles Lakers,103
35,Philadelphia 76ers,128,Charlotte Hornets,114
36,Atlanta Hawks,90,Toronto Raptors,106
37,Miami Heat,113,Washington Wizards,117
38,Houston Rockets,122,Oklahoma City Thunder,112
39,Denver Nuggets,107,Dallas Mavericks,118
40,New York Knicks,87,Portland Trail Blazers,111
41,Brooklyn Nets,101,Golden State Warriors,114
42,New Orleans Pelicans,121,Los Angeles Clippers,116
