,Team1,1pts,Team2,2pts
0,Washington Wizards,89,New Orleans Hornets,97
1,San Antonio Spurs,86,Portland Trail Blazers,99
2,Boston Celtics,95,Sacramento Kings,90
3,Houston Rockets,106,Los Angeles Lakers,114
4,Toronto Raptors,87,Atlanta Hawks,100
5,Indiana Pacers,117,Cleveland Cavaliers,112
6,Philadelphia 76ers,106,New Jersey Nets,92
7,Charlotte Bobcats,97,Detroit Pistons,87
8,Dallas Mavericks,113,New York Knicks,97
9,Memphis Grizzlies,102,Minnesota Timberwolves,84
10,New Orleans Hornets,93,Oklahoma City Thunder,104
11,Portland Trail Blazers,90,Denver Nuggets,109
12,Milwaukee Bucks,77,Phoenix Suns,92
13,Houston Rockets,97,Utah Jazz,96
14,Chicago Bulls,106,Los Angeles Clippers,88
15,Miami Heat,104,Orlando Magic,100
16,Milwaukee Bucks,94,Golden State Warriors,100
17,San Antonio Spurs,89,Los Angeles Lakers,88
18,Miami Heat,109,Charlotte Bobcats,97
19,Portland Trail Blazers,87,Indiana Pacers,100
20,New York Knicks,98,Philadelphia 76ers,100
21,Minnesota Timberwolves,100,Toronto Raptors,111
22,Orlando Magic,110,Washington Wizards,92
23,Los Angeles Clippers,100,Atlanta Hawks,101
24,New Jersey Nets,82,Detroit Pistons,92
25,Dallas Mavericks,101,Boston Celtics,97
26,Cleveland Cavaliers,105,Memphis Grizzlies,112
27,Oklahoma City Thunder,111,Phoenix Suns,107
28,San Antonio Spurs,113,Sacramento Kings,100
29,Utah Jazz,113,Denver Nuggets,106
30,Dallas Mavericks,101,Charlotte Bobcats,92
31,Atlanta Hawks,99,Washington Wizards,92
32,Portland Trail Blazers,111,Cleveland Cavaliers,105
33,Los Angeles Lakers,101,New Orleans Hornets,95
34,Memphis Grizzlies,93,Houston Rockets,95
35,Detroit Pistons,89,Milwaukee Bucks,78
36,Denver Nuggets,113,Minnesota Timberwolves,100
37,Oklahoma City Thunder,121,Utah Jazz,105
38,Chicago Bulls,90,Golden State Warriors,101
39,Los Angeles Clippers,79,Miami Heat,97
40,Indiana Pacers,105,New Jersey Nets,86
41,Philadelphia 76ers,103,New York Knicks,117
42,Orlando Magic,80,Boston Celtics,91
