,Team1,1pts,Team2,2pts
126,Oklahoma City Thunder,89,Boston Celtics,84
127,Milwaukee Bucks,79,Philadelphia 76ers,90
128,Houston Rockets,96,Toronto Raptors,106
129,Memphis Grizzlies,86,Washington Wizards,89
130,Charlotte Bobcats,87,Miami Heat,95
131,Los Angeles Lakers,112,Minnesota Timberwolves,95
132,Cleveland Cavaliers,101,New Orleans Hornets,108
133,San Antonio Spurs,94,Utah Jazz,82
134,Chicago Bulls,88,Dallas Mavericks,83
135,New Jersey Nets,81,Sacramento Kings,86
136,New York Knicks,125,Golden State Warriors,119
137,Phoenix Suns,105,Charlotte Bobcats,123
138,Orlando Magic,90,Indiana Pacers,86
139,Dallas Mavericks,98,Atlanta Hawks,93
140,Miami Heat,95,Memphis Grizzlies,97
141,Oklahoma City Thunder,82,Milwaukee Bucks,81
142,Cleveland Cavaliers,92,San Antonio Spurs,116
143,New Jersey Nets,103,Denver Nuggets,107
144,Utah Jazz,103,Portland Trail Blazers,94
145,New York Knicks,124,Los Angeles Clippers,115
146,Boston Celtics,101,Toronto Raptors,102
147,Washington Wizards,110,Detroit Pistons,115
148,New Orleans Hornets,75,Sacramento Kings,71
149,Golden State Warriors,89,Los Angeles Lakers,117
150,Boston Celtics,99,Atlanta Hawks,76
151,Indiana Pacers,93,Miami Heat,77
152,Minnesota Timberwolves,107,Oklahoma City Thunder,117
153,Phoenix Suns,123,Houston Rockets,116
154,Orlando Magic,97,San Antonio Spurs,106
155,Sacramento Kings,83,Utah Jazz,94
156,Denver Nuggets,106,Golden State Warriors,89
157,New Orleans Hornets,95,Los Angeles Clippers,99
158,Cleveland Cavaliers,89,Indiana Pacers,100
159,Atlanta Hawks,101,New Jersey Nets,107
160,Philadelphia 76ers,114,Washington Wizards,116
161,Charlotte Bobcats,107,New York Knicks,110
162,Detroit Pistons,84,Dallas Mavericks,88
163,Chicago Bulls,91,Los Angeles Lakers,98
164,New York Knicks,99,Charlotte Bobcats,95
165,Milwaukee Bucks,81,Cleveland Cavaliers,83
166,Philadelphia 76ers,90,Toronto Raptors,106
167,New Jersey Nets,83,Boston Celtics,89
168,Miami Heat,95,Orlando Magic,104
169,Detroit Pistons,84,Memphis Grizzlies,105
170,San Antonio Spurs,113,Minnesota Timberwolves,109
171,Dallas Mavericks,111,Oklahoma City Thunder,103
172,Golden State Warriors,101,Houston Rockets,111
173,Chicago Bulls,123,Phoenix Suns,115
174,New Orleans Hornets,87,Utah Jazz,105
175,Washington Wizards,96,Atlanta Hawks,116
176,Sacramento Kings,82,Los Angeles Clippers,100
177,Houston Rockets,89,Charlotte Bobcats,99
178,Cleveland Cavaliers,100,Orlando Magic,111
179,Toronto Raptors,101,Boston Celtics,110
180,Milwaukee Bucks,89,Detroit Pistons,103
181,Philadelphia 76ers,90,Miami Heat,99
182,Oklahoma City Thunder,110,Indiana Pacers,106
183,Dallas Mavericks,103,San Antonio Spurs,94
184,Chicago Bulls,97,Denver Nuggets,98
185,Los Angeles Clippers,108,Phoenix Suns,116
186,Los Angeles Lakers,96,Utah Jazz,102
187,Golden State Warriors,111,Memphis Grizzlies,116
188,New Orleans Hornets,97,Portland Trail Blazers,78
189,Atlanta Hawks,99,New York Knicks,90
190,Orlando Magic,100,Washington Wizards,99
191,Memphis Grizzlies,86,Cleveland Cavaliers,92
192,New Jersey Nets,86,Philadelphia 76ers,102
193,Golden State Warriors,104,Minnesota Timberwolves,94
194,Miami Heat,95,Dallas Mavericks,106
195,Charlotte Bobcats,101,Milwaukee Bucks,104
196,Chicago Bulls,96,Sacramento Kings,85
197,Atlanta Hawks,96,Toronto Raptors,78
198,New York Knicks,125,Detroit Pistons,116
199,San Antonio Spurs,109,New Orleans Hornets,95
200,Utah Jazz,109,Los Angeles Clippers,97
201,Oklahoma City Thunder,98,Houston Rockets,99
202,Portland Trail Blazers,96,New Jersey Nets,98
203,Phoenix Suns,133,Denver Nuggets,138
204,Indiana Pacers,95,Los Angeles Lakers,92
205,Washington Wizards,94,Miami Heat,105
206,New Orleans Hornets,89,Oklahoma City Thunder,95
207,Houston Rockets,91,Dallas Mavericks,101
208,Milwaukee Bucks,88,Utah Jazz,109
209,Boston Celtics,106,Cleveland Cavaliers,87
210,Detroit Pistons,79,Orlando Magic,90
211,Portland Trail Blazers,79,Philadelphia 76ers,88
212,New Jersey Nets,100,New York Knicks,111
213,Los Angeles Lakers,96,Memphis Grizzlies,98
214,Indiana Pacers,107,Sacramento Kings,98
215,San Antonio Spurs,118,Golden State Warriors,98
