,Team1,1pts,Team2,2pts
0,Detroit Pistons,78,Charlotte Hornets,102
1,San Antonio Spurs,103,Orlando Magic,91
2,Philadelphia 76ers,93,Washington Wizards,106
3,Indiana Pacers,87,Boston Celtics,100
4,Brooklyn Nets,100,New York Knicks,98
5,Sacramento Kings,111,Houston Rockets,115
6,Chicago Bulls,91,Milwaukee Bucks,95
7,Toronto Raptors,113,Minnesota Timberwolves,99
8,Dallas Mavericks,135,Oklahoma City Thunder,131
9,Denver Nuggets,84,Utah Jazz,98
10,Los Angeles Clippers,126,Portland Trail Blazers,122
11,New Orleans Pelicans,113,Los Angeles Lakers,92
12,Miami Heat,88,Cleveland Cavaliers,114
13,Houston Rockets,108,Dallas Mavericks,101
14,Phoenix Suns,106,Golden State Warriors,107
15,Charlotte Hornets,74,Indiana Pacers,93
16,New York Knicks,87,Washington Wizards,101
17,Milwaukee Bucks,110,Boston Celtics,101
18,Toronto Raptors,109,Brooklyn Nets,114
19,Detroit Pistons,82,Chicago Bulls,88
20,Oklahoma City Thunder,92,Memphis Grizzlies,100
21,Orlando Magic,97,Minnesota Timberwolves,84
22,Denver Nuggets,93,San Antonio Spurs,123
23,New Orleans Pelicans,101,Sacramento Kings,95
24,Portland Trail Blazers,107,Los Angeles Lakers,77
25,Philadelphia 76ers,91,Charlotte Hornets,92
26,Brooklyn Nets,99,Atlanta Hawks,131
27,Miami Heat,98,Detroit Pistons,99
28,Boston Celtics,117,Toronto Raptors,116
29,Washington Wizards,92,Memphis Grizzlies,83
30,Golden State Warriors,123,Dallas Mavericks,110
31,Orlando Magic,97,Milwaukee Bucks,90
32,Los Angeles Clippers,107,Denver Nuggets,92
33,Utah Jazz,85,Phoenix Suns,87
34,New Orleans Pelicans,90,Portland Trail Blazers,99
35,Houston Rockets,115,Oklahoma City Thunder,112
36,Chicago Bulls,94,Cleveland Cavaliers,99
37,Miami Heat,89,Indiana Pacers,112
38,Golden State Warriors,92,San Antonio Spurs,107
39,Philadelphia 76ers,91,New York Knicks,101
40,Utah Jazz,101,Sacramento Kings,95
41,Los Angeles Clippers,106,Los Angeles Lakers,78
42,Portland Trail Blazers,96,Brooklyn Nets,106
43,Phoenix Suns,69,Atlanta Hawks,96
44,Charlotte Hornets,100,Miami Heat,105
45,Golden State Warriors,100,New Orleans Pelicans,103
46,San Antonio Spurs,113,Oklahoma City Thunder,88
47,Minnesota Timberwolves,111,Sacramento Kings,116
48,Los Angeles Lakers,100,Los Angeles Clippers,105
49,Toronto Raptors,92,Charlotte Hornets,74
50,Boston Celtics,113,Detroit Pistons,103
51,Chicago Bulls,103,Orlando Magic,105
52,Washington Wizards,119,Philadelphia 76ers,90
53,Atlanta Hawks,114,Brooklyn Nets,111
54,Indiana Pacers,102,New York Knicks,86
55,New Orleans Pelicans,74,Memphis Grizzlies,110
56,Cleveland Cavaliers,104,Milwaukee Bucks,99
57,Houston Rockets,98,San Antonio Spurs,110
58,Los Angeles Lakers,101,Denver Nuggets,119
59,Sacramento Kings,91,Utah Jazz,103
60,Phoenix Suns,104,Dallas Mavericks,107
61,Minnesota Timberwolves,91,Portland Trail Blazers,116
62,Chicago Bulls,89,Miami Heat,78
63,Portland Trail Blazers,105,Golden State Warriors,116
64,Toronto Raptors,101,Orlando Magic,99
65,Charlotte Hornets,80,Atlanta Hawks,104
66,Washington Wizards,80,Brooklyn Nets,117
67,Boston Celtics,99,Cleveland Cavaliers,90
68,Indiana Pacers,107,Detroit Pistons,103
69,Milwaukee Bucks,99,New York Knicks,91
70,San Antonio Spurs,104,Houston Rockets,103
71,Phoenix Suns,75,New Orleans Pelicans,90
72,Sacramento Kings,103,Oklahoma City Thunder,116
73,Dallas Mavericks,144,Denver Nuggets,143
74,Memphis Grizzlies,89,Utah Jazz,88
75,Minnesota Timberwolves,98,Los Angeles Lakers,106
76,New York Knicks,80,Orlando Magic,79
77,Toronto Raptors,107,Miami Heat,104
78,Philadelphia 76ers,107,Chicago Bulls,114
79,Memphis Grizzlies,86,Los Angeles Clippers,94
80,Utah Jazz,111,Portland Trail Blazers,105
81,Minnesota Timberwolves,101,Golden State Warriors,110
82,Cleveland Cavaliers,78,Boston Celtics,117
83,Brooklyn Nets,73,Milwaukee Bucks,96
84,Charlotte Hornets,77,Detroit Pistons,116
