,Team1,1pts,Team2,2pts
0,Brooklyn Nets,96,Indiana Pacers,97
1,Oklahoma City Thunder,81,Washington Wizards,96
2,Minnesota Timberwolves,113,Atlanta Hawks,120
3,Philadelphia 76ers,96,Detroit Pistons,113
4,Cleveland Cavaliers,92,Houston Rockets,106
5,Milwaukee Bucks,90,Memphis Grizzlies,99
6,Chicago Bulls,79,New Orleans Pelicans,88
7,Miami Heat,106,New York Knicks,91
8,Sacramento Kings,93,San Antonio Spurs,95
9,Charlotte Bobcats,95,Phoenix Suns,105
10,Toronto Raptors,103,Portland Trail Blazers,106
11,Utah Jazz,87,Los Angeles Clippers,102
12,Orlando Magic,89,Boston Celtics,96
13,Orlando Magic,79,Indiana Pacers,98
14,Portland Trail Blazers,90,Washington Wizards,100
15,Philadelphia 76ers,102,Brooklyn Nets,108
16,Detroit Pistons,96,Miami Heat,102
17,New York Knicks,98,Milwaukee Bucks,101
18,San Antonio Spurs,102,New Orleans Pelicans,95
19,Memphis Grizzlies,77,Oklahoma City Thunder,86
20,Cleveland Cavaliers,107,Dallas Mavericks,124
21,Los Angeles Clippers,115,Denver Nuggets,116
22,Toronto Raptors,94,Utah Jazz,79
23,Chicago Bulls,70,Sacramento Kings,99
24,Indiana Pacers,89,Atlanta Hawks,85
25,Los Angeles Lakers,99,Minnesota Timberwolves,109
26,Chicago Bulls,101,Phoenix Suns,92
27,Charlotte Bobcats,91,Golden State Warriors,75
28,Los Angeles Lakers,119,Cleveland Cavaliers,108
29,Detroit Pistons,98,Orlando Magic,112
30,Boston Celtics,114,Philadelphia 76ers,108
31,San Antonio Spurs,125,Washington Wizards,118
32,Phoenix Suns,108,Houston Rockets,122
33,Dallas Mavericks,110,Memphis Grizzlies,96
34,Atlanta Hawks,100,New Orleans Pelicans,105
35,Portland Trail Blazers,94,New York Knicks,90
36,Minnesota Timberwolves,97,Oklahoma City Thunder,106
37,Milwaukee Bucks,100,Denver Nuggets,110
38,Toronto Raptors,101,Sacramento Kings,109
39,Miami Heat,116,Los Angeles Clippers,112
40,San Antonio Spurs,89,Brooklyn Nets,103
41,Chicago Bulls,87,Golden State Warriors,102
42,Portland Trail Blazers,113,Indiana Pacers,118
43,Oklahoma City Thunder,102,Orlando Magic,103
44,Los Angeles Lakers,112,Philadelphia 76ers,98
45,Cleveland Cavaliers,115,Washington Wizards,113
46,Sacramento Kings,89,Boston Celtics,99
47,Brooklyn Nets,95,Detroit Pistons,111
48,Denver Nuggets,90,New York Knicks,117
49,Utah Jazz,81,Dallas Mavericks,103
50,Minnesota Timberwolves,91,New Orleans Pelicans,98
51,Toronto Raptors,105,Los Angeles Clippers,118
52,San Antonio Spurs,104,Charlotte Bobcats,100
53,Memphis Grizzlies,79,Atlanta Hawks,76
54,Denver Nuggets,109,Detroit Pistons,126
55,Portland Trail Blazers,117,Minnesota Timberwolves,110
56,Houston Rockets,101,Milwaukee Bucks,95
57,Golden State Warriors,109,Phoenix Suns,122
58,Miami Heat,89,Utah Jazz,94
59,New York Knicks,100,Oklahoma City Thunder,112
60,Chicago Bulls,92,Los Angeles Lakers,86
