,Team1,1pts,Team2,2pts
0,Dallas Mavericks,87,Charlotte Hornets,97
1,Milwaukee Bucks,111,Brooklyn Nets,93
2,Los Angeles Clippers,113,Cleveland Cavaliers,94
3,Orlando Magic,94,Memphis Grizzlies,95
4,Miami Heat,111,Utah Jazz,110
5,Houston Rockets,132,Golden State Warriors,127
6,Orlando Magic,105,Philadelphia 76ers,88
7,Sacramento Kings,92,Boston Celtics,97
8,Minnesota Timberwolves,114,New York Knicks,118
9,Los Angeles Lakers,80,Toronto Raptors,113
10,Detroit Pistons,121,Atlanta Hawks,85
11,Cleveland Cavaliers,105,Chicago Bulls,111
12,Los Angeles Clippers,114,New Orleans Pelicans,96
13,Washington Wizards,105,San Antonio Spurs,107
14,Houston Rockets,128,Denver Nuggets,110
15,Brooklyn Nets,103,Milwaukee Bucks,112
16,Minnesota Timberwolves,125,Charlotte Hornets,120
17,Boston Celtics,107,Philadelphia 76ers,106
18,Atlanta Hawks,84,Toronto Raptors,128
19,Los Angeles Lakers,100,Memphis Grizzlies,103
20,Chicago Bulls,82,Dallas Mavericks,107
21,Denver Nuggets,98,Utah Jazz,105
22,Miami Heat,92,Portland Trail Blazers,99
23,Phoenix Suns,109,Golden State Warriors,138
24,Orlando Magic,98,Detroit Pistons,92
25,New Orleans Pelicans,92,Oklahoma City Thunder,101
26,Sacramento Kings,98,New York Knicks,106
27,Indiana Pacers,111,Los Angeles Clippers,102
28,Denver Nuggets,106,Philadelphia 76ers,98
29,Oklahoma City Thunder,102,Atlanta Hawks,99
30,Washington Wizards,118,Brooklyn Nets,113
31,Cleveland Cavaliers,116,Toronto Raptors,112
32,Portland Trail Blazers,112,Chicago Bulls,110
33,Boston Celtics,106,Houston Rockets,107
34,San Antonio Spurs,97,Milwaukee Bucks,96
35,Memphis Grizzlies,110,New Orleans Pelicans,108
36,Charlotte Hornets,109,Dallas Mavericks,101
37,Indiana Pacers,106,Golden State Warriors,142
38,Utah Jazz,107,Los Angeles Lakers,101
39,Orlando Magic,124,Washington Wizards,116
40,Chicago Bulls,91,Detroit Pistons,102
41,New York Knicks,114,Miami Heat,103
42,Philadelphia 76ers,91,Memphis Grizzlies,96
43,San Antonio Spurs,105,Minnesota Timberwolves,91
44,Phoenix Suns,105,Utah Jazz,112
45,Detroit Pistons,77,Charlotte Hornets,87
46,Boston Celtics,117,Orlando Magic,87
47,Miami Heat,95,Atlanta Hawks,103
48,Denver Nuggets,111,Brooklyn Nets,116
49,Los Angeles Lakers,95,Houston Rockets,134
50,Portland Trail Blazers,107,Milwaukee Bucks,115
51,Cleveland Cavaliers,126,New York Knicks,94
52,Sacramento Kings,120,Dallas Mavericks,89
53,Indiana Pacers,109,Phoenix Suns,94
54,Golden State Warriors,115,Los Angeles Clippers,98
55,Minnesota Timberwolves,110,Toronto Raptors,124
56,Denver Nuggets,85,Washington Wizards,92
57,Portland Trail Blazers,86,Memphis Grizzlies,88
58,Philadelphia 76ers,99,New Orleans Pelicans,88
59,Golden State Warriors,106,Utah Jazz,99
60,San Antonio Spurs,91,Chicago Bulls,95
61,Orlando Magic,88,Charlotte Hornets,109
62,Toronto Raptors,101,Boston Celtics,94
63,Miami Heat,84,Cleveland Cavaliers,114
64,Atlanta Hawks,114,Milwaukee Bucks,110
