,Team1,1pts,Team2,2pts
0,Milwaukee Bucks,93,Charlotte Hornets,85
1,Philadelphia 76ers,130,Los Angeles Clippers,136
2,Dallas Mavericks,111,Minnesota Timberwolves,91
3,Toronto Raptors,118,Denver Nuggets,133
4,Detroit Pistons,100,Sacramento Kings,106
5,Los Angeles Lakers,122,New Orleans Pelicans,114
6,Washington Wizards,124,Golden State Warriors,110
7,Utah Jazz,126,Cleveland Cavaliers,113
8,Houston Rockets,123,New York Knicks,125
9,Portland Trail Blazers,130,Orlando Magic,107
10,Memphis Grizzlies,127,Atlanta Hawks,88
11,Milwaukee Bucks,89,Miami Heat,105
12,Dallas Mavericks,107,Chicago Bulls,109
13,Indiana Pacers,116,San Antonio Spurs,111
14,San Antonio Spurs,104,Charlotte Hornets,103
15,Brooklyn Nets,129,Boston Celtics,120
16,Minnesota Timberwolves,139,New Orleans Pelicans,134
17,Los Angeles Clippers,109,Oklahoma City Thunder,94
18,Golden State Warriors,116,Denver Nuggets,100
19,Toronto Raptors,123,Phoenix Suns,114
20,Philadelphia 76ers,107,Los Angeles Lakers,120
21,Washington Wizards,126,Sacramento Kings,133
22,Boston Celtics,112,Cleveland Cavaliers,106
23,Oklahoma City Thunder,114,Detroit Pistons,107
24,Indiana Pacers,100,Milwaukee Bucks,119
25,Memphis Grizzlies,118,Brooklyn Nets,79
26,Utah Jazz,112,New York Knicks,104
27,Orlando Magic,113,Miami Heat,116
28,Chicago Bulls,108,Minnesota Timberwolves,115
29,New Orleans Pelicans,123,Dallas Mavericks,127
30,Washington Wizards,104,Portland Trail Blazers,125
31,Denver Nuggets,114,Charlotte Hornets,112
32,Los Angeles Clippers,120,Houston Rockets,105
33,Philadelphia 76ers,125,Sacramento Kings,108
34,Toronto Raptors,121,Golden State Warriors,113
35,Atlanta Hawks,112,Washington Wizards,118
36,San Antonio Spurs,120,Brooklyn Nets,139
37,Oklahoma City Thunder,126,New York Knicks,103
38,Indiana Pacers,108,Chicago Bulls,102
39,Orlando Magic,132,Minnesota Timberwolves,118
40,Miami Heat,104,New Orleans Pelicans,110
41,Utah Jazz,99,Boston Celtics,94
42,Memphis Grizzlies,96,Dallas Mavericks,121
43,Portland Trail Blazers,117,Phoenix Suns,127
44,Milwaukee Bucks,103,Los Angeles Lakers,113
45,Houston Rockets,99,Charlotte Hornets,108
46,Utah Jazz,111,Detroit Pistons,105
47,Denver Nuggets,102,Cleveland Cavaliers,104
48,Atlanta Hawks,101,Memphis Grizzlies,118
49,Philadelphia 76ers,114,Golden State Warriors,118
50,Sacramento Kings,123,Portland Trail Blazers,111
51,Chicago Bulls,107,Brooklyn Nets,110
52,New Orleans Pelicans,120,Minnesota Timberwolves,107
53,Los Angeles Lakers,112,Los Angeles Clippers,103
54,Oklahoma City Thunder,105,Boston Celtics,104
55,Milwaukee Bucks,131,Phoenix Suns,140
56,Miami Heat,100,Washington Wizards,89
57,Indiana Pacers,112,Dallas Mavericks,109
58,Orlando Magic,126,Houston Rockets,106
59,Detroit Pistons,84,New York Knicks,96
60,San Antonio Spurs,129,Cleveland Cavaliers,132
61,Toronto Raptors,118,Sacramento Kings,113
62,Charlotte Hornets,138,Atlanta Hawks,143
63,Milwaukee Bucks,95,Denver Nuggets,109
64,Toronto Raptors,101,Utah Jazz,92
65,New York Knicks,115,Washington Wizards,122
66,Boston Celtics,114,Indiana Pacers,111
67,Minnesota Timberwolves,111,Houston Rockets,117
68,Dallas Mavericks,109,San Antonio Spurs,119
69,Orlando Magic,120,Memphis Grizzlies,115
70,Cleveland Cavaliers,103,Chicago Bulls,108
71,Phoenix Suns,105,Portland Trail Blazers,121
72,Brooklyn Nets,104,Los Angeles Lakers,102
73,Los Angeles Clippers,131,Golden State Warriors,107
74,Detroit Pistons,106,Philadelphia 76ers,124
75,New York Knicks,136,Atlanta Hawks,131
76,Charlotte Hornets,109,Miami Heat,98
77,Denver Nuggets,97,Dallas Mavericks,113
