,Team1,1pts,Team2,2pts
0,Atlanta Hawks,94,Charlotte Hornets,92
1,San Antonio Spurs,95,Boston Celtics,87
2,Houston Rockets,89,Miami Heat,109
3,Milwaukee Bucks,87,Toronto Raptors,106
4,Orlando Magic,87,Chicago Bulls,92
5,Denver Nuggets,93,Oklahoma City Thunder,117
6,Dallas Mavericks,103,Los Angeles Lakers,93
7,Cleveland Cavaliers,107,Philadelphia 76ers,100
8,Milwaukee Bucks,103,Brooklyn Nets,96
9,San Antonio Spurs,94,New York Knicks,84
10,Oklahoma City Thunder,105,Houston Rockets,110
11,Portland Trail Blazers,106,Minnesota Timberwolves,101
12,Memphis Grizzlies,69,Golden State Warriors,119
13,Phoenix Suns,96,Los Angeles Clippers,102
14,Chicago Bulls,105,Charlotte Hornets,130
15,Indiana Pacers,94,Detroit Pistons,82
16,Atlanta Hawks,98,Miami Heat,92
17,Orlando Magic,103,New Orleans Pelicans,94
18,Toronto Raptors,102,Dallas Mavericks,91
19,Memphis Grizzlies,103,Sacramento Kings,89
20,Denver Nuggets,120,Los Angeles Lakers,109
21,Boston Celtics,98,Indiana Pacers,100
22,San Antonio Spurs,99,Washington Wizards,102
23,Brooklyn Nets,87,Atlanta Hawks,101
24,New York Knicks,86,Cleveland Cavaliers,96
25,Orlando Magic,114,Houston Rockets,119
26,Philadelphia 76ers,87,Milwaukee Bucks,91
27,Toronto Raptors,103,Oklahoma City Thunder,98
28,Sacramento Kings,97,Phoenix Suns,118
29,Portland Trail Blazers,108,Utah Jazz,92
30,Los Angeles Clippers,108,Golden State Warriors,112
31,Oklahoma City Thunder,98,Chicago Bulls,104
32,Miami Heat,96,Minnesota Timberwolves,84
33,Charlotte Hornets,108,Dallas Mavericks,94
34,Utah Jazz,96,Denver Nuggets,84
35,Memphis Grizzlies,96,Portland Trail Blazers,115
36,Toronto Raptors,87,Orlando Magic,92
37,Washington Wizards,98,Boston Celtics,118
38,Los Angeles Lakers,104,Brooklyn Nets,98
39,Philadelphia 76ers,102,Cleveland Cavaliers,108
40,Milwaukee Bucks,99,New York Knicks,92
41,Miami Heat,87,Indiana Pacers,90
42,Atlanta Hawks,121,New Orleans Pelicans,115
43,Detroit Pistons,100,Phoenix Suns,92
44,Denver Nuggets,104,Golden State Warriors,119
45,Houston Rockets,116,Sacramento Kings,110
46,Minnesota Timberwolves,102,Chicago Bulls,93
47,Orlando Magic,105,Philadelphia 76ers,97
48,Washington Wizards,99,Atlanta Hawks,114
49,New Orleans Pelicans,98,Dallas Mavericks,107
50,Brooklyn Nets,86,Milwaukee Bucks,94
51,Charlotte Hornets,94,San Antonio Spurs,114
52,Memphis Grizzlies,79,Utah Jazz,89
53,Golden State Warriors,103,Sacramento Kings,94
54,Houston Rockets,109,Los Angeles Clippers,105
55,Indiana Pacers,97,Cleveland Cavaliers,101
56,Los Angeles Lakers,95,New York Knicks,99
57,Toronto Raptors,76,Miami Heat,96
58,Phoenix Suns,103,Oklahoma City Thunder,124
59,Detroit Pistons,120,Portland Trail Blazers,103
60,Orlando Magic,84,Indiana Pacers,97
61,Chicago Bulls,111,Philadelphia 76ers,88
62,Minnesota Timberwolves,117,Atlanta Hawks,107
63,Portland Trail Blazers,104,Denver Nuggets,108
64,San Antonio Spurs,106,Sacramento Kings,88
65,Detroit Pistons,95,Golden State Warriors,109
66,Memphis Grizzlies,92,Los Angeles Clippers,94
67,Utah Jazz,114,Cleveland Cavaliers,118
68,Oklahoma City Thunder,125,Washington Wizards,101
69,Los Angeles Lakers,88,Miami Heat,101
70,New York Knicks,111,Toronto Raptors,109
71,Boston Celtics,99,Milwaukee Bucks,83
72,Charlotte Hornets,104,Minnesota Timberwolves,95
73,Dallas Mavericks,105,New Orleans Pelicans,120
74,New York Knicks,93,Charlotte Hornets,95
75,Los Angeles Lakers,99,Orlando Magic,101
76,Toronto Raptors,119,Philadelphia 76ers,103
77,Indiana Pacers,102,Boston Celtics,91
78,New Orleans Pelicans,98,Atlanta Hawks,106
79,Los Angeles Clippers,108,Dallas Mavericks,118
80,Brooklyn Nets,106,Houston Rockets,98
81,Golden State Warriors,100,Memphis Grizzlies,84
82,Milwaukee Bucks,102,Denver Nuggets,103
83,Detroit Pistons,92,Sacramento Kings,101
84,San Antonio Spurs,113,Portland Trail Blazers,101
85,Utah Jazz,91,Miami Heat,92
86,Golden State Warriors,129,Minnesota Timberwolves,116
87,Los Angeles Clippers,104,Phoenix Suns,118
88,Minnesota Timberwolves,103,Indiana Pacers,107
89,Utah Jazz,93,Orlando Magic,102
90,Atlanta Hawks,93,Boston Celtics,106
91,Cleveland Cavaliers,90,New York Knicks,84
92,New Orleans Pelicans,81,Toronto Raptors,100
93,Charlotte Hornets,97,Chicago Bulls,102
94,Portland Trail Blazers,100,Memphis Grizzlies,101
95,Philadelphia 76ers,85,Oklahoma City Thunder,102
96,Los Angeles Lakers,82,Dallas Mavericks,90
97,Houston Rockets,98,Denver Nuggets,107
98,Brooklyn Nets,109,Sacramento Kings,111
99,Detroit Pistons,96,Los Angeles Clippers,101
100,Orlando Magic,99,Washington Wizards,108
101,Dallas Mavericks,110,Houston Rockets,98
102,Cleveland Cavaliers,105,Milwaukee Bucks,108
103,Philadelphia 76ers,83,San Antonio Spurs,92
104,Denver Nuggets,81,Phoenix Suns,105
105,Brooklyn Nets,99,Golden State Warriors,107
106,New Orleans Pelicans,87,New York Knicks,95
107,Memphis Grizzlies,114,Minnesota Timberwolves,106
108,Portland Trail Blazers,94,Charlotte Hornets,106
109,Utah Jazz,97,Atlanta Hawks,96
110,Boston Celtics,100,Oklahoma City Thunder,85
111,Toronto Raptors,101,Sacramento Kings,107
112,Detroit Pistons,85,Los Angeles Lakers,97
113,Dallas Mavericks,92,Philadelphia 76ers,86
114,Indiana Pacers,95,Chicago Bulls,96
115,Boston Celtics,111,Houston Rockets,95
116,Oklahoma City Thunder,114,Memphis Grizzlies,122
117,Portland Trail Blazers,80,San Antonio Spurs,93
118,Los Angeles Lakers,101,Phoenix Suns,120
119,Milwaukee Bucks,86,Washington Wizards,115
120,Atlanta Hawks,88,Brooklyn Nets,90
121,Cleveland Cavaliers,99,Detroit Pistons,104
122,Minnesota Timberwolves,103,Miami Heat,91
123,Charlotte Hornets,94,New York Knicks,102
124,Denver Nuggets,115,New Orleans Pelicans,98
125,Toronto Raptors,110,Golden State Warriors,115
126,Brooklyn Nets,111,Charlotte Hornets,116
127,Minnesota Timberwolves,101,Orlando Magic,104
128,Indiana Pacers,112,Philadelphia 76ers,85
129,Dallas Mavericks,106,Boston Celtics,102
130,Sacramento Kings,97,Atlanta Hawks,103
131,Portland Trail Blazers,103,Houston Rockets,108
132,New Orleans Pelicans,103,Oklahoma City Thunder,110
133,Denver Nuggets,98,San Antonio Spurs,109
134,Toronto Raptors,89,Utah Jazz,93
135,Chicago Bulls,103,Phoenix Suns,97
136,Sacramento Kings,109,Miami Heat,116
137,Milwaukee Bucks,100,Cleveland Cavaliers,115
138,Golden State Warriors,124,Los Angeles Clippers,117
139,Philadelphia 76ers,88,Charlotte Hornets,113
140,Brooklyn Nets,95,Boston Celtics,120
141,Houston Rockets,84,Memphis Grizzlies,96
142,Detroit Pistons,96,Minnesota Timberwolves,86
143,San Antonio Spurs,90,New Orleans Pelicans,104
144,New York Knicks,93,Oklahoma City Thunder,90
145,Utah Jazz,93,Dallas Mavericks,102
146,Phoenix Suns,114,Denver Nuggets,107
147,Los Angeles Clippers,91,Portland Trail Blazers,102
148,Chicago Bulls,94,Golden State Warriors,106
149,Toronto Raptors,102,Los Angeles Lakers,91
150,Sacramento Kings,97,Orlando Magic,91
151,Milwaukee Bucks,86,Indiana Pacers,123
152,Atlanta Hawks,97,Cleveland Cavaliers,109
153,Washington Wizards,97,Detroit Pistons,95
154,New York Knicks,107,Houston Rockets,102
155,Philadelphia 76ers,91,Miami Heat,96
156,Memphis Grizzlies,82,San Antonio Spurs,92
157,Toronto Raptors,91,Los Angeles Clippers,80
158,Boston Celtics,101,Brooklyn Nets,111
159,Phoenix Suns,116,New Orleans Pelicans,122
160,Dallas Mavericks,114,Oklahoma City Thunder,117
161,Golden State Warriors,118,Denver Nuggets,105
162,Portland Trail Blazers,107,Los Angeles Lakers,93
163,Sacramento Kings,122,Charlotte Hornets,127
164,Orlando Magic,103,Cleveland Cavaliers,117
165,New York Knicks,78,Miami Heat,95
166,Detroit Pistons,88,Milwaukee Bucks,109
167,Philadelphia 76ers,95,Minnesota Timberwolves,100
168,Phoenix Suns,84,San Antonio Spurs,98
169,Oklahoma City Thunder,111,Utah Jazz,89
170,Indiana Pacers,123,Washington Wizards,106
171,Boston Celtics,97,Atlanta Hawks,121
172,Dallas Mavericks,96,Memphis Grizzlies,110
173,Los Angeles Clippers,111,Denver Nuggets,94
174,Chicago Bulls,93,Portland Trail Blazers,88
175,Los Angeles Lakers,77,Golden State Warriors,111
176,Washington Wizards,87,Charlotte Hornets,101
177,New York Knicks,91,Orlando Magic,100
178,Philadelphia 76ers,80,Boston Celtics,84
179,Miami Heat,81,Detroit Pistons,104
180,Cleveland Cavaliers,99,Toronto Raptors,103
181,Memphis Grizzlies,102,Houston Rockets,93
182,Sacramento Kings,129,Milwaukee Bucks,118
183,Atlanta Hawks,95,Minnesota Timberwolves,99
184,Brooklyn Nets,99,Oklahoma City Thunder,110
185,Dallas Mavericks,83,San Antonio Spurs,88
186,New Orleans Pelicans,120,Phoenix Suns,114
187,Utah Jazz,102,Los Angeles Clippers,91
188,Cleveland Cavaliers,95,Charlotte Hornets,90
189,Milwaukee Bucks,90,Orlando Magic,114
190,Washington Wizards,78,Boston Celtics,111
191,Miami Heat,97,New York Knicks,78
192,Philadelphia 76ers,114,Houston Rockets,116
193,Chicago Bulls,92,Indiana Pacers,104
194,Atlanta Hawks,116,Memphis Grizzlies,101
195,Detroit Pistons,87,Oklahoma City Thunder,103
196,San Antonio Spurs,91,Denver Nuggets,80
197,Golden State Warriors,135,Phoenix Suns,116
198,Minnesota Timberwolves,101,Sacramento Kings,91
199,New Orleans Pelicans,90,Los Angeles Clippers,111
200,Toronto Raptors,84,Washington Wizards,82
201,Brooklyn Nets,88,Cleveland Cavaliers,90
202,Denver Nuggets,81,Dallas Mavericks,92
203,Atlanta Hawks,88,San Antonio Spurs,108
204,New Orleans Pelicans,87,Utah Jazz,101
205,Los Angeles Lakers,96,Portland Trail Blazers,108
206,Sacramento Kings,101,Golden State Warriors,120
207,Milwaukee Bucks,82,Charlotte Hornets,87
208,Minnesota Timberwolves,99,Los Angeles Clippers,107
209,Detroit Pistons,83,Brooklyn Nets,87
210,Philadelphia 76ers,84,Memphis Grizzlies,92
211,Boston Celtics,91,Orlando Magic,110
212,Phoenix Suns,107,Toronto Raptors,102
213,Houston Rockets,116,New York Knicks,111
214,Indiana Pacers,107,Los Angeles Lakers,103
215,Houston Rockets,105,Detroit Pistons,116
216,Boston Celtics,105,Miami Heat,95
217,Oklahoma City Thunder,100,Atlanta Hawks,106
218,San Antonio Spurs,89,Chicago Bulls,92
219,Denver Nuggets,74,Milwaukee Bucks,92
220,Golden State Warriors,106,Utah Jazz,103
221,Dallas Mavericks,98,Sacramento Kings,112
222,Portland Trail Blazers,87,Los Angeles Clippers,102
