,Team1,1pts,Team2,2pts
0,Orlando Magic,98,Miami Heat,112
1,Washington Wizards,122,Philadelphia 76ers,103
2,Indiana Pacers,102,Boston Celtics,97
3,Detroit Pistons,110,Houston Rockets,118
4,Brooklyn Nets,107,Milwaukee Bucks,98
5,Cleveland Cavaliers,96,Memphis Grizzlies,110
6,Denver Nuggets,96,Portland Trail Blazers,102
7,Minnesota Timberwolves,108,Sacramento Kings,97
8,New Orleans Pelicans,76,Los Angeles Clippers,108
9,New York Knicks,90,Chicago Bulls,109
10,Golden State Warriors,98,Toronto Raptors,104
11,Utah Jazz,91,Indiana Pacers,94
12,Philadelphia 76ers,81,Orlando Magic,92
13,Charlotte Bobcats,99,Oklahoma City Thunder,116
14,Dallas Mavericks,106,San Antonio Spurs,112
15,Atlanta Hawks,120,Phoenix Suns,129
16,Memphis Grizzlies,110,Washington Wizards,104
17,Chicago Bulls,80,Brooklyn Nets,96
18,New York Knicks,85,Detroit Pistons,96
19,Charlotte Bobcats,107,Miami Heat,124
20,Utah Jazz,88,Milwaukee Bucks,114
21,Minnesota Timberwolves,132,Denver Nuggets,128
22,Los Angeles Lakers,107,Portland Trail Blazers,106
23,New Orleans Pelicans,89,Sacramento Kings,96
24,San Antonio Spurs,122,Cleveland Cavaliers,101
25,Golden State Warriors,98,Indiana Pacers,96
26,Miami Heat,103,Houston Rockets,106
27,Philadelphia 76ers,92,Oklahoma City Thunder,125
28,Los Angeles Clippers,104,Phoenix Suns,96
29,New Orleans Pelicans,132,Los Angeles Lakers,125
30,Indiana Pacers,87,Charlotte Bobcats,109
31,Houston Rockets,101,Orlando Magic,89
32,Utah Jazz,91,Washington Wizards,104
33,Golden State Warriors,108,Boston Celtics,88
34,Memphis Grizzlies,94,Brooklyn Nets,103
35,Chicago Bulls,105,Detroit Pistons,94
36,Dallas Mavericks,110,Denver Nuggets,115
37,Sacramento Kings,116,Milwaukee Bucks,102
38,New York Knicks,118,Minnesota Timberwolves,106
39,Atlanta Hawks,78,Portland Trail Blazers,102
40,Miami Heat,87,San Antonio Spurs,111
41,Oklahoma City Thunder,122,Phoenix Suns,128
42,Los Angeles Clippers,142,Los Angeles Lakers,94
43,Cleveland Cavaliers,92,Charlotte Bobcats,101
44,Memphis Grizzlies,85,Chicago Bulls,77
45,Sacramento Kings,87,Toronto Raptors,99
