,Team1,1pts,Team2,2pts
0,Memphis Grizzlies,92,Charlotte Hornets,100
1,Boston Celtics,113,New York Knicks,99
2,Oklahoma City Thunder,118,Miami Heat,102
3,Atlanta Hawks,112,Utah Jazz,128
4,Houston Rockets,122,Denver Nuggets,136
5,Los Angeles Clippers,111,Detroit Pistons,101
6,Chicago Bulls,118,Charlotte Hornets,125
7,Brooklyn Nets,89,Orlando Magic,102
8,Milwaukee Bucks,131,Washington Wizards,115
9,Dallas Mavericks,111,Cleveland Cavaliers,98
10,Indiana Pacers,95,Miami Heat,88
11,Los Angeles Lakers,101,Golden State Warriors,115
12,New Orleans Pelicans,108,San Antonio Spurs,113
13,Denver Nuggets,107,Minnesota Timberwolves,106
14,Atlanta Hawks,118,Phoenix Suns,112
15,Houston Rockets,125,Utah Jazz,98
16,Philadelphia 76ers,108,Sacramento Kings,115
17,Memphis Grizzlies,96,New York Knicks,84
18,Oklahoma City Thunder,129,Boston Celtics,134
19,Los Angeles Clippers,103,Toronto Raptors,121
20,Denver Nuggets,103,Detroit Pistons,129
21,Atlanta Hawks,137,Washington Wizards,129
22,Milwaukee Bucks,113,Brooklyn Nets,94
23,Indiana Pacers,109,New Orleans Pelicans,107
24,Houston Rockets,118,Phoenix Suns,110
25,San Antonio Spurs,112,Sacramento Kings,127
26,Los Angeles Clippers,117,Charlotte Hornets,115
27,Boston Celtics,103,Cleveland Cavaliers,96
28,Los Angeles Lakers,94,Indiana Pacers,136
29,Detroit Pistons,105,New York Knicks,92
30,Minnesota Timberwolves,106,Memphis Grizzlies,108
31,Orlando Magic,122,Oklahoma City Thunder,132
32,Toronto Raptors,119,Philadelphia 76ers,107
33,Miami Heat,118,Portland Trail Blazers,108
34,Denver Nuggets,130,Brooklyn Nets,135
35,New Orleans Pelicans,125,Chicago Bulls,120
36,Washington Wizards,129,Milwaukee Bucks,148
37,Charlotte Hornets,93,Dallas Mavericks,99
38,Phoenix Suns,88,Utah Jazz,116
39,Houston Rockets,127,Sacramento Kings,101
40,San Antonio Spurs,102,Golden State Warriors,141
41,Los Angeles Clippers,92,Indiana Pacers,116
42,Minnesota Timberwolves,112,Orlando Magic,122
43,Toronto Raptors,119,Atlanta Hawks,101
44,Los Angeles Lakers,129,Boston Celtics,128
45,Memphis Grizzlies,95,Oklahoma City Thunder,117
46,San Antonio Spurs,118,Portland Trail Blazers,127
47,New York Knicks,103,Detroit Pistons,120
48,Denver Nuggets,110,Philadelphia 76ers,117
49,Cleveland Cavaliers,106,Washington Wizards,119
50,Chicago Bulls,125,Brooklyn Nets,106
51,Milwaukee Bucks,122,Dallas Mavericks,107
52,Golden State Warriors,117,Phoenix Suns,107
53,Minnesota Timberwolves,117,New Orleans Pelicans,122
54,Miami Heat,96,Sacramento Kings,102
55,San Antonio Spurs,105,Utah Jazz,125
56,Cleveland Cavaliers,90,Indiana Pacers,105
57,Charlotte Hornets,129,Atlanta Hawks,120
58,Toronto Raptors,104,New York Knicks,99
59,Los Angeles Clippers,123,Boston Celtics,112
60,Washington Wizards,134,Chicago Bulls,125
61,New Orleans Pelicans,90,Memphis Grizzlies,99
62,Oklahoma City Thunder,117,Houston Rockets,112
63,Orlando Magic,103,Milwaukee Bucks,83
64,Portland Trail Blazers,101,Dallas Mavericks,102
65,Los Angeles Lakers,120,Philadelphia 76ers,143
66,Phoenix Suns,104,Sacramento Kings,117
67,Orlando Magic,124,Atlanta Hawks,108
68,Miami Heat,118,Golden State Warriors,120
69,New York Knicks,104,Cleveland Cavaliers,107
70,Washington Wizards,112,Detroit Pistons,121
71,Charlotte Hornets,90,Indiana Pacers,99
72,Brooklyn Nets,125,Toronto Raptors,127
73,Milwaukee Bucks,112,Chicago Bulls,99
74,Dallas Mavericks,104,Houston Rockets,120
75,Los Angeles Clippers,120,Minnesota Timberwolves,130
76,Portland Trail Blazers,111,Oklahoma City Thunder,120
77,Miami Heat,87,Denver Nuggets,103
78,Los Angeles Lakers,113,Atlanta Hawks,117
79,San Antonio Spurs,108,Memphis Grizzlies,107
80,Orlando Magic,118,New Orleans Pelicans,88
81,Boston Celtics,112,Philadelphia 76ers,109
82,Utah Jazz,108,Golden State Warriors,115
83,Brooklyn Nets,148,Cleveland Cavaliers,139
84,Milwaukee Bucks,106,Indiana Pacers,97
85,Detroit Pistons,110,Boston Celtics,118
86,Philadelphia 76ers,126,New York Knicks,111
87,Washington Wizards,120,Toronto Raptors,129
88,Memphis Grizzlies,110,Chicago Bulls,122
89,Houston Rockets,111,Minnesota Timberwolves,121
90,Miami Heat,112,Dallas Mavericks,101
91,Sacramento Kings,118,Denver Nuggets,120
92,Phoenix Suns,107,Los Angeles Clippers,134
93,Golden State Warriors,107,Portland Trail Blazers,129
94,Charlotte Hornets,89,Orlando Magic,127
95,New York Knicks,106,Atlanta Hawks,91
96,Oklahoma City Thunder,122,New Orleans Pelicans,131
97,Phoenix Suns,98,Cleveland Cavaliers,111
98,Miami Heat,102,Philadelphia 76ers,106
99,Portland Trail Blazers,113,Brooklyn Nets,99
100,Boston Celtics,97,Milwaukee Bucks,98
101,Sacramento Kings,123,Golden State Warriors,125
102,Houston Rockets,106,Los Angeles Lakers,111
103,Washington Wizards,110,Charlotte Hornets,123
104,New Orleans Pelicans,111,Indiana Pacers,126
105,Chicago Bulls,110,Orlando Magic,109
106,San Antonio Spurs,117,Toronto Raptors,120
107,Detroit Pistons,125,Atlanta Hawks,122
108,Minnesota Timberwolves,115,New York Knicks,104
109,Los Angeles Clippers,112,Memphis Grizzlies,106
110,Denver Nuggets,114,Dallas Mavericks,104
111,Utah Jazz,147,Oklahoma City Thunder,148
112,Portland Trail Blazers,130,Philadelphia 76ers,115
113,Phoenix Suns,112,Atlanta Hawks,120
114,Brooklyn Nets,117,Charlotte Hornets,115
115,Memphis Grizzlies,107,Cleveland Cavaliers,112
116,Los Angeles Lakers,115,New Orleans Pelicans,128
117,Indiana Pacers,119,Washington Wizards,112
118,Detroit Pistons,119,Miami Heat,96
119,Boston Celtics,116,Chicago Bulls,126
120,Sacramento Kings,119,Oklahoma City Thunder,116
121,Houston Rockets,118,Golden State Warriors,112
122,Minnesota Timberwolves,128,Milwaukee Bucks,140
123,Dallas Mavericks,109,Utah Jazz,125
124,Orlando Magic,113,Toronto Raptors,98
125,Los Angeles Clippers,96,Denver Nuggets,123
126,San Antonio Spurs,118,New York Knicks,130
127,Golden State Warriors,121,Charlotte Hornets,110
128,Portland Trail Blazers,123,Cleveland Cavaliers,110
129,Indiana Pacers,109,Detroit Pistons,113
130,San Antonio Spurs,85,Brooklyn Nets,101
131,Phoenix Suns,124,Miami Heat,121
132,Milwaukee Bucks,117,Chicago Bulls,106
133,Atlanta Hawks,111,Houston Rockets,119
134,Los Angeles Lakers,105,Memphis Grizzlies,110
135,Sacramento Kings,105,Minnesota Timberwolves,112
136,Philadelphia 76ers,111,New Orleans Pelicans,110
137,Dallas Mavericks,112,Los Angeles Clippers,121
138,Orlando Magic,103,New York Knicks,108
139,Boston Celtics,95,Toronto Raptors,118
140,Oklahoma City Thunder,112,Denver Nuggets,121
141,Houston Rockets,118,Charlotte Hornets,113
142,Minnesota Timberwolves,123,Atlanta Hawks,131
143,Washington Wizards,125,Brooklyn Nets,116
144,Golden State Warriors,125,Miami Heat,126
145,Portland Trail Blazers,97,Boston Celtics,92
146,Chicago Bulls,109,Memphis Grizzlies,107
147,Indiana Pacers,101,Dallas Mavericks,110
148,Detroit Pistons,93,San Antonio Spurs,105
149,Los Angeles Clippers,105,Utah Jazz,111
150,Milwaukee Bucks,141,Sacramento Kings,140
151,New Orleans Pelicans,119,Los Angeles Lakers,125
152,Minnesota Timberwolves,115,Indiana Pacers,122
153,Golden State Warriors,96,Orlando Magic,103
154,Cleveland Cavaliers,125,New York Knicks,118
155,Miami Heat,118,Houston Rockets,121
156,Philadelphia 76ers,108,Oklahoma City Thunder,104
157,Utah Jazz,111,Denver Nuggets,104
