,Team1,1pts,Team2,2pts
0,Portland Trail Blazers,118,Cleveland Cavaliers,117
1,Brooklyn Nets,89,Miami Heat,102
2,Philadelphia 76ers,88,Chicago Bulls,93
3,Utah Jazz,116,Houston Rockets,124
4,Oklahoma City Thunder,100,New Orleans Hornets,79
5,Boston Celtics,88,Milwaukee Bucks,91
6,Memphis Grizzlies,95,San Antonio Spurs,99
7,Detroit Pistons,77,Dallas Mavericks,92
8,Indiana Pacers,92,Golden State Warriors,103
9,Sacramento Kings,81,Los Angeles Clippers,116
10,Phoenix Suns,99,New York Knicks,106
11,Orlando Magic,113,Los Angeles Lakers,103
12,Portland Trail Blazers,118,Charlotte Bobcats,112
13,Cleveland Cavaliers,79,Detroit Pistons,89
14,Milwaukee Bucks,81,New Orleans Hornets,102
15,Toronto Raptors,110,Denver Nuggets,113
16,Los Angeles Clippers,105,Utah Jazz,104
17,Orlando Magic,102,Golden State Warriors,94
18,Minnesota Timberwolves,105,Philadelphia 76ers,88
19,Miami Heat,101,Washington Wizards,105
20,Oklahoma City Thunder,117,Brooklyn Nets,111
21,Indiana Pacers,80,Chicago Bulls,76
22,Los Angeles Lakers,105,Houston Rockets,107
23,Phoenix Suns,98,Memphis Grizzlies,108
24,New York Knicks,100,Charlotte Bobcats,98
25,Portland Trail Blazers,92,Indiana Pacers,99
26,Minnesota Timberwolves,94,Boston Celtics,104
27,Golden State Warriors,104,Detroit Pistons,97
28,Denver Nuggets,104,Atlanta Hawks,108
29,Chicago Bulls,95,Cleveland Cavaliers,85
30,Los Angeles Lakers,103,New Orleans Hornets,87
31,Milwaukee Bucks,99,San Antonio Spurs,110
32,Orlando Magic,81,Utah Jazz,87
33,Toronto Raptors,100,Sacramento Kings,107
34,Dallas Mavericks,90,Los Angeles Clippers,112
35,New York Knicks,112,Miami Heat,92
36,Dallas Mavericks,97,Phoenix Suns,94
37,Denver Nuggets,92,Indiana Pacers,89
38,Boston Celtics,94,Philadelphia 76ers,95
39,Washington Wizards,95,Atlanta Hawks,104
40,Golden State Warriors,109,Brooklyn Nets,102
41,Chicago Bulls,108,Detroit Pistons,104
42,Cleveland Cavaliers,73,Minnesota Timberwolves,91
43,Memphis Grizzlies,96,New Orleans Hornets,89
44,Charlotte Bobcats,93,Milwaukee Bucks,108
45,Houston Rockets,92,San Antonio Spurs,114
46,Toronto Raptors,99,Utah Jazz,131
47,Los Angeles Lakers,108,Oklahoma City Thunder,114
48,Orlando Magic,82,Sacramento Kings,91
49,Phoenix Suns,99,Los Angeles Clippers,117
50,San Antonio Spurs,132,Charlotte Bobcats,102
51,Golden State Warriors,101,Washington Wizards,97
52,Philadelphia 76ers,79,Boston Celtics,92
53,Detroit Pistons,104,Cleveland Cavaliers,97
54,New Orleans Hornets,90,Miami Heat,106
55,New York Knicks,85,Chicago Bulls,93
56,Dallas Mavericks,116,Houston Rockets,109
57,Atlanta Hawks,93,Memphis Grizzlies,83
58,Sacramento Kings,99,Portland Trail Blazers,80
59,Toronto Raptors,83,Los Angeles Clippers,102
60,Milwaukee Bucks,97,Brooklyn Nets,88
61,Indiana Pacers,93,Oklahoma City Thunder,104
62,Denver Nuggets,106,New York Knicks,112
63,Orlando Magic,98,Phoenix Suns,90
64,Utah Jazz,117,Los Angeles Lakers,110
65,Golden State Warriors,104,Charlotte Bobcats,96
66,Detroit Pistons,97,Philadelphia 76ers,104
67,Atlanta Hawks,92,Miami Heat,101
68,San Antonio Spurs,134,Houston Rockets,126
69,Sacramento Kings,96,Dallas Mavericks,119
70,Toronto Raptors,74,Portland Trail Blazers,92
71,New York Knicks,100,Brooklyn Nets,97
72,Los Angeles Lakers,94,Cleveland Cavaliers,100
73,Denver Nuggets,101,Detroit Pistons,94
74,Washington Wizards,77,New Orleans Hornets,70
75,Los Angeles Clippers,94,Chicago Bulls,89
76,Cleveland Cavaliers,81,Indiana Pacers,96
77,Atlanta Hawks,86,Orlando Magic,80
78,Brooklyn Nets,94,Toronto Raptors,88
79,Los Angeles Clippers,100,Charlotte Bobcats,94
80,Golden State Warriors,97,Miami Heat,95
81,Chicago Bulls,96,Philadelphia 76ers,89
82,Dallas Mavericks,115,Boston Celtics,117
83,Washington Wizards,93,Houston Rockets,99
84,Sacramento Kings,85,Milwaukee Bucks,98
85,Denver Nuggets,105,Minnesota Timberwolves,108
86,New Orleans Hornets,88,Oklahoma City Thunder,92
87,Memphis Grizzlies,80,Phoenix Suns,82
88,San Antonio Spurs,96,Utah Jazz,99
89,Charlotte Bobcats,90,Atlanta Hawks,113
90,Los Angeles Lakers,107,New York Knicks,116
91,San Antonio Spurs,90,Portland Trail Blazers,98
92,Philadelphia 76ers,85,Indiana Pacers,95
93,Golden State Warriors,85,Orlando Magic,99
94,Dallas Mavericks,74,Toronto Raptors,95
95,Los Angeles Lakers,102,Washington Wizards,96
96,Detroit Pistons,105,Brooklyn Nets,107
97,Milwaukee Bucks,90,Cleveland Cavaliers,86
98,Boston Celtics,89,Houston Rockets,101
99,Minnesota Timberwolves,113,New Orleans Hornets,102
100,Sacramento Kings,103,Oklahoma City Thunder,113
101,Utah Jazz,84,Phoenix Suns,99
102,Memphis Grizzlies,94,Denver Nuggets,99
103,Golden State Warriors,115,Atlanta Hawks,93
104,Orlando Magic,107,Charlotte Bobcats,98
105,Indiana Pacers,88,Detroit Pistons,77
106,Washington Wizards,72,Miami Heat,102
107,Cleveland Cavaliers,102,New York Knicks,103
108,Brooklyn Nets,82,Chicago Bulls,83
109,Dallas Mavericks,106,Minnesota Timberwolves,114
