,Team1,1pts,Team2,2pts
0,Philadelphia 76ers,119,Charlotte Hornets,102
1,Washington Wizards,94,Chicago Bulls,113
2,Indiana Pacers,111,Los Angeles Clippers,104
3,Houston Rockets,83,San Antonio Spurs,100
4,Orlando Magic,88,Atlanta Hawks,94
5,Detroit Pistons,108,Brooklyn Nets,96
6,Dallas Mavericks,87,Cleveland Cavaliers,98
7,Oklahoma City Thunder,109,New Orleans Pelicans,104
8,Utah Jazz,121,Minnesota Timberwolves,97
9,Milwaukee Bucks,125,Denver Nuggets,128
10,Phoenix Suns,107,Golden State Warriors,117
11,Memphis Grizzlies,98,Portland Trail Blazers,113
12,Sacramento Kings,84,Los Angeles Lakers,83
13,Toronto Raptors,106,Cleveland Cavaliers,112
14,Brooklyn Nets,95,Philadelphia 76ers,121
15,Atlanta Hawks,98,Miami Heat,101
16,Orlando Magic,97,New York Knicks,73
17,Charlotte Hornets,114,Chicago Bulls,120
18,Washington Wizards,104,Houston Rockets,120
19,Boston Celtics,102,Milwaukee Bucks,106
20,Golden State Warriors,111,Oklahoma City Thunder,107
21,Portland Trail Blazers,109,Dallas Mavericks,115
22,Indiana Pacers,104,Denver Nuggets,107
23,Los Angeles Lakers,110,Utah Jazz,117
24,Sacramento Kings,94,Phoenix Suns,97
25,San Antonio Spurs,110,Los Angeles Clippers,113
26,Philadelphia 76ers,115,Detroit Pistons,108
27,Dallas Mavericks,100,Orlando Magic,105
28,Miami Heat,115,Atlanta Hawks,86
29,Memphis Grizzlies,95,New Orleans Pelicans,123
30,Boston Celtics,78,Toronto Raptors,96
31,San Antonio Spurs,112,Los Angeles Lakers,122
32,Golden State Warriors,106,Indiana Pacers,126
33,Washington Wizards,115,Cleveland Cavaliers,119
34,Portland Trail Blazers,94,Houston Rockets,96
35,Brooklyn Nets,119,Milwaukee Bucks,111
36,Los Angeles Clippers,95,Utah Jazz,117
37,Minnesota Timberwolves,96,Denver Nuggets,100
38,Dallas Mavericks,106,Detroit Pistons,113
39,Charlotte Hornets,137,Orlando Magic,100
40,Cleveland Cavaliers,130,Philadelphia 76ers,132
41,Atlanta Hawks,103,Washington Wizards,97
42,Chicago Bulls,104,Boston Celtics,111
43,Miami Heat,98,New York Knicks,122
44,Indiana Pacers,73,Toronto Raptors,92
45,Sacramento Kings,94,Memphis Grizzlies,93
46,New Orleans Pelicans,122,Phoenix Suns,103
47,Minnesota Timberwolves,113,Los Angeles Lakers,96
48,Denver Nuggets,134,Los Angeles Clippers,115
49,Milwaukee Bucks,115,New York Knicks,102
50,Brooklyn Nets,124,Chicago Bulls,96
51,New Orleans Pelicans,126,Golden State Warriors,120
52,Oklahoma City Thunder,108,Houston Rockets,102
53,Portland Trail Blazers,105,San Antonio Spurs,116
54,Atlanta Hawks,112,Boston Celtics,106
55,Indiana Pacers,123,Charlotte Hornets,117
56,Dallas Mavericks,97,Philadelphia 76ers,109
57,Detroit Pistons,117,Memphis Grizzlies,130
58,Utah Jazz,112,Los Angeles Lakers,97
59,Orlando Magic,101,Toronto Raptors,112
60,Golden State Warriors,117,Phoenix Suns,100
61,Toronto Raptors,108,Detroit Pistons,98
62,Chicago Bulls,105,Brooklyn Nets,114
63,Oklahoma City Thunder,115,Miami Heat,93
64,Cleveland Cavaliers,123,New York Knicks,109
65,Orlando Magic,86,Milwaukee Bucks,102
66,Memphis Grizzlies,94,Minnesota Timberwolves,113
67,Sacramento Kings,85,San Antonio Spurs,98
68,Portland Trail Blazers,82,Denver Nuggets,88
69,New Orleans Pelicans,113,Los Angeles Clippers,100
70,Charlotte Hornets,119,Indiana Pacers,93
71,Philadelphia 76ers,121,Atlanta Hawks,113
72,Boston Celtics,101,Washington Wizards,113
73,Phoenix Suns,124,Dallas Mavericks,97
74,Golden State Warriors,79,Utah Jazz,119
75,Houston Rockets,105,Los Angeles Lakers,99
76,Brooklyn Nets,97,Boston Celtics,110
77,Detroit Pistons,119,Chicago Bulls,87
78,New York Knicks,110,Cleveland Cavaliers,98
79,Toronto Raptors,109,Miami Heat,116
80,Denver Nuggets,106,Minnesota Timberwolves,112
81,San Antonio Spurs,98,New Orleans Pelicans,122
82,Memphis Grizzlies,123,Oklahoma City Thunder,137
83,Washington Wizards,92,Orlando Magic,101
84,Milwaukee Bucks,95,Philadelphia 76ers,130
85,Los Angeles Lakers,115,Los Angeles Clippers,100
86,Utah Jazz,93,Portland Trail Blazers,102
87,Houston Rockets,83,Sacramento Kings,96
