,Team1,1pts,Team2,2pts
0,Miami Heat,80,Boston Celtics,88
1,Phoenix Suns,92,Portland Trail Blazers,106
2,Houston Rockets,110,Los Angeles Lakers,112
3,Boston Celtics,87,Cleveland Cavaliers,95
4,New York Knicks,98,Toronto Raptors,93
5,Miami Heat,97,Philadelphia 76ers,87
6,Detroit Pistons,98,New Jersey Nets,101
7,Chicago Bulls,95,Oklahoma City Thunder,106
8,Milwaukee Bucks,91,New Orleans Hornets,95
9,Sacramento Kings,117,Minnesota Timberwolves,116
10,Atlanta Hawks,119,Memphis Grizzlies,104
11,Indiana Pacers,109,San Antonio Spurs,122
12,Charlotte Bobcats,86,Dallas Mavericks,101
13,Utah Jazz,88,Denver Nuggets,110
14,Portland Trail Blazers,98,Los Angeles Clippers,88
15,Houston Rockets,128,Golden State Warriors,132
16,Washington Wizards,83,Orlando Magic,112
17,Phoenix Suns,110,Utah Jazz,94
18,Indiana Pacers,104,Charlotte Bobcats,101
19,Cleveland Cavaliers,81,Toronto Raptors,101
20,Atlanta Hawks,104,Philadelphia 76ers,101
21,Sacramento Kings,100,New Jersey Nets,106
22,New York Knicks,101,Boston Celtics,105
23,Oklahoma City Thunder,105,Detroit Pistons,104
24,Denver Nuggets,95,New Orleans Hornets,101
25,Orlando Magic,70,Miami Heat,96
26,Milwaukee Bucks,85,Minnesota Timberwolves,96
27,Memphis Grizzlies,91,Dallas Mavericks,90
28,Los Angeles Clippers,91,Golden State Warriors,109
29,Los Angeles Lakers,114,Phoenix Suns,106
30,Washington Wizards,95,Atlanta Hawks,99
31,Portland Trail Blazers,100,New York Knicks,95
32,Sacramento Kings,107,Cleveland Cavaliers,104
33,Philadelphia 76ers,86,Indiana Pacers,99
34,Minnesota Timberwolves,89,Memphis Grizzlies,109
35,Detroit Pistons,91,Chicago Bulls,101
36,Denver Nuggets,107,Houston Rockets,94
37,Charlotte Bobcats,88,Milwaukee Bucks,98
38,New Orleans Hornets,99,San Antonio Spurs,90
39,Miami Heat,101,New Jersey Nets,78
40,Dallas Mavericks,99,Los Angeles Clippers,83
41,Utah Jazz,120,Oklahoma City Thunder,99
42,Golden State Warriors,83,Los Angeles Lakers,107
