,Team1,1pts,Team2,2pts
0,Oklahoma City Thunder,111,Charlotte Hornets,107
1,Denver Nuggets,110,Cleveland Cavaliers,91
2,Los Angeles Clippers,113,Philadelphia 76ers,122
3,Sacramento Kings,146,Atlanta Hawks,115
4,Milwaukee Bucks,113,Boston Celtics,117
5,New Orleans Pelicans,119,Portland Trail Blazers,132
6,Los Angeles Clippers,120,Orlando Magic,95
7,Houston Rockets,119,Brooklyn Nets,111
8,Indiana Pacers,107,Chicago Bulls,105
9,Oklahoma City Thunder,134,Washington Wizards,111
10,New York Knicks,118,Dallas Mavericks,106
11,Memphis Grizzlies,110,Utah Jazz,100
12,Toronto Raptors,107,Phoenix Suns,98
13,Minnesota Timberwolves,99,Golden State Warriors,116
14,Detroit Pistons,99,Philadelphia 76ers,109
15,Cleveland Cavaliers,94,Charlotte Hornets,126
16,Boston Celtics,101,Indiana Pacers,102
17,Miami Heat,118,Atlanta Hawks,123
18,Houston Rockets,96,Chicago Bulls,88
19,New Orleans Pelicans,95,San Antonio Spurs,109
20,Utah Jazz,88,Denver Nuggets,103
21,Los Angeles Lakers,114,Portland Trail Blazers,110
22,Sacramento Kings,109,Milwaukee Bucks,144
23,Philadelphia 76ers,97,Brooklyn Nets,122
24,New York Knicks,95,Washington Wizards,108
25,Orlando Magic,117,San Antonio Spurs,110
26,Memphis Grizzlies,100,Phoenix Suns,102
27,Minnesota Timberwolves,81,Portland Trail Blazers,111
28,Toronto Raptors,121,Los Angeles Lakers,107
29,Miami Heat,120,Detroit Pistons,115
30,Houston Rockets,98,Indiana Pacers,94
31,Cleveland Cavaliers,100,Orlando Magic,102
32,Chicago Bulls,116,New York Knicks,115
33,New Orleans Pelicans,116,Oklahoma City Thunder,122
34,Boston Celtics,107,Denver Nuggets,115
35,Toronto Raptors,124,Utah Jazz,111
36,Memphis Grizzlies,101,Golden State Warriors,117
37,Minnesota Timberwolves,109,Los Angeles Clippers,120
38,Atlanta Hawks,102,Charlotte Hornets,113
39,Washington Wizards,100,Dallas Mavericks,119
40,Brooklyn Nets,104,Phoenix Suns,82
41,Milwaukee Bucks,103,Portland Trail Blazers,118
42,Oklahoma City Thunder,95,Cleveland Cavaliers,86
43,Detroit Pistons,103,Orlando Magic,96
44,New York Knicks,112,Atlanta Hawks,107
45,San Antonio Spurs,88,Miami Heat,95
46,Philadelphia 76ers,100,Indiana Pacers,94
47,Denver Nuggets,87,Memphis Grizzlies,89
48,Chicago Bulls,98,New Orleans Pelicans,107
49,Dallas Mavericks,102,Utah Jazz,117
50,Toronto Raptors,114,Sacramento Kings,105
51,Minnesota Timberwolves,110,Los Angeles Lakers,114
52,Houston Rockets,80,Oklahoma City Thunder,98
53,Boston Celtics,116,Phoenix Suns,109
54,Los Angeles Clippers,105,Portland Trail Blazers,116
55,Milwaukee Bucks,134,Golden State Warriors,111
56,Washington Wizards,108,Orlando Magic,117
57,Charlotte Hornets,132,Philadelphia 76ers,133
58,Detroit Pistons,124,Atlanta Hawks,109
59,Indiana Pacers,110,Miami Heat,102
60,Brooklyn Nets,112,Denver Nuggets,110
61,Boston Celtics,115,Utah Jazz,123
62,Minnesota Timberwolves,110,Sacramento Kings,121
63,New York Knicks,112,Toronto Raptors,128
64,Milwaukee Bucks,126,Los Angeles Clippers,128
