,Team1,1pts,Team2,2pts
0,Memphis Grizzlies,71,Charlotte Hornets,69
1,Dallas Mavericks,109,New Orleans Pelicans,104
2,Toronto Raptors,108,Orlando Magic,95
3,Miami Heat,114,Philadelphia 76ers,96
4,Milwaukee Bucks,97,Washington Wizards,108
5,Indiana Pacers,92,Atlanta Hawks,102
6,Brooklyn Nets,102,Detroit Pistons,90
7,Boston Celtics,90,Houston Rockets,104
8,Chicago Bulls,106,Minnesota Timberwolves,105
9,Denver Nuggets,91,Oklahoma City Thunder,102
10,Phoenix Suns,91,Utah Jazz,118
11,Los Angeles Lakers,104,Golden State Warriors,127
12,Sacramento Kings,98,Los Angeles Clippers,92
13,Toronto Raptors,102,Miami Heat,107
14,Charlotte Hornets,93,New York Knicks,96
15,Golden State Warriors,95,Portland Trail Blazers,90
16,Houston Rockets,104,Philadelphia 76ers,93
17,Oklahoma City Thunder,85,Brooklyn Nets,116
18,New Orleans Pelicans,81,Memphis Grizzlies,93
19,Boston Celtics,113,Dallas Mavericks,118
20,Sacramento Kings,110,Denver Nuggets,105
21,Utah Jazz,101,Los Angeles Clippers,107
22,Milwaukee Bucks,87,Indiana Pacers,81
23,Houston Rockets,108,Miami Heat,91
24,Washington Wizards,98,New York Knicks,83
25,Oklahoma City Thunder,88,Toronto Raptors,100
26,Orlando Magic,90,Chicago Bulls,98
27,Charlotte Hornets,91,New Orleans Pelicans,100
28,Cleveland Cavaliers,82,Portland Trail Blazers,101
29,Phoenix Suns,112,Los Angeles Lakers,106
30,Miami Heat,89,Charlotte Hornets,96
31,Orlando Magic,91,Philadelphia 76ers,89
32,Toronto Raptors,110,Boston Celtics,107
33,Minnesota Timberwolves,98,Brooklyn Nets,91
34,New York Knicks,95,Detroit Pistons,98
35,Chicago Bulls,95,Milwaukee Bucks,86
36,Indiana Pacers,94,Washington Wizards,96
37,Atlanta Hawks,92,San Antonio Spurs,94
38,Memphis Grizzlies,102,Phoenix Suns,91
39,Cleveland Cavaliers,100,Utah Jazz,102
40,Denver Nuggets,109,Sacramento Kings,131
41,Los Angeles Clippers,104,Golden State Warriors,121
42,San Antonio Spurs,81,Houston Rockets,98
43,Dallas Mavericks,87,Portland Trail Blazers,108
44,Atlanta Hawks,119,Charlotte Hornets,122
45,Minnesota Timberwolves,103,Orlando Magic,112
46,Chicago Bulls,118,Philadelphia 76ers,115
47,Indiana Pacers,98,Boston Celtics,101
48,New York Knicks,99,Brooklyn Nets,110
49,Milwaukee Bucks,95,Detroit Pistons,98
50,Washington Wizards,84,Toronto Raptors,103
51,Memphis Grizzlies,91,Oklahoma City Thunder,89
