,Team1,1pts,Team2,2pts
0,San Antonio Spurs,109,Philadelphia 76ers,103
1,Miami Heat,86,Washington Wizards,107
2,Denver Nuggets,103,Utah Jazz,101
3,Minnesota Timberwolves,101,Los Angeles Clippers,127
4,Milwaukee Bucks,108,Cleveland Cavaliers,111
5,Boston Celtics,105,Atlanta Hawks,109
6,Los Angeles Lakers,106,Detroit Pistons,96
7,Brooklyn Nets,98,New York Knicks,93
8,Dallas Mavericks,132,Chicago Bulls,129
9,Oklahoma City Thunder,104,New Orleans Pelicans,112
10,Portland Trail Blazers,105,Denver Nuggets,103
11,Indiana Pacers,99,Phoenix Suns,116
12,Toronto Raptors,117,Sacramento Kings,109
13,Orlando Magic,97,Golden State Warriors,98
14,Chicago Bulls,102,Charlotte Hornets,95
15,Los Angeles Lakers,95,Washington Wizards,111
16,Detroit Pistons,102,Boston Celtics,109
17,San Antonio Spurs,93,Brooklyn Nets,95
18,Atlanta Hawks,112,Miami Heat,102
19,Memphis Grizzlies,96,Houston Rockets,105
20,Dallas Mavericks,107,Milwaukee Bucks,105
21,Philadelphia 76ers,85,Minnesota Timberwolves,77
22,Toronto Raptors,123,Utah Jazz,104
23,Orlando Magic,86,Los Angeles Clippers,114
24,Cleveland Cavaliers,90,New York Knicks,87
25,Indiana Pacers,82,Portland Trail Blazers,88
26,New Orleans Pelicans,85,Golden State Warriors,112
27,New York Knicks,102,Charlotte Hornets,103
28,Oklahoma City Thunder,103,Philadelphia 76ers,91
29,Denver Nuggets,89,Washington Wizards,119
30,Los Angeles Lakers,96,Boston Celtics,113
31,Atlanta Hawks,98,Brooklyn Nets,75
32,Cleveland Cavaliers,105,Toronto Raptors,91
33,San Antonio Spurs,107,Memphis Grizzlies,101
34,Houston Rockets,114,Minnesota Timberwolves,112
35,Phoenix Suns,118,Dallas Mavericks,106
36,Miami Heat,85,Milwaukee Bucks,109
37,Orlando Magic,98,Utah Jazz,93
38,Indiana Pacers,101,Sacramento Kings,102
39,Philadelphia 76ers,108,Detroit Pistons,101
40,Golden State Warriors,112,Chicago Bulls,102
41,Phoenix Suns,95,Houston Rockets,100
42,Minnesota Timberwolves,101,San Antonio Spurs,123
43,Orlando Magic,105,Sacramento Kings,96
44,New Orleans Pelicans,100,Los Angeles Clippers,120
45,Washington Wizards,93,Boston Celtics,101
46,Denver Nuggets,84,Atlanta Hawks,96
47,Oklahoma City Thunder,96,Detroit Pistons,94
48,Miami Heat,87,Memphis Grizzlies,103
49,Milwaukee Bucks,102,Dallas Mavericks,125
50,Portland Trail Blazers,103,New York Knicks,99
51,New Orleans Pelicans,104,Los Angeles Lakers,87
52,Atlanta Hawks,108,Indiana Pacers,92
53,Boston Celtics,132,Washington Wizards,133
54,Cleveland Cavaliers,110,Brooklyn Nets,88
55,Denver Nuggets,107,Toronto Raptors,112
56,Golden State Warriors,102,Minnesota Timberwolves,86
57,Utah Jazz,92,Sacramento Kings,101
58,Phoenix Suns,120,Los Angeles Clippers,121
59,Toronto Raptors,101,Cleveland Cavaliers,105
60,Portland Trail Blazers,98,Detroit Pistons,86
61,Dallas Mavericks,105,Memphis Grizzlies,114
62,New York Knicks,93,New Orleans Pelicans,104
63,Milwaukee Bucks,101,Oklahoma City Thunder,114
64,Miami Heat,103,Phoenix Suns,97
65,San Antonio Spurs,96,Utah Jazz,100
66,Sacramento Kings,95,Los Angeles Lakers,98
67,Boston Celtics,87,Charlotte Hornets,96
68,Los Angeles Clippers,103,Indiana Pacers,96
69,Washington Wizards,91,Orlando Magic,89
70,Philadelphia 76ers,79,Atlanta Hawks,95
71,Brooklyn Nets,80,Chicago Bulls,105
72,New Orleans Pelicans,107,Dallas Mavericks,112
73,Portland Trail Blazers,82,Minnesota Timberwolves,90
74,New York Knicks,95,San Antonio Spurs,109
75,Miami Heat,82,Denver Nuggets,102
76,Houston Rockets,93,Golden State Warriors,105
77,Cleveland Cavaliers,94,Oklahoma City Thunder,103
78,Houston Rockets,113,Sacramento Kings,109
79,Portland Trail Blazers,106,Chicago Bulls,115
80,Los Angeles Clippers,96,Washington Wizards,104
81,Orlando Magic,81,Atlanta Hawks,87
82,New York Knicks,101,Boston Celtics,95
83,Philadelphia 76ers,70,Brooklyn Nets,88
84,Indiana Pacers,94,Toronto Raptors,106
85,Charlotte Hornets,107,Memphis Grizzlies,113
86,Oklahoma City Thunder,111,Minnesota Timberwolves,92
87,Cleveland Cavaliers,114,New Orleans Pelicans,119
88,Detroit Pistons,105,Phoenix Suns,103
89,Miami Heat,100,Utah Jazz,95
90,Los Angeles Lakers,112,San Antonio Spurs,110
91,Golden State Warriors,105,Dallas Mavericks,98
92,Brooklyn Nets,114,Charlotte Hornets,87
93,Portland Trail Blazers,95,Indiana Pacers,85
94,Atlanta Hawks,99,Orlando Magic,100
95,Los Angeles Clippers,106,Milwaukee Bucks,111
96,Memphis Grizzlies,120,Philadelphia 76ers,115
97,Denver Nuggets,96,Houston Rockets,108
98,Detroit Pistons,95,Sacramento Kings,90
99,Chicago Bulls,93,Miami Heat,75
100,Golden State Warriors,128,New Orleans Pelicans,122
101,Utah Jazz,84,Washington Wizards,93
102,Los Angeles Lakers,100,Minnesota Timberwolves,94
103,Phoenix Suns,88,Oklahoma City Thunder,112
104,Toronto Raptors,95,New York Knicks,90
105,San Antonio Spurs,99,Denver Nuggets,91
106,Charlotte Hornets,88,Cleveland Cavaliers,97
107,Los Angeles Lakers,91,Indiana Pacers,110
108,Boston Celtics,105,Philadelphia 76ers,87
109,Chicago Bulls,86,Atlanta Hawks,93
110,Orlando Magic,82,Toronto Raptors,95
111,Milwaukee Bucks,96,Phoenix Suns,94
112,San Antonio Spurs,95,Portland Trail Blazers,108
113,Detroit Pistons,91,Los Angeles Clippers,113
114,Minnesota Timberwolves,95,Washington Wizards,109
115,Miami Heat,95,Brooklyn Nets,91
116,Golden State Warriors,98,Memphis Grizzlies,105
117,Utah Jazz,111,New Orleans Pelicans,119
118,Dallas Mavericks,107,New York Knicks,87
119,Oklahoma City Thunder,104,Sacramento Kings,92
120,Phoenix Suns,111,Charlotte Hornets,106
121,Atlanta Hawks,127,Cleveland Cavaliers,98
122,Orlando Magic,92,Boston Celtics,109
123,Dallas Mavericks,117,Detroit Pistons,106
124,Utah Jazz,105,Miami Heat,87
125,Brooklyn Nets,89,Toronto Raptors,105
126,Memphis Grizzlies,117,San Antonio Spurs,116
127,Milwaukee Bucks,97,Portland Trail Blazers,104
128,Houston Rockets,115,Denver Nuggets,111
129,Indiana Pacers,100,Los Angeles Clippers,102
130,New York Knicks,97,Chicago Bulls,103
131,New Orleans Pelicans,99,Houston Rockets,90
132,Milwaukee Bucks,108,Sacramento Kings,107
133,Oklahoma City Thunder,109,Golden State Warriors,114
134,Utah Jazz,101,Orlando Magic,94
135,Charlotte Hornets,109,Philadelphia 76ers,91
136,Minnesota Timberwolves,98,Boston Celtics,114
137,Brooklyn Nets,91,Cleveland Cavaliers,95
138,Toronto Raptors,110,Detroit Pistons,100
139,Washington Wizards,105,Miami Heat,103
140,Chicago Bulls,103,Memphis Grizzlies,97
141,Portland Trail Blazers,129,San Antonio Spurs,119
142,Los Angeles Clippers,106,Denver Nuggets,109
143,Oklahoma City Thunder,104,Los Angeles Lakers,103
144,Phoenix Suns,99,New York Knicks,90
145,Utah Jazz,86,Charlotte Hornets,104
146,Portland Trail Blazers,114,New Orleans Pelicans,88
147,Atlanta Hawks,104,Houston Rockets,97
148,San Antonio Spurs,93,Dallas Mavericks,99
149,Indiana Pacers,73,Denver Nuggets,76
150,Milwaukee Bucks,102,Los Angeles Clippers,106
151,New York Knicks,108,Toronto Raptors,118
152,Memphis Grizzlies,91,Cleveland Cavaliers,105
153,Detroit Pistons,105,Brooklyn Nets,110
154,Boston Celtics,84,Miami Heat,100
155,Philadelphia 76ers,96,Orlando Magic,88
156,Los Angeles Lakers,101,Sacramento Kings,108
157,Phoenix Suns,104,Washington Wizards,92
158,Indiana Pacers,100,Minnesota Timberwolves,96
159,New Orleans Pelicans,101,Oklahoma City Thunder,99
