,Team1,1pts,Team2,2pts
0,Philadelphia 76ers,91,Charlotte Hornets,100
1,Dallas Mavericks,98,Detroit Pistons,89
2,Brooklyn Nets,91,New York Knicks,105
3,Cleveland Cavaliers,110,Atlanta Hawks,108
4,Toronto Raptors,99,Memphis Grizzlies,95
5,Orlando Magic,110,Milwaukee Bucks,113
6,Minnesota Timberwolves,85,Utah Jazz,98
7,Miami Heat,112,Sacramento Kings,106
8,Boston Celtics,109,Golden State Warriors,106
9,Washington Wizards,106,Phoenix Suns,99
10,Indiana Pacers,115,Philadelphia 76ers,102
11,Detroit Pistons,94,Chicago Bulls,90
12,Toronto Raptors,95,San Antonio Spurs,102
13,Sacramento Kings,115,Denver Nuggets,106
14,Miami Heat,93,Portland Trail Blazers,110
15,New Orleans Pelicans,106,Brooklyn Nets,87
16,Charlotte Hornets,103,Cleveland Cavaliers,112
17,Oklahoma City Thunder,110,Houston Rockets,118
18,Washington Wizards,109,Los Angeles Clippers,114
19,Dallas Mavericks,88,Minnesota Timberwolves,78
20,Memphis Grizzlies,107,Orlando Magic,119
21,Utah Jazz,101,Phoenix Suns,86
22,Chicago Bulls,102,Milwaukee Bucks,98
23,Indiana Pacers,92,New York Knicks,87
24,Portland Trail Blazers,111,Golden State Warriors,136
25,Boston Celtics,107,Los Angeles Lakers,100
26,New Orleans Pelicans,93,Philadelphia 76ers,107
27,Charlotte Hornets,90,Toronto Raptors,96
28,Phoenix Suns,90,Atlanta Hawks,103
29,Chicago Bulls,92,Memphis Grizzlies,108
30,Detroit Pistons,89,Miami Heat,107
31,Cleveland Cavaliers,109,Milwaukee Bucks,80
32,Oklahoma City Thunder,124,Denver Nuggets,102
33,San Antonio Spurs,88,Utah Jazz,86
34,Portland Trail Blazers,115,Sacramento Kings,107
35,Minnesota Timberwolves,124,Golden State Warriors,117
36,Los Angeles Lakers,81,Los Angeles Clippers,103
37,Cleveland Cavaliers,109,Indiana Pacers,123
38,Detroit Pistons,108,Orlando Magic,104
39,Brooklyn Nets,103,Washington Wizards,121
40,New Orleans Pelicans,97,Boston Celtics,104
41,Charlotte Hornets,111,New York Knicks,97
42,Houston Rockets,86,Dallas Mavericks,88
43,Oklahoma City Thunder,115,Portland Trail Blazers,120
44,Los Angeles Clippers,91,Los Angeles Lakers,81
45,Toronto Raptors,87,Atlanta Hawks,95
46,Phoenix Suns,124,Houston Rockets,115
47,Chicago Bulls,98,Miami Heat,106
48,Minnesota Timberwolves,105,Sacramento Kings,97
49,San Antonio Spurs,101,Golden State Warriors,112
50,Brooklyn Nets,99,Charlotte Hornets,113
51,Miami Heat,109,Orlando Magic,112
52,New York Knicks,109,Philadelphia 76ers,102
53,Milwaukee Bucks,109,Boston Celtics,124
54,Washington Wizards,99,Detroit Pistons,112
55,Indiana Pacers,98,Toronto Raptors,111
56,Los Angeles Lakers,102,New Orleans Pelicans,110
57,Memphis Grizzlies,93,Dallas Mavericks,103
58,San Antonio Spurs,98,Denver Nuggets,102
59,Los Angeles Clippers,102,Utah Jazz,99
60,Phoenix Suns,121,New Orleans Pelicans,100
61,Boston Celtics,107,Atlanta Hawks,118
62,Golden State Warriors,100,Memphis Grizzlies,99
63,Cleveland Cavaliers,102,Chicago Bulls,105
64,Minnesota Timberwolves,106,Portland Trail Blazers,105
65,Oklahoma City Thunder,112,Sacramento Kings,114
66,Charlotte Hornets,98,Washington Wizards,113
67,Los Angeles Lakers,110,Houston Rockets,130
68,Dallas Mavericks,91,Los Angeles Clippers,98
69,Utah Jazz,100,Denver Nuggets,84
70,Milwaukee Bucks,109,Philadelphia 76ers,108
71,Brooklyn Nets,105,Indiana Pacers,129
72,Orlando Magic,96,Miami Heat,118
73,Golden State Warriors,92,San Antonio Spurs,86
74,Toronto Raptors,93,New York Knicks,89
75,Atlanta Hawks,94,Cleveland Cavaliers,109
76,Milwaukee Bucks,98,Orlando Magic,107
77,Charlotte Hornets,114,Boston Celtics,100
78,Washington Wizards,120,Brooklyn Nets,111
79,Houston Rockets,129,Minnesota Timberwolves,105
80,Chicago Bulls,121,New Orleans Pelicans,116
81,Los Angeles Lakers,79,Oklahoma City Thunder,112
82,Dallas Mavericks,101,Utah Jazz,92
83,Sacramento Kings,105,Phoenix Suns,101
84,New York Knicks,90,Indiana Pacers,102
85,Miami Heat,99,Detroit Pistons,93
86,Philadelphia 76ers,98,Toronto Raptors,122
87,Oklahoma City Thunder,98,San Antonio Spurs,102
88,Memphis Grizzlies,84,Los Angeles Clippers,110
89,Miami Heat,88,Boston Celtics,98
90,Toronto Raptors,103,Brooklyn Nets,96
91,Philadelphia 76ers,105,Chicago Bulls,115
92,Orlando Magic,103,Charlotte Hornets,117
93,Detroit Pistons,112,Cleveland Cavaliers,110
94,San Antonio Spurs,96,Dallas Mavericks,91
95,Sacramento Kings,81,Houston Rockets,116
96,Indiana Pacers,97,Milwaukee Bucks,92
97,New Orleans Pelicans,109,Minnesota Timberwolves,144
98,Atlanta Hawks,98,Washington Wizards,109
99,Memphis Grizzlies,104,Golden State Warriors,125
100,Utah Jazz,96,Los Angeles Lakers,101
101,Los Angeles Clippers,105,Phoenix Suns,114
102,Denver Nuggets,99,Portland Trail Blazers,107

