,Team1,1pts,Team2,2pts
0,Cleveland Cavaliers,95,Chicago Bulls,97
1,Detroit Pistons,106,Atlanta Hawks,94
2,New Orleans Pelicans,95,Golden State Warriors,111
3,Washington Wizards,88,Orlando Magic,87
4,Philadelphia 76ers,95,Boston Celtics,112
5,Chicago Bulls,115,Brooklyn Nets,100
6,Utah Jazz,87,Detroit Pistons,92
7,Indiana Pacers,99,Toronto Raptors,106
8,Charlotte Hornets,94,Miami Heat,104
9,New York Knicks,122,Milwaukee Bucks,97
10,San Antonio Spurs,106,Oklahoma City Thunder,112
11,Cleveland Cavaliers,106,Memphis Grizzlies,76
12,Denver Nuggets,105,Houston Rockets,85
13,Dallas Mavericks,111,Phoenix Suns,95
14,New Orleans Pelicans,94,Portland Trail Blazers,112
15,Los Angeles Clippers,111,Sacramento Kings,104
16,Minnesota Timberwolves,112,Los Angeles Lakers,111
17,Memphis Grizzlies,112,Indiana Pacers,103
18,Atlanta Hawks,112,New York Knicks,101
19,Dallas Mavericks,88,Los Angeles Clippers,104
20,Miami Heat,92,Cleveland Cavaliers,102
21,Utah Jazz,99,Philadelphia 76ers,71
22,Oklahoma City Thunder,139,Orlando Magic,136
23,Toronto Raptors,113,Boston Celtics,103
24,Chicago Bulls,94,Detroit Pistons,98
25,Charlotte Hornets,94,Atlanta Hawks,97
26,Washington Wizards,118,Milwaukee Bucks,113
27,Brooklyn Nets,75,San Antonio Spurs,102
28,Minnesota Timberwolves,95,Denver Nuggets,78
29,Golden State Warriors,112,Houston Rockets,92
30,Los Angeles Lakers,114,Sacramento Kings,132
31,Portland Trail Blazers,92,Phoenix Suns,110
32,Utah Jazz,97,Indiana Pacers,76
33,New York Knicks,117,Washington Wizards,110
34,Golden State Warriors,134,New Orleans Pelicans,120
35,Brooklyn Nets,91,Memphis Grizzlies,101
36,Phoenix Suns,101,Portland Trail Blazers,90
37,Sacramento Kings,109,Los Angeles Clippers,114
