,Team1,1pts,Team2,2pts
0,Orlando Magic,122,Washington Wizards,101
1,Portland Trail Blazers,93,New York Knicks,117
2,Minnesota Timberwolves,104,Milwaukee Bucks,106
3,Phoenix Suns,107,Los Angeles Lakers,117
4,Charlotte Hornets,109,Cleveland Cavaliers,106
5,Denver Nuggets,124,Indiana Pacers,116
6,Toronto Raptors,76,Miami Heat,84
7,Utah Jazz,102,Chicago Bulls,98
8,Golden State Warriors,84,Minnesota Timberwolves,99
9,Brooklyn Nets,111,Dallas Mavericks,123
10,Oklahoma City Thunder,109,San Antonio Spurs,103
11,Memphis Grizzlies,123,Sacramento Kings,128
12,Detroit Pistons,112,Los Angeles Clippers,126
13,Atlanta Hawks,106,Boston Celtics,109
14,Miami Heat,85,Orlando Magic,105
15,Portland Trail Blazers,122,Washington Wizards,103
16,Philadelphia 76ers,108,Houston Rockets,118
17,New York Knicks,112,Phoenix Suns,120
18,New Orleans Pelicans,113,Los Angeles Lakers,123
19,Memphis Grizzlies,140,Los Angeles Clippers,114
20,Toronto Raptors,121,Brooklyn Nets,102
21,Utah Jazz,109,Orlando Magic,96
22,Indiana Pacers,111,Atlanta Hawks,116
23,Oklahoma City Thunder,121,Cleveland Cavaliers,106
24,Boston Celtics,111,Chicago Bulls,104
25,Denver Nuggets,114,Washington Wizards,128
26,Charlotte Hornets,123,Dallas Mavericks,120
27,Detroit Pistons,111,Golden State Warriors,104
28,San Antonio Spurs,118,Milwaukee Bucks,127
29,New Orleans Pelicans,117,Sacramento Kings,115
30,New York Knicks,132,Los Angeles Clippers,135
31,Portland Trail Blazers,111,Miami Heat,122
32,Minnesota Timberwolves,118,Cleveland Cavaliers,103
33,Memphis Grizzlies,121,Phoenix Suns,114
34,Detroit Pistons,99,Los Angeles Lakers,106
35,Indiana Pacers,115,Charlotte Hornets,104
36,Brooklyn Nets,89,Orlando Magic,101
37,Oklahoma City Thunder,113,Philadelphia 76ers,120
38,Boston Celtics,94,Washington Wizards,99
39,Denver Nuggets,123,Atlanta Hawks,115
40,Utah Jazz,128,New Orleans Pelicans,126
41,Chicago Bulls,110,Dallas Mavericks,118
42,Milwaukee Bucks,104,San Antonio Spurs,126
43,Golden State Warriors,98,Sacramento Kings,111
44,Detroit Pistons,115,Cleveland Cavaliers,113
45,Portland Trail Blazers,101,Toronto Raptors,99
46,Oklahoma City Thunder,111,Brooklyn Nets,103
47,Minnesota Timberwolves,112,Memphis Grizzlies,119
48,Sacramento Kings,114,Phoenix Suns,103
49,New York Knicks,87,Los Angeles Lakers,117
50,San Antonio Spurs,129,Boston Celtics,114
51,Toronto Raptors,112,Charlotte Hornets,110
52,Miami Heat,122,Indiana Pacers,108
53,Washington Wizards,89,Orlando Magic,123
54,Houston Rockets,122,Atlanta Hawks,115
55,Denver Nuggets,107,Dallas Mavericks,106
56,Chicago Bulls,108,New Orleans Pelicans,123
57,New York Knicks,104,Utah Jazz,128
58,Milwaukee Bucks,107,Golden State Warriors,98
59,Cleveland Cavaliers,115,Detroit Pistons,112
60,Boston Celtics,98,Philadelphia 76ers,109
61,Portland Trail Blazers,102,Minnesota Timberwolves,116
62,Houston Rockets,92,Oklahoma City Thunder,113
63,Atlanta Hawks,101,Washington Wizards,111
64,New Orleans Pelicans,123,New York Knicks,111
65,Miami Heat,113,Brooklyn Nets,117
66,Indiana Pacers,116,Chicago Bulls,105
67,San Antonio Spurs,121,Memphis Grizzlies,134
68,Orlando Magic,94,Phoenix Suns,98
69,Charlotte Hornets,92,Utah Jazz,109
70,Los Angeles Lakers,129,Dallas Mavericks,114
71,Milwaukee Bucks,127,Sacramento Kings,106
72,Golden State Warriors,100,Los Angeles Clippers,109
