,Team1,1pts,Team2,2pts
0,Golden State Warriors,100,Indiana Pacers,109
1,New York Knicks,110,Orlando Magic,116
2,Dallas Mavericks,101,Philadelphia 76ers,93
3,New Orleans Hornets,90,Toronto Raptors,96
4,San Antonio Spurs,93,Memphis Grizzlies,109
5,Detroit Pistons,90,Milwaukee Bucks,92
6,Los Angeles Lakers,90,Minnesota Timberwolves,79
7,Houston Rockets,103,Portland Trail Blazers,87
8,Chicago Bulls,80,Atlanta Hawks,83
9,San Antonio Spurs,109,Cleveland Cavaliers,99
10,Golden State Warriors,106,Washington Wizards,102
11,Phoenix Suns,103,Boston Celtics,115
12,Minnesota Timberwolves,116,Detroit Pistons,105
13,New Orleans Hornets,88,New York Knicks,107
14,Indiana Pacers,89,Oklahoma City Thunder,113
15,Charlotte Bobcats,80,Denver Nuggets,120
16,Portland Trail Blazers,107,Sacramento Kings,102
17,Houston Rockets,103,Los Angeles Clippers,106
18,Orlando Magic,99,Miami Heat,96
19,Denver Nuggets,103,Utah Jazz,101
20,Toronto Raptors,103,New Jersey Nets,116
21,Chicago Bulls,89,Orlando Magic,81
22,Minnesota Timberwolves,100,Philadelphia 76ers,111
23,Oklahoma City Thunder,111,Atlanta Hawks,104
24,Golden State Warriors,103,Boston Celtics,107
25,Cleveland Cavaliers,119,New York Knicks,115
26,New Orleans Hornets,98,Memphis Grizzlies,91
27,Indiana Pacers,108,Dallas Mavericks,116
28,Phoenix Suns,102,Milwaukee Bucks,88
29,Miami Heat,95,San Antonio Spurs,125
30,Charlotte Bobcats,84,Los Angeles Lakers,92
31,Toronto Raptors,136,New Jersey Nets,137
32,Minnesota Timberwolves,96,Washington Wizards,103
33,Indiana Pacers,95,Houston Rockets,112
34,Sacramento Kings,102,Utah Jazz,109
35,Charlotte Bobcats,69,Portland Trail Blazers,93
36,Denver Nuggets,94,Los Angeles Clippers,100
37,Chicago Bulls,87,Miami Heat,86
38,Los Angeles Lakers,99,San Antonio Spurs,83
39,Washington Wizards,102,Detroit Pistons,113
40,Golden State Warriors,117,Philadelphia 76ers,125
41,New York Knicks,92,Atlanta Hawks,79
42,New Orleans Hornets,96,Cleveland Cavaliers,81
43,Phoenix Suns,118,Oklahoma City Thunder,122
44,Memphis Grizzlies,104,Dallas Mavericks,103
45,Boston Celtics,89,Milwaukee Bucks,83
46,Los Angeles Clippers,92,Charlotte Bobcats,87
47,Portland Trail Blazers,89,Orlando Magic,85
48,Utah Jazz,109,New York Knicks,131
49,New Orleans Hornets,77,Chicago Bulls,85
50,Oklahoma City Thunder,101,Memphis Grizzlies,107
51,Dallas Mavericks,108,Minnesota Timberwolves,105
52,Houston Rockets,123,Sacramento Kings,101
53,Los Angeles Lakers,101,Atlanta Hawks,87
54,Golden State Warriors,95,Cleveland Cavaliers,85
55,Philadelphia 76ers,110,Indiana Pacers,100
56,Milwaukee Bucks,95,Washington Wizards,76
57,Portland Trail Blazers,105,Miami Heat,96
58,Houston Rockets,110,Phoenix Suns,113
59,Chicago Bulls,101,Charlotte Bobcats,84
60,Golden State Warriors,90,New Jersey Nets,94
61,Oklahoma City Thunder,110,Philadelphia 76ers,105
62,Utah Jazz,96,Toronto Raptors,94
63,Los Angeles Clippers,108,Boston Celtics,103
64,New York Knicks,110,Memphis Grizzlies,108
65,Cleveland Cavaliers,90,Milwaukee Bucks,110
66,Indiana Pacers,75,Minnesota Timberwolves,101
67,Dallas Mavericks,92,New Orleans Hornets,93
68,Detroit Pistons,104,San Antonio Spurs,111
69,Orlando Magic,106,Sacramento Kings,102
70,Los Angeles Lakers,88,Miami Heat,94
71,New York Knicks,109,Dallas Mavericks,127
72,Denver Nuggets,116,Phoenix Suns,97
73,Portland Trail Blazers,92,Charlotte Bobcats,97
74,Los Angeles Clippers,98,New Jersey Nets,102
75,Boston Celtics,86,Philadelphia 76ers,89
76,Indiana Pacers,98,Toronto Raptors,108
77,Atlanta Hawks,76,Chicago Bulls,94
78,Utah Jazz,101,Minnesota Timberwolves,122
79,Detroit Pistons,94,Oklahoma City Thunder,104
80,Sacramento Kings,103,San Antonio Spurs,108
81,Orlando Magic,120,Golden State Warriors,123
82,Memphis Grizzlies,85,Miami Heat,118
83,Portland Trail Blazers,82,Atlanta Hawks,91
84,Los Angeles Clippers,122,Washington Wizards,101
85,Utah Jazz,100,Chicago Bulls,118
86,Philadelphia 76ers,74,Milwaukee Bucks,102
87,Sacramento Kings,103,New Orleans Hornets,115
88,San Antonio Spurs,115,Houston Rockets,107
89,Los Angeles Lakers,96,Dallas Mavericks,91
90,Detroit Pistons,101,Denver Nuggets,131
91,Oklahoma City Thunder,95,Cleveland Cavaliers,75
92,Charlotte Bobcats,95,Toronto Raptors,90
93,Orlando Magic,111,Phoenix Suns,88
94,Milwaukee Bucks,56,Boston Celtics,87
95,Indiana Pacers,106,New York Knicks,93
96,Minnesota Timberwolves,77,Golden State Warriors,100
97,Boston Celtics,79,New Jersey Nets,88
98,Oklahoma City Thunder,116,Washington Wizards,89
99,Los Angeles Clippers,82,Memphis Grizzlies,105
100,San Antonio Spurs,80,Miami Heat,110
101,Denver Nuggets,114,New Orleans Hornets,103
102,Phoenix Suns,93,Houston Rockets,95
103,Philadelphia 76ers,107,Utah Jazz,112
104,Golden State Warriors,119,Sacramento Kings,129
105,Orlando Magic,84,Los Angeles Lakers,97
106,Milwaukee Bucks,85,Atlanta Hawks,110
107,New York Knicks,117,Indiana Pacers,119
108,Washington Wizards,79,Chicago Bulls,98
109,Dallas Mavericks,101,Portland Trail Blazers,104
110,Denver Nuggets,102,Atlanta Hawks,87
111,Indiana Pacers,80,Boston Celtics,92
112,Toronto Raptors,93,Detroit Pistons,107
113,Oklahoma City Thunder,96,Miami Heat,85
114,Orlando Magic,93,Milwaukee Bucks,89
115,Phoenix Suns,95,New Orleans Hornets,100
116,Charlotte Bobcats,78,Houston Rockets,94
117,Minnesota Timberwolves,104,Utah Jazz,119
118,Cleveland Cavaliers,97,Sacramento Kings,93
119,Dallas Mavericks,112,Golden State Warriors,106
120,Philadelphia 76ers,104,Los Angeles Clippers,94
121,Chicago Bulls,84,New Jersey Nets,73
122,Memphis Grizzlies,99,New York Knicks,120
123,Cleveland Cavaliers,70,Portland Trail Blazers,111
124,Chicago Bulls,108,Indiana Pacers,115
125,Denver Nuggets,82,Orlando Magic,85
126,Washington Wizards,107,Toronto Raptors,116
127,Miami Heat,106,Atlanta Hawks,85
128,New York Knicks,95,Detroit Pistons,99
129,Charlotte Bobcats,82,Oklahoma City Thunder,99
130,San Antonio Spurs,97,Dallas Mavericks,91
131,Boston Celtics,77,Houston Rockets,93
132,New Jersey Nets,95,Milwaukee Bucks,110
133,Golden State Warriors,97,Phoenix Suns,108
134,Philadelphia 76ers,102,Sacramento Kings,80
135,Minnesota Timberwolves,98,Los Angeles Lakers,106
136,Cleveland Cavaliers,92,Los Angeles Clippers,100
137,Denver Nuggets,98,Miami Heat,103
138,Indiana Pacers,78,Memphis Grizzlies,99
139,Boston Celtics,89,New Orleans Hornets,85
140,Charlotte Bobcats,98,San Antonio Spurs,109
141,Philadelphia 76ers,101,Portland Trail Blazers,110
142,New Jersey Nets,92,Washington Wizards,98
143,Detroit Pistons,96,Atlanta Hawks,104
144,New York Knicks,95,Milwaukee Bucks,100
145,Phoenix Suns,108,Los Angeles Clippers,99
146,Sacramento Kings,127,Minnesota Timberwolves,95
147,Utah Jazz,108,Houston Rockets,110
148,Toronto Raptors,95,Oklahoma City Thunder,93
149,Golden State Warriors,73,Dallas Mavericks,101
150,Portland Trail Blazers,80,Los Angeles Lakers,84
151,Orlando Magic,97,Cleveland Cavaliers,86
152,Indiana Pacers,102,New Jersey Nets,98
153,Boston Celtics,96,New York Knicks,86
154,Sacramento Kings,92,Chicago Bulls,132
155,Utah Jazz,85,Memphis Grizzlies,103
156,Golden State Warriors,96,San Antonio Spurs,111
157,Toronto Raptors,90,Denver Nuggets,123
158,Chicago Bulls,114,Atlanta Hawks,81
159,Washington Wizards,76,Portland Trail Blazers,111
160,Phoenix Suns,137,Los Angeles Lakers,139
161,Indiana Pacers,111,Charlotte Bobcats,88
162,New Jersey Nets,98,Cleveland Cavaliers,94
163,Atlanta Hawks,100,Philadelphia 76ers,105
164,Memphis Grizzlies,90,Boston Celtics,87
165,Miami Heat,100,Detroit Pistons,94
166,Sacramento Kings,97,Milwaukee Bucks,90
167,Orlando Magic,111,New York Knicks,99
168,Utah Jazz,94,Oklahoma City Thunder,106
169,Golden State Warriors,112,Houston Rockets,131
170,Toronto Raptors,106,Phoenix Suns,114
171,San Antonio Spurs,112,Denver Nuggets,115
172,Washington Wizards,119,Los Angeles Clippers,127
173,Minnesota Timberwolves,96,Dallas Mavericks,104
174,New Orleans Hornets,121,Utah Jazz,117
175,Sacramento Kings,110,Indiana Pacers,93
176,New Jersey Nets,85,Orlando Magic,95
177,Charlotte Bobcats,83,Boston Celtics,81
178,Detroit Pistons,91,Cleveland Cavaliers,97
179,Philadelphia 76ers,99,Miami Heat,111
180,Milwaukee Bucks,102,New York Knicks,96
181,Memphis Grizzlies,96,Chicago Bulls,99
182,Minnesota Timberwolves,103,Oklahoma City Thunder,111
