,Team1,1pts,Team2,2pts
0,Milwaukee Bucks,134,New York Knicks,136
1,Golden State Warriors,102,Detroit Pistons,111
2,Brooklyn Nets,88,Washington Wizards,102
3,Toronto Raptors,106,Cleveland Cavaliers,95
4,Chicago Bulls,105,Houston Rockets,121
5,Boston Celtics,118,Minnesota Timberwolves,109
6,Indiana Pacers,110,Sacramento Kings,111
7,Phoenix Suns,96,Los Angeles Lakers,120
8,New Orleans Pelicans,119,Charlotte Hornets,109
9,Utah Jazz,100,Miami Heat,102
10,Memphis Grizzlies,95,Philadelphia 76ers,103
11,Los Angeles Clippers,110,Dallas Mavericks,114
12,Portland Trail Blazers,118,San Antonio Spurs,131
13,Oklahoma City Thunder,110,Detroit Pistons,83
14,Golden State Warriors,128,Atlanta Hawks,111
15,Cleveland Cavaliers,99,Brooklyn Nets,97
16,Washington Wizards,110,New York Knicks,107
17,Denver Nuggets,106,Toronto Raptors,103
18,Houston Rockets,91,Minnesota Timberwolves,103
19,Los Angeles Clippers,129,New Orleans Pelicans,126
20,Chicago Bulls,90,Indiana Pacers,96
21,Orlando Magic,105,Miami Heat,90
22,Portland Trail Blazers,102,Dallas Mavericks,111
23,Sacramento Kings,122,Phoenix Suns,105
24,San Antonio Spurs,105,Utah Jazz,139
25,Golden State Warriors,129,Cleveland Cavaliers,105
26,Denver Nuggets,124,Orlando Magic,118
27,Washington Wizards,131,Atlanta Hawks,117
28,Oklahoma City Thunder,114,Brooklyn Nets,112
29,Los Angeles Clippers,86,Memphis Grizzlies,96
30,Detroit Pistons,92,Milwaukee Bucks,115
31,Charlotte Hornets,104,Minnesota Timberwolves,121
32,Dallas Mavericks,106,New Orleans Pelicans,132
33,Philadelphia 76ers,102,Toronto Raptors,113
34,San Antonio Spurs,113,Los Angeles Lakers,121
35,New York Knicks,100,Boston Celtics,128
36,Phoenix Suns,86,Portland Trail Blazers,108
37,Houston Rockets,91,Utah Jazz,118
38,Denver Nuggets,107,Charlotte Hornets,113
39,Philadelphia 76ers,117,Detroit Pistons,111
40,Indiana Pacers,112,Orlando Magic,90
41,Toronto Raptors,105,Brooklyn Nets,106
42,Sacramento Kings,129,Cleveland Cavaliers,110
43,Oklahoma City Thunder,112,Chicago Bulls,114
44,Memphis Grizzlies,107,New Orleans Pelicans,103
45,Los Angeles Lakers,120,San Antonio Spurs,133
46,Miami Heat,115,Phoenix Suns,98
47,Golden State Warriors,105,Milwaukee Bucks,95
48,Houston Rockets,104,Dallas Mavericks,107
49,Sacramento Kings,97,Indiana Pacers,107
50,Denver Nuggets,98,Atlanta Hawks,106
51,Washington Wizards,101,Cleveland Cavaliers,116
52,Brooklyn Nets,112,New York Knicks,104
53,Boston Celtics,133,Chicago Bulls,77
54,Los Angeles Lakers,111,Memphis Grizzlies,88
55,Minnesota Timberwolves,105,Portland Trail Blazers,113
56,Miami Heat,121,Los Angeles Clippers,98
57,New Orleans Pelicans,116,Detroit Pistons,108
58,Milwaukee Bucks,104,Toronto Raptors,99
59,Utah Jazz,97,San Antonio Spurs,110
60,Charlotte Hornets,119,New York Knicks,107
61,Washington Wizards,101,Indiana Pacers,109
62,Detroit Pistons,102,Philadelphia 76ers,116
63,New Orleans Pelicans,100,Boston Celtics,113
64,Sacramento Kings,108,Chicago Bulls,89
65,Cleveland Cavaliers,92,Milwaukee Bucks,108
66,Utah Jazz,113,Oklahoma City Thunder,122
67,Orlando Magic,76,Dallas Mavericks,101
68,Memphis Grizzlies,99,Denver Nuggets,105
69,Los Angeles Clippers,123,Phoenix Suns,119
70,Minnesota Timberwolves,108,Golden State Warriors,116
71,Miami Heat,105,Los Angeles Lakers,108
72,Portland Trail Blazers,104,Houston Rockets,111
73,Phoenix Suns,86,San Antonio Spurs,111
74,Toronto Raptors,123,Los Angeles Clippers,99
75,Detroit Pistons,107,Charlotte Hornets,108
76,New York Knicks,106,Cleveland Cavaliers,113
77,Milwaukee Bucks,97,Indiana Pacers,113
78,Brooklyn Nets,127,Philadelphia 76ers,124
79,Boston Celtics,130,Washington Wizards,125
80,Portland Trail Blazers,83,Memphis Grizzlies,92
81,Oklahoma City Thunder,114,New Orleans Pelicans,118
82,Atlanta Hawks,107,Dallas Mavericks,114
83,Miami Heat,84,Utah Jazz,111
84,Minnesota Timberwolves,130,Sacramento Kings,141
85,Toronto Raptors,113,Golden State Warriors,93
86,Los Angeles Lakers,111,Houston Rockets,126
87,Los Angeles Clippers,87,San Antonio Spurs,125
88,Chicago Bulls,91,Orlando Magic,97
89,Dallas Mavericks,89,Phoenix Suns,99
90,Atlanta Hawks,108,Boston Celtics,129
91,New York Knicks,126,Charlotte Hornets,124
92,Washington Wizards,118,Brooklyn Nets,125
93,Milwaukee Bucks,114,Cleveland Cavaliers,102
94,Indiana Pacers,113,Philadelphia 76ers,101
95,Miami Heat,100,Memphis Grizzlies,97
96,Oklahoma City Thunder,98,Denver Nuggets,109
97,Toronto Raptors,122,Portland Trail Blazers,128
98,Golden State Warriors,130,Sacramento Kings,125
99,Utah Jazz,89,Orlando Magic,96
100,Los Angeles Lakers,128,Charlotte Hornets,100
101,Boston Celtics,104,Detroit Pistons,113
102,Houston Rockets,105,Memphis Grizzlies,97
103,Chicago Bulls,98,San Antonio Spurs,93
104,Los Angeles Clippers,104,Oklahoma City Thunder,110
105,Minnesota Timberwolves,99,Phoenix Suns,107
106,Atlanta Hawks,127,Brooklyn Nets,144
107,Philadelphia 76ers,128,Cleveland Cavaliers,105
108,New York Knicks,99,Indiana Pacers,110
109,Los Angeles Lakers,110,Washington Wizards,128
110,Sacramento Kings,120,Dallas Mavericks,113
111,Miami Heat,102,New Orleans Pelicans,96
112,Toronto Raptors,86,Denver Nuggets,95
113,Milwaukee Bucks,107,Detroit Pistons,104
114,Phoenix Suns,128,New York Knicks,110
115,Utah Jazz,97,Houston Rockets,102
116,Sacramento Kings,105,Minnesota Timberwolves,132
117,Chicago Bulls,96,Oklahoma City Thunder,121
118,Philadelphia 76ers,96,San Antonio Spurs,123
119,Memphis Grizzlies,93,Golden State Warriors,110
120,Portland Trail Blazers,131,Los Angeles Clippers,127
121,Cleveland Cavaliers,92,Indiana Pacers,91
122,Washington Wizards,110,Atlanta Hawks,118
123,Los Angeles Lakers,110,Brooklyn Nets,115
124,Dallas Mavericks,118,Denver Nuggets,126
125,Cleveland Cavaliers,99,Charlotte Hornets,110
126,San Antonio Spurs,129,Orlando Magic,90
127,New York Knicks,109,Philadelphia 76ers,131
128,Phoenix Suns,111,Boston Celtics,103
129,Indiana Pacers,96,Toronto Raptors,99
130,Brooklyn Nets,96,Chicago Bulls,93
131,Washington Wizards,118,Houston Rockets,136
132,New Orleans Pelicans,115,Milwaukee Bucks,123
133,Detroit Pistons,129,Minnesota Timberwolves,123
134,Golden State Warriors,103,Utah Jazz,108
135,Memphis Grizzlies,92,Portland Trail Blazers,99
136,Oklahoma City Thunder,132,Sacramento Kings,113
137,Houston Rockets,99,Miami Heat,101
138,Dallas Mavericks,121,Los Angeles Clippers,125
139,Detroit Pistons,86,Charlotte Hornets,98
140,Cleveland Cavaliers,110,Toronto Raptors,126
141,Indiana Pacers,114,Brooklyn Nets,106
142,Atlanta Hawks,114,New York Knicks,107
143,Milwaukee Bucks,120,Boston Celtics,107
144,Orlando Magic,80,Chicago Bulls,90
145,Minnesota Timberwolves,98,San Antonio Spurs,124
146,Utah Jazz,120,Portland Trail Blazers,90
147,Memphis Grizzlies,99,Sacramento Kings,102
148,New Orleans Pelicans,104,Los Angeles Lakers,112
149,Denver Nuggets,111,Los Angeles Clippers,132
150,Phoenix Suns,146,Washington Wizards,149
151,Toronto Raptors,101,Philadelphia 76ers,126
152,San Antonio Spurs,101,Houston Rockets,108
153,Milwaukee Bucks,87,Miami Heat,94
154,Dallas Mavericks,116,Golden State Warriors,120
155,Oklahoma City Thunder,107,Utah Jazz,106
156,Atlanta Hawks,98,Detroit Pistons,95
157,Washington Wizards,89,Indiana Pacers,105
158,Charlotte Hornets,103,Boston Celtics,119
159,Phoenix Suns,103,Brooklyn Nets,111
160,Chicago Bulls,112,Cleveland Cavaliers,92
161,Miami Heat,115,Orlando Magic,91
162,New Orleans Pelicans,117,Sacramento Kings,122
163,Minnesota Timberwolves,114,Oklahoma City Thunder,112
164,Los Angeles Clippers,127,Golden State Warriors,129
165,Dallas Mavericks,118,Portland Trail Blazers,121
166,Memphis Grizzlies,107,Los Angeles Lakers,99
167,Milwaukee Bucks,109,New York Knicks,95
168,Oklahoma City Thunder,109,Houston Rockets,113
169,Philadelphia 76ers,114,Boston Celtics,121
170,Los Angeles Lakers,127,Golden State Warriors,101
171,Portland Trail Blazers,96,Utah Jazz,117
172,Washington Wizards,95,Detroit Pistons,106
173,Phoenix Suns,122,Orlando Magic,120
174,Indiana Pacers,129,Atlanta Hawks,121
175,Charlotte Hornets,132,Brooklyn Nets,134
176,Toronto Raptors,106,Miami Heat,104
177,Minnesota Timberwolves,119,Chicago Bulls,94
178,Cleveland Cavaliers,87,Memphis Grizzlies,95
179,New Orleans Pelicans,119,Dallas Mavericks,122
180,Denver Nuggets,103,San Antonio Spurs,111
181,Sacramento Kings,118,Los Angeles Clippers,127
182,Boston Celtics,113,Houston Rockets,127
183,New York Knicks,96,Milwaukee Bucks,112
184,Los Angeles Lakers,116,Sacramento Kings,117
185,Portland Trail Blazers,110,Golden State Warriors,109
186,Philadelphia 76ers,114,Utah Jazz,97
187,Brooklyn Nets,87,Charlotte Hornets,100
188,Detroit Pistons,88,Indiana Pacers,125
189,Toronto Raptors,87,Orlando Magic,116
190,Chicago Bulls,101,Washington Wizards,92
191,Cleveland Cavaliers,94,Miami Heat,118
192,Atlanta Hawks,123,Minnesota Timberwolves,120
193,Dallas Mavericks,112,New Orleans Pelicans,114
194,San Antonio Spurs,99,Denver Nuggets,102
195,Oklahoma City Thunder,118,Phoenix Suns,102
196,Los Angeles Clippers,118,Los Angeles Lakers,107
197,Brooklyn Nets,115,Milwaukee Bucks,129
198,Houston Rockets,108,New Orleans Pelicans,104
199,Charlotte Hornets,126,Washington Wizards,130
200,Cleveland Cavaliers,108,Atlanta Hawks,111
201,Boston Celtics,112,Memphis Grizzlies,103
202,New York Knicks,97,Utah Jazz,129
203,Denver Nuggets,122,Phoenix Suns,118
204,Golden State Warriors,115,Portland Trail Blazers,105
205,San Antonio Spurs,122,Los Angeles Clippers,111
206,Detroit Pistons,107,Orlando Magic,109
207,Minnesota Timberwolves,113,Miami Heat,104
208,Chicago Bulls,89,Toronto Raptors,95
209,Oklahoma City Thunder,103,Dallas Mavericks,105
210,Philadelphia 76ers,95,Portland Trail Blazers,129
211,Sacramento Kings,114,Los Angeles Lakers,121
212,Atlanta Hawks,108,Indiana Pacers,116
213,Orlando Magic,100,Charlotte Hornets,125
214,Memphis Grizzlies,101,Houston Rockets,113
215,Boston Celtics,111,San Antonio Spurs,120
216,Minnesota Timberwolves,114,New Orleans Pelicans,123
217,Dallas Mavericks,102,Oklahoma City Thunder,122
218,Golden State Warriors,132,Phoenix Suns,109
