,Team1,1pts,Team2,2pts
0,Dallas Mavericks,103,Washington Wizards,94
1,Sacramento Kings,97,Detroit Pistons,103
2,Portland Trail Blazers,105,New York Knicks,100
3,Atlanta Hawks,95,New Orleans Hornets,86
4,Los Angeles Clippers,78,Denver Nuggets,92
5,Philadelphia 76ers,103,Los Angeles Lakers,99
6,Sacramento Kings,97,Cleveland Cavaliers,94
7,Washington Wizards,81,Indiana Pacers,89
8,Chicago Bulls,96,Orlando Magic,94
9,Portland Trail Blazers,79,Toronto Raptors,102
10,Memphis Grizzlies,93,Boston Celtics,83
11,Dallas Mavericks,109,Miami Heat,119
12,New Orleans Hornets,92,Houston Rockets,104
13,San Antonio Spurs,117,Milwaukee Bucks,110
14,Brooklyn Nets,110,Oklahoma City Thunder,93
15,Philadelphia 76ers,89,Phoenix Suns,95
16,Minnesota Timberwolves,84,Utah Jazz,106
17,Los Angeles Clippers,94,Golden State Warriors,115
18,San Antonio Spurs,83,New York Knicks,100
19,Minnesota Timberwolves,101,Denver Nuggets,97
20,Cleveland Cavaliers,106,Charlotte Bobcats,104
21,Sacramento Kings,105,Toronto Raptors,96
22,Brooklyn Nets,115,Washington Wizards,113
23,Atlanta Hawks,84,Detroit Pistons,85
24,Indiana Pacers,75,Boston Celtics,94
25,Portland Trail Blazers,86,Memphis Grizzlies,84
26,Chicago Bulls,96,Miami Heat,89
27,Philadelphia 76ers,85,Oklahoma City Thunder,109
28,Houston Rockets,115,Milwaukee Bucks,101
29,Utah Jazz,87,Phoenix Suns,80
30,Los Angeles Lakers,102,Los Angeles Clippers,107
31,Boston Celtics,89,Atlanta Hawks,81
32,Milwaukee Bucks,80,Indiana Pacers,95
33,New York Knicks,114,Orlando Magic,106
34,Sacramento Kings,93,Brooklyn Nets,113
35,Houston Rockets,112,Cleveland Cavaliers,104
36,Portland Trail Blazers,102,Minnesota Timberwolves,97
37,New Orleans Hornets,99,Dallas Mavericks,96
38,Philadelphia 76ers,86,San Antonio Spurs,109
39,Utah Jazz,91,Denver Nuggets,110
40,Golden State Warriors,89,Los Angeles Clippers,115
41,Oklahoma City Thunder,104,Toronto Raptors,92
42,Washington Wizards,71,Miami Heat,99
43,Charlotte Bobcats,108,Detroit Pistons,101
44,Memphis Grizzlies,92,Phoenix Suns,81
45,Denver Nuggets,112,Los Angeles Lakers,105
46,Oklahoma City Thunder,99,Washington Wizards,101
47,Boston Celtics,102,New York Knicks,96
48,Cleveland Cavaliers,92,Chicago Bulls,118
49,San Antonio Spurs,88,New Orleans Hornets,95
50,Dallas Mavericks,94,Utah Jazz,100
51,Orlando Magic,119,Portland Trail Blazers,125
52,Memphis Grizzlies,113,Sacramento Kings,81
53,Miami Heat,77,Indiana Pacers,87
54,Brooklyn Nets,109,Philadelphia 76ers,89
55,Los Angeles Lakers,112,Houston Rockets,125
56,Phoenix Suns,99,Milwaukee Bucks,108
57,Atlanta Hawks,103,Minnesota Timberwolves,108
58,Utah Jazz,112,Charlotte Bobcats,102
59,Atlanta Hawks,83,Cleveland Cavaliers,99
60,Philadelphia 76ers,72,Toronto Raptors,90
61,Phoenix Suns,79,Boston Celtics,87
62,Milwaukee Bucks,104,Chicago Bulls,96
63,Houston Rockets,79,New Orleans Hornets,88
64,Minnesota Timberwolves,84,Oklahoma City Thunder,106
65,Los Angeles Lakers,105,San Antonio Spurs,108
66,Orlando Magic,105,Denver Nuggets,108
67,Memphis Grizzlies,94,Golden State Warriors,87
68,Dallas Mavericks,93,Los Angeles Clippers,99
69,New York Knicks,76,Indiana Pacers,81
70,Dallas Mavericks,117,Sacramento Kings,112
71,Miami Heat,90,Portland Trail Blazers,92
72,Charlotte Bobcats,78,Toronto Raptors,99
73,Utah Jazz,95,Atlanta Hawks,103
74,Houston Rockets,91,Boston Celtics,103
75,Phoenix Suns,79,Brooklyn Nets,99
76,San Antonio Spurs,98,Memphis Grizzlies,101
77,Minnesota Timberwolves,92,New Orleans Hornets,104
