,Team1,1pts,Team2,2pts
0,Milwaukee Bucks,88,Indiana Pacers,89
1,Charlotte Bobcats,77,Orlando Magic,89
2,New Jersey Nets,90,Philadelphia 76ers,115
3,Cleveland Cavaliers,107,Washington Wizards,115
4,Chicago Bulls,101,Detroit Pistons,96
5,Boston Celtics,83,Atlanta Hawks,88
6,Miami Heat,111,Minnesota Timberwolves,92
7,Memphis Grizzlies,93,New Orleans Hornets,81
8,San Antonio Spurs,114,Houston Rockets,119
9,Los Angeles Clippers,98,Phoenix Suns,111
10,Oklahoma City Thunder,91,Portland Trail Blazers,98
11,Denver Nuggets,99,Sacramento Kings,90
12,Los Angeles Lakers,96,Utah Jazz,85
13,Toronto Raptors,106,Chicago Bulls,113
14,Minnesota Timberwolves,89,Memphis Grizzlies,106
15,Philadelphia 76ers,87,Milwaukee Bucks,93
16,Dallas Mavericks,92,Golden State Warriors,99
17,Oklahoma City Thunder,92,Los Angeles Clippers,98
18,Phoenix Suns,97,San Antonio Spurs,114
19,Denver Nuggets,95,Los Angeles Lakers,90
20,Detroit Pistons,90,Boston Celtics,101
21,Washington Wizards,97,Charlotte Bobcats,91
22,Miami Heat,108,New Jersey Nets,94
23,Cleveland Cavaliers,107,New York Knicks,123
24,Utah Jazz,97,Sacramento Kings,106
25,Orlando Magic,98,Toronto Raptors,102
26,Atlanta Hawks,109,Houston Rockets,114
27,Indiana Pacers,96,New Orleans Hornets,108
28,Dallas Mavericks,96,Portland Trail Blazers,104
29,San Antonio Spurs,97,Atlanta Hawks,90
30,Charlotte Bobcats,89,Cleveland Cavaliers,99
31,Minnesota Timberwolves,105,New Jersey Nets,107
32,Milwaukee Bucks,72,Orlando Magic,78
33,Detroit Pistons,105,Washington Wizards,107
34,Philadelphia 76ers,82,Boston Celtics,99
35,Toronto Raptors,118,New York Knicks,131
36,Phoenix Suns,94,Chicago Bulls,97
37,Los Angeles Clippers,82,Memphis Grizzlies,81
38,Sacramento Kings,104,Houston Rockets,101
39,Oklahoma City Thunder,101,Denver Nuggets,94
40,Golden State Warriors,108,Portland Trail Blazers,87
41,Utah Jazz,86,Los Angeles Lakers,85
42,Orlando Magic,111,Charlotte Bobcats,102
43,Washington Wizards,112,Indiana Pacers,136
44,New York Knicks,97,Philadelphia 76ers,92
45,Cleveland Cavaliers,104,Toronto Raptors,96
46,New Jersey Nets,109,Detroit Pistons,116
47,Milwaukee Bucks,90,Miami Heat,85
48,Phoenix Suns,108,Minnesota Timberwolves,98
49,Houston Rockets,93,New Orleans Hornets,101
50,Los Angeles Clippers,108,Oklahoma City Thunder,112
51,Denver Nuggets,104,Dallas Mavericks,96
52,Sacramento Kings,92,San Antonio Spurs,124
53,Los Angeles Lakers,87,Golden State Warriors,95
54,Boston Celtics,81,Chicago Bulls,97
55,Portland Trail Blazers,98,Utah Jazz,87
56,Atlanta Hawks,102,Indiana Pacers,114
57,New York Knicks,116,New Jersey Nets,93
58,Toronto Raptors,93,Philadelphia 76ers,98
59,Washington Wizards,88,Boston Celtics,104
60,Chicago Bulls,93,Cleveland Cavaliers,82
61,Milwaukee Bucks,100,Detroit Pistons,110
62,Charlotte Bobcats,103,Miami Heat,112
63,Sacramento Kings,96,Memphis Grizzlies,101
64,Phoenix Suns,97,New Orleans Hornets,109
65,Denver Nuggets,89,Oklahoma City Thunder,104
66,Los Angeles Clippers,96,Dallas Mavericks,107
67,Los Angeles Lakers,86,Portland Trail Blazers,93
68,Atlanta Hawks,83,Washington Wizards,115
69,Los Angeles Clippers,78,Houston Rockets,99
70,Cleveland Cavaliers,101,Milwaukee Bucks,108
71,Utah Jazz,102,San Antonio Spurs,111
72,Minnesota Timberwolves,106,Denver Nuggets,130
73,Chicago Bulls,102,Orlando Magic,99
74,Boston Celtics,77,Miami Heat,100
75,Detroit Pistons,112,Charlotte Bobcats,101
76,New Orleans Hornets,89,Memphis Grizzlies,111
77,New Jersey Nets,92,Toronto Raptors,99
78,New York Knicks,110,Indiana Pacers,109
79,Phoenix Suns,90,Dallas Mavericks,115
80,Sacramento Kings,104,Golden State Warriors,103
81,Oklahoma City Thunder,120,Los Angeles Lakers,106
82,Miami Heat,98,Atlanta Hawks,90
83,Charlotte Bobcats,105,New Jersey Nets,103
84,Orlando Magic,95,Philadelphia 76ers,85
85,Boston Celtics,94,Washington Wizards,95
86,Cleveland Cavaliers,110,Detroit Pistons,101
87,Toronto Raptors,86,Milwaukee Bucks,93
88,Utah Jazz,90,New Orleans Hornets,78
89,Dallas Mavericks,98,Houston Rockets,91
90,Golden State Warriors,111,Denver Nuggets,134
91,Minnesota Timberwolves,127,Phoenix Suns,135
92,Oklahoma City Thunder,120,Sacramento Kings,112
93,Chicago Bulls,103,New York Knicks,90
94,Memphis Grizzlies,89,Portland Trail Blazers,102
95,San Antonio Spurs,93,Los Angeles Lakers,102
96,New York Knicks,102,Boston Celtics,112
97,Atlanta Hawks,85,Charlotte Bobcats,96
98,New Jersey Nets,92,Chicago Bulls,97
99,Washington Wizards,93,Cleveland Cavaliers,100
100,New Orleans Hornets,89,Dallas Mavericks,121
101,Houston Rockets,121,Minnesota Timberwolves,102
102,Milwaukee Bucks,110,Oklahoma City Thunder,106
103,Indiana Pacers,74,Orlando Magic,92
104,Detroit Pistons,104,Philadelphia 76ers,100
105,Miami Heat,97,Toronto Raptors,79
106,Denver Nuggets,103,Utah Jazz,107
107,Portland Trail Blazers,86,Golden State Warriors,110
108,Memphis Grizzlies,103,Los Angeles Clippers,110
109,San Antonio Spurs,103,Phoenix Suns,106
110,Los Angeles Lakers,116,Sacramento Kings,108

