,Team1,1pts,Team2,2pts
0,Orlando Magic,84,New Orleans Pelicans,101
1,Dallas Mavericks,100,San Antonio Spurs,101
2,Houston Rockets,108,Los Angeles Lakers,90
3,Milwaukee Bucks,106,Charlotte Hornets,108
4,Philadelphia 76ers,91,Indiana Pacers,103
5,Atlanta Hawks,102,Toronto Raptors,109
6,Washington Wizards,95,Miami Heat,107
7,Brooklyn Nets,105,Boston Celtics,121
8,Chicago Bulls,104,New York Knicks,80
9,Minnesota Timberwolves,101,Memphis Grizzlies,105
10,Detroit Pistons,79,Denver Nuggets,89
11,Houston Rockets,104,Utah Jazz,93
12,Los Angeles Lakers,99,Phoenix Suns,119
13,Golden State Warriors,95,Sacramento Kings,77
14,Oklahoma City Thunder,89,Portland Trail Blazers,106
15,Washington Wizards,105,Orlando Magic,98
16,New York Knicks,95,Cleveland Cavaliers,90
17,Detroit Pistons,91,Minnesota Timberwolves,97
18,Utah Jazz,102,Dallas Mavericks,120
19,Oklahoma City Thunder,90,Los Angeles Clippers,93
20,Memphis Grizzlies,97,Indiana Pacers,89
21,Cleveland Cavaliers,114,Chicago Bulls,108
22,Philadelphia 76ers,81,Milwaukee Bucks,93
23,San Antonio Spurs,89,Phoenix Suns,94
24,Portland Trail Blazers,94,Sacramento Kings,103
25,Los Angeles Clippers,118,Los Angeles Lakers,111
