,Team1,1pts,Team2,2pts
0,Orlando Magic,97,Dallas Mavericks,82
1,Portland Trail Blazers,92,Denver Nuggets,109
2,Milwaukee Bucks,86,Charlotte Bobcats,87
3,Miami Heat,105,Indiana Pacers,96
4,Chicago Bulls,95,Washington Wizards,87
5,Houston Rockets,119,Boston Celtics,114
6,Atlanta Hawks,88,Cleveland Cavaliers,93
7,Phoenix Suns,109,Detroit Pistons,94
8,New Orleans Hornets,96,Memphis Grizzlies,107
9,Orlando Magic,100,San Antonio Spurs,112
10,New York Knicks,117,Golden State Warriors,128
11,Utah Jazz,92,Los Angeles Lakers,106
12,Toronto Raptors,128,Philadelphia 76ers,123
13,Detroit Pistons,85,Atlanta Hawks,91
14,New Orleans Hornets,87,New Jersey Nets,115
15,Charlotte Bobcats,88,Chicago Bulls,96
16,Miami Heat,97,Minnesota Timberwolves,84
17,Oklahoma City Thunder,121,Dallas Mavericks,116
18,Phoenix Suns,98,Milwaukee Bucks,107
19,Los Angeles Clippers,90,Denver Nuggets,98
20,Portland Trail Blazers,98,Sacramento Kings,87
21,Cleveland Cavaliers,113,Boston Celtics,117
22,San Antonio Spurs,100,Los Angeles Lakers,81
23,Houston Rockets,102,Indiana Pacers,133
24,Memphis Grizzlies,92,Orlando Magic,107
25,Golden State Warriors,113,Toronto Raptors,112
26,New Jersey Nets,99,Washington Wizards,109
27,Minnesota Timberwolves,108,Oklahoma City Thunder,116
28,New York Knicks,113,Los Angeles Clippers,107
29,Atlanta Hawks,100,Charlotte Bobcats,109
30,Toronto Raptors,101,Cleveland Cavaliers,113
31,Detroit Pistons,124,Philadelphia 76ers,103
32,Golden State Warriors,94,Washington Wizards,112
33,Boston Celtics,101,New York Knicks,104
34,Milwaukee Bucks,79,Chicago Bulls,74
35,Houston Rockets,113,Memphis Grizzlies,103
36,Oklahoma City Thunder,139,Utah Jazz,140
37,San Antonio Spurs,95,Sacramento Kings,86
38,New York Knicks,105,Indiana Pacers,113
39,Washington Wizards,94,Orlando Magic,121
40,Boston Celtics,115,Toronto Raptors,104
41,Atlanta Hawks,88,Detroit Pistons,90
42,Philadelphia 76ers,95,Miami Heat,99
43,Utah Jazz,96,Houston Rockets,113
44,New Jersey Nets,89,Milwaukee Bucks,108
45,Golden State Warriors,116,Minnesota Timberwolves,107
46,Charlotte Bobcats,104,New Orleans Hornets,103
47,Denver Nuggets,98,Oklahoma City Thunder,94
48,Memphis Grizzlies,84,Dallas Mavericks,110
49,Portland Trail Blazers,93,Los Angeles Clippers,85
50,San Antonio Spurs,101,Phoenix Suns,112
51,Cleveland Cavaliers,108,Chicago Bulls,109
52,Los Angeles Clippers,94,Sacramento Kings,116
53,Los Angeles Lakers,96,Denver Nuggets,98
54,New York Knicks,103,Orlando Magic,118
55,Milwaukee Bucks,95,Philadelphia 76ers,90
56,Toronto Raptors,101,Atlanta Hawks,107
57,Washington Wizards,106,Boston Celtics,96
58,Indiana Pacers,116,Cleveland Cavaliers,113
59,Detroit Pistons,106,Miami Heat,99
60,Los Angeles Lakers,97,Minnesota Timberwolves,88
61,Chicago Bulls,116,New Jersey Nets,127
62,Utah Jazz,114,New Orleans Hornets,103
63,Phoenix Suns,91,Oklahoma City Thunder,96
64,Charlotte Bobcats,90,Houston Rockets,97
65,Memphis Grizzlies,107,San Antonio Spurs,99
66,Dallas Mavericks,83,Portland Trail Blazers,77
67,Detroit Pistons,95,Charlotte Bobcats,99
68,New Jersey Nets,102,Indiana Pacers,115
69,Atlanta Hawks,105,Washington Wizards,95
70,Philadelphia 76ers,120,Memphis Grizzlies,101
71,Boston Celtics,105,Milwaukee Bucks,90
72,San Antonio Spurs,104,Denver Nuggets,85
