,Team1,1pts,Team2,2pts
0,Memphis Grizzlies,102,Detroit Pistons,104
1,Toronto Raptors,119,Washington Wizards,122
2,Milwaukee Bucks,89,Minnesota Timberwolves,108
3,Houston Rockets,102,San Antonio Spurs,91
4,Oklahoma City Thunder,124,Denver Nuggets,127
5,Indiana Pacers,126,Charlotte Hornets,133
6,Atlanta Hawks,110,Boston Celtics,119
7,Los Angeles Lakers,102,Brooklyn Nets,99
8,Portland Trail Blazers,105,Toronto Raptors,130
9,New York Knicks,90,Milwaukee Bucks,92
10,Miami Heat,97,Philadelphia 76ers,103
11,New Orleans Pelicans,114,Oklahoma City Thunder,100
12,Utah Jazz,129,Phoenix Suns,97
13,Golden State Warriors,119,Sacramento Kings,104
14,Chicago Bulls,103,Los Angeles Clippers,113
15,Miami Heat,107,Detroit Pistons,111
16,Philadelphia 76ers,92,Indiana Pacers,100
17,Washington Wizards,115,Orlando Magic,98
18,Houston Rockets,120,Cleveland Cavaliers,88
19,Golden State Warriors,108,Denver Nuggets,115
20,New Orleans Pelicans,107,Minnesota Timberwolves,118
21,Utah Jazz,120,San Antonio Spurs,111
22,Dallas Mavericks,106,Sacramento Kings,99
23,Portland Trail Blazers,96,Boston Celtics,97
24,Milwaukee Bucks,109,Brooklyn Nets,94
25,Atlanta Hawks,99,New York Knicks,96
26,Memphis Grizzlies,86,Toronto Raptors,101
27,Los Angeles Lakers,108,Oklahoma City Thunder,104
28,Charlotte Hornets,115,Phoenix Suns,110
29,Portland Trail Blazers,91,Detroit Pistons,111
30,Washington Wizards,111,Indiana Pacers,102
31,Orlando Magic,111,Miami Heat,109
32,Utah Jazz,133,New Orleans Pelicans,109
33,Charlotte Hornets,104,Denver Nuggets,121
34,Chicago Bulls,98,Sacramento Kings,104
35,Dallas Mavericks,101,Los Angeles Clippers,104
36,Cleveland Cavaliers,98,Orlando Magic,116
37,Memphis Grizzlies,82,Atlanta Hawks,108
38,Houston Rockets,123,Brooklyn Nets,113
39,Milwaukee Bucks,103,New York Knicks,89
40,Boston Celtics,91,Toronto Raptors,111
41,Washington Wizards,102,Philadelphia 76ers,115
42,Oklahoma City Thunder,125,Golden State Warriors,105
43,Phoenix Suns,93,Los Angeles Lakers,112
44,Brooklyn Nets,106,Detroit Pistons,115
45,Houston Rockets,109,Miami Heat,101
46,Minnesota Timberwolves,138,Cleveland Cavaliers,140
47,Utah Jazz,92,Memphis Grizzlies,88
48,San Antonio Spurs,129,Phoenix Suns,81
49,Atlanta Hawks,98,Orlando Magic,100
50,New York Knicks,88,Toronto Raptors,113
51,Boston Celtics,110,Washington Wizards,104
52,Charlotte Hornets,103,Portland Trail Blazers,109
53,Dallas Mavericks,103,Golden State Warriors,121
54,Oklahoma City Thunder,81,Los Angeles Lakers,106
55,Los Angeles Clippers,108,Detroit Pistons,95
56,New Orleans Pelicans,82,Philadelphia 76ers,100
57,Cleveland Cavaliers,123,Atlanta Hawks,107
58,Indiana Pacers,97,Boston Celtics,91
59,Denver Nuggets,104,Houston Rockets,130
60,Milwaukee Bucks,85,Miami Heat,91
61,Charlotte Hornets,94,Utah Jazz,106
62,Minnesota Timberwolves,113,Chicago Bulls,114
63,Portland Trail Blazers,118,Sacramento Kings,100
64,New Orleans Pelicans,138,Brooklyn Nets,128
65,Milwaukee Bucks,111,Orlando Magic,104
66,Los Angeles Clippers,98,Philadelphia 76ers,112
67,Washington Wizards,101,Chicago Bulls,90
68,Los Angeles Lakers,123,Dallas Mavericks,130
69,San Antonio Spurs,105,Golden State Warriors,122
70,Denver Nuggets,123,Phoenix Suns,113
71,Toronto Raptors,123,Charlotte Hornets,103
72,Detroit Pistons,115,Atlanta Hawks,118
73,Cleveland Cavaliers,121,Boston Celtics,99
74,New York Knicks,113,Indiana Pacers,121
75,Dallas Mavericks,97,Houston Rockets,104
76,Sacramento Kings,106,Minnesota Timberwolves,111
77,Memphis Grizzlies,92,Oklahoma City Thunder,110
78,Utah Jazz,115,Portland Trail Blazers,96
79,New Orleans Pelicans,118,Detroit Pistons,103
80,New York Knicks,92,Philadelphia 76ers,108
81,Los Angeles Clippers,114,Brooklyn Nets,101
82,Orlando Magic,101,Chicago Bulls,105
83,San Antonio Spurs,99,Utah Jazz,101
84,Phoenix Suns,83,Golden State Warriors,129
85,Miami Heat,112,Toronto Raptors,115
86,Atlanta Hawks,92,Milwaukee Bucks,97
87,Houston Rockets,126,Minnesota Timberwolves,108
88,Cleveland Cavaliers,120,Oklahoma City Thunder,112
89,Sacramento Kings,114,Dallas Mavericks,109
90,San Antonio Spurs,109,Denver Nuggets,117
91,Atlanta Hawks,98,Detroit Pistons,104
92,Charlotte Hornets,104,Orlando Magic,102
93,Miami Heat,102,Philadelphia 76ers,104
94,Indiana Pacers,108,Brooklyn Nets,103
95,Washington Wizards,118,New York Knicks,113
96,Los Angeles Clippers,129,Boston Celtics,119
97,Toronto Raptors,122,Chicago Bulls,98
98,Sacramento Kings,91,Houston Rockets,100
99,Oklahoma City Thunder,121,Memphis Grizzlies,114
