,Team1,1pts,Team2,2pts
0,Miami Heat,109,Brooklyn Nets,106
1,Memphis Grizzlies,115,Minnesota Timberwolves,107
2,Boston Celtics,113,New York Knicks,104
3,Dallas Mavericks,114,Los Angeles Lakers,100
4,San Antonio Spurs,98,Detroit Pistons,132
5,Oklahoma City Thunder,107,New Orleans Pelicans,104
6,Golden State Warriors,96,Orlando Magic,100
7,Utah Jazz,110,Toronto Raptors,130
8,Washington Wizards,125,Los Angeles Clippers,150
9,Phoenix Suns,109,Charlotte Hornets,104
10,Utah Jazz,94,Philadelphia 76ers,103
11,Golden State Warriors,79,Atlanta Hawks,104
12,Indiana Pacers,117,Memphis Grizzlies,104
13,New York Knicks,88,Milwaukee Bucks,132
14,Chicago Bulls,113,Sacramento Kings,106
15,Detroit Pistons,127,Cleveland Cavaliers,94
16,Orlando Magic,127,Washington Wizards,120
17,Dallas Mavericks,118,New Orleans Pelicans,97
18,Miami Heat,121,Toronto Raptors,110
19,Houston Rockets,133,San Antonio Spurs,135
20,Los Angeles Lakers,105,Denver Nuggets,96
21,Portland Trail Blazers,97,Los Angeles Clippers,117
22,Golden State Warriors,91,Charlotte Hornets,106
23,Milwaukee Bucks,127,Detroit Pistons,103
24,Phoenix Suns,114,Orlando Magic,128
25,Brooklyn Nets,130,Atlanta Hawks,118
26,Miami Heat,93,Boston Celtics,112
27,Memphis Grizzlies,99,Chicago Bulls,106
28,Indiana Pacers,107,Oklahoma City Thunder,100
29,Minnesota Timberwolves,114,Dallas Mavericks,121
30,Los Angeles Lakers,121,Utah Jazz,96
31,Sacramento Kings,116,Portland Trail Blazers,127
32,Philadelphia 76ers,113,Washington Wizards,119
33,Denver Nuggets,129,New York Knicks,92
34,Houston Rockets,119,Toronto Raptors,109
35,Phoenix Suns,139,New Orleans Pelicans,132
36,Brooklyn Nets,111,Charlotte Hornets,104
37,Orlando Magic,93,Cleveland Cavaliers,87
38,Indiana Pacers,101,Detroit Pistons,108
39,Denver Nuggets,95,Boston Celtics,108
40,Golden State Warriors,100,Chicago Bulls,98
41,Washington Wizards,103,Miami Heat,112
42,Minnesota Timberwolves,127,Oklahoma City Thunder,139
43,Los Angeles Clippers,91,Milwaukee Bucks,119
44,Sacramento Kings,104,San Antonio Spurs,105
45,Los Angeles Lakers,136,Portland Trail Blazers,113
46,New Orleans Pelicans,84,Dallas Mavericks,130
47,Indiana Pacers,104,New York Knicks,103
48,Cleveland Cavaliers,94,Philadelphia 76ers,141
49,Phoenix Suns,109,Houston Rockets,115
50,Memphis Grizzlies,112,Utah Jazz,126
51,Denver Nuggets,102,Brooklyn Nets,105
52,Atlanta Hawks,122,Charlotte Hornets,107
53,Chicago Bulls,105,Miami Heat,110
54,Toronto Raptors,104,Philadelphia 76ers,110
55,Los Angeles Clippers,135,Washington Wizards,119
56,Sacramento Kings,110,Dallas Mavericks,106
57,Oklahoma City Thunder,108,Portland Trail Blazers,96
58,Minnesota Timberwolves,125,Los Angeles Lakers,142
59,Los Angeles Clippers,110,Indiana Pacers,99
60,Cleveland Cavaliers,88,Boston Celtics,110
61,Toronto Raptors,93,Chicago Bulls,92
62,Sacramento Kings,119,Houston Rockets,118
63,Orlando Magic,101,Milwaukee Bucks,110
64,Detroit Pistons,105,New Orleans Pelicans,103
65,Minnesota Timberwolves,109,Phoenix Suns,125
66,Oklahoma City Thunder,104,Utah Jazz,90
67,Memphis Grizzlies,110,Golden State Warriors,102
68,Washington Wizards,107,Charlotte Hornets,114
69,Atlanta Hawks,121,Miami Heat,135
70,Denver Nuggets,92,Philadelphia 76ers,97
71,New York Knicks,87,Portland Trail Blazers,115
72,Houston Rockets,116,Cleveland Cavaliers,110
73,Boston Celtics,117,Indiana Pacers,122
74,Los Angeles Lakers,96,Orlando Magic,87
75,Los Angeles Clippers,112,Toronto Raptors,92
76,Charlotte Hornets,113,Brooklyn Nets,108
77,Atlanta Hawks,102,Chicago Bulls,136
78,Utah Jazz,127,Minnesota Timberwolves,116
79,Memphis Grizzlies,115,Phoenix Suns,108
80,New Orleans Pelicans,112,Milwaukee Bucks,127
81,Oklahoma City Thunder,93,Sacramento Kings,94
82,New York Knicks,124,Golden State Warriors,122
83,Philadelphia 76ers,115,Boston Celtics,109
84,Cleveland Cavaliers,117,San Antonio Spurs,109
85,Dallas Mavericks,122,Detroit Pistons,111
86,Portland Trail Blazers,99,Denver Nuggets,114
87,Los Angeles Lakers,113,Miami Heat,110
88,Houston Rockets,130,Orlando Magic,107
89,New Orleans Pelicans,109,Philadelphia 76ers,116
90,Indiana Pacers,110,Atlanta Hawks,100
91,Charlotte Hornets,83,Chicago Bulls,73
92,Milwaukee Bucks,127,Memphis Grizzlies,114
93,Golden State Warriors,106,Utah Jazz,114
94,Los Angeles Clippers,124,Minnesota Timberwolves,117
95,New York Knicks,103,Sacramento Kings,101
96,San Antonio Spurs,121,Phoenix Suns,119
97,Brooklyn Nets,102,Toronto Raptors,110
98,Los Angeles Clippers,106,Chicago Bulls,109
99,Washington Wizards,111,Memphis Grizzlies,128
100,Miami Heat,122,Dallas Mavericks,118
101,Cleveland Cavaliers,108,Milwaukee Bucks,125
102,Oklahoma City Thunder,102,Denver Nuggets,110
103,Detroit Pistons,115,Houston Rockets,107
104,Orlando Magic,130,New Orleans Pelicans,119
105,Charlotte Hornets,85,Indiana Pacers,107
106,Los Angeles Lakers,101,Atlanta Hawks,96
107,Philadelphia 76ers,89,Brooklyn Nets,109
108,New York Knicks,105,Denver Nuggets,111
109,Sacramento Kings,100,Golden State Warriors,79
110,Washington Wizards,133,Detroit Pistons,119
111,Cleveland Cavaliers,113,Toronto Raptors,133
112,San Antonio Spurs,107,Houston Rockets,109
113,Miami Heat,111,Memphis Grizzlies,118
114,Dallas Mavericks,120,Milwaukee Bucks,116
115,Chicago Bulls,106,Oklahoma City Thunder,109
116,Portland Trail Blazers,111,Phoenix Suns,110
117,Sacramento Kings,102,Charlotte Hornets,110
118,Los Angeles Lakers,102,Indiana Pacers,105
119,Atlanta Hawks,120,New York Knicks,143
120,Brooklyn Nets,108,New Orleans Pelicans,101
121,Orlando Magic,102,Utah Jazz,109
122,Phoenix Suns,99,Los Angeles Clippers,120
123,Charlotte Hornets,98,Cleveland Cavaliers,100
