,Team1,1pts,Team2,2pts
0,Boston Celtics,99,Washington Wizards,88
1,Milwaukee Bucks,97,Miami Heat,81
2,Los Angeles Lakers,93,Memphis Grizzlies,95
3,Phoenix Suns,109,New Orleans Hornets,100
4,Sacramento Kings,109,Denver Nuggets,112
5,Dallas Mavericks,92,Utah Jazz,104
6,Charlotte Bobcats,79,Portland Trail Blazers,98
7,Memphis Grizzlies,89,Cleveland Cavaliers,105
8,Toronto Raptors,115,Indiana Pacers,130
9,Milwaukee Bucks,82,Orlando Magic,99
10,Detroit Pistons,97,New Jersey Nets,93
11,Los Angeles Clippers,90,Chicago Bulls,82
12,Atlanta Hawks,99,Oklahoma City Thunder,106
13,Golden State Warriors,97,Houston Rockets,119
14,Los Angeles Clippers,97,Atlanta Hawks,103
15,Chicago Bulls,103,Philadelphia 76ers,106
16,New Jersey Nets,99,Toronto Raptors,108
17,Washington Wizards,85,New York Knicks,107
18,Miami Heat,102,Boston Celtics,107
19,Oklahoma City Thunder,103,New Orleans Hornets,99
20,Golden State Warriors,101,Dallas Mavericks,110
21,Portland Trail Blazers,105,Utah Jazz,118
22,San Antonio Spurs,115,Sacramento Kings,113
23,Phoenix Suns,109,Denver Nuggets,97
24,Charlotte Bobcats,97,Los Angeles Lakers,99
25,Miami Heat,86,Cleveland Cavaliers,102
26,San Antonio Spurs,93,Portland Trail Blazers,96
27,Detroit Pistons,83,Indiana Pacers,107
28,Washington Wizards,92,Orlando Magic,91
29,New Jersey Nets,87,Boston Celtics,96
30,Milwaukee Bucks,114,New York Knicks,107
31,Chicago Bulls,81,Atlanta Hawks,91
32,Houston Rockets,101,Memphis Grizzlies,83
33,Philadelphia 76ers,101,New Orleans Hornets,94
34,Minnesota Timberwolves,117,Dallas Mavericks,108
35,Phoenix Suns,114,Sacramento Kings,102
36,Denver Nuggets,126,Los Angeles Lakers,113
37,New Orleans Hornets,104,Charlotte Bobcats,99
38,New York Knicks,106,Cleveland Cavaliers,113
39,New Jersey Nets,92,Detroit Pistons,99
40,Miami Heat,91,Chicago Bulls,95
41,Memphis Grizzlies,102,Minnesota Timberwolves,109
42,Philadelphia 76ers,102,Houston Rockets,95
43,Indiana Pacers,81,Milwaukee Bucks,93
44,Denver Nuggets,106,Utah Jazz,116
45,Los Angeles Lakers,99,Portland Trail Blazers,82
46,Oklahoma City Thunder,104,Golden State Warriors,95
47,San Antonio Spurs,98,Los Angeles Clippers,81
48,Sacramento Kings,104,Toronto Raptors,115
49,Orlando Magic,96,Boston Celtics,89
50,New Orleans Hornets,117,Orlando Magic,123
51,Dallas Mavericks,127,Golden State Warriors,117
52,San Antonio Spurs,89,Los Angeles Lakers,101
53,Washington Wizards,92,Charlotte Bobcats,94
54,New Jersey Nets,97,Cleveland Cavaliers,104
55,Chicago Bulls,109,Indiana Pacers,101
56,Minnesota Timberwolves,97,Philadelphia 76ers,119
57,Houston Rockets,66,Miami Heat,99
58,Sacramento Kings,118,New York Knicks,114
59,Atlanta Hawks,108,Memphis Grizzlies,94
60,Detroit Pistons,93,Milwaukee Bucks,81
61,Dallas Mavericks,91,Denver Nuggets,127
62,Oklahoma City Thunder,89,Portland Trail Blazers,77
63,Utah Jazz,109,Los Angeles Clippers,99
64,Miami Heat,94,Atlanta Hawks,76
65,Philadelphia 76ers,93,Toronto Raptors,104
66,Sacramento Kings,103,Detroit Pistons,97
67,Milwaukee Bucks,97,New Jersey Nets,77
68,Orlando Magic,107,Chicago Bulls,87
69,Charlotte Bobcats,93,Minnesota Timberwolves,92
70,Boston Celtics,85,New Orleans Hornets,93
71,Portland Trail Blazers,108,Phoenix Suns,101
72,Los Angeles Lakers,96,Utah Jazz,81
73,Los Angeles Clippers,102,Golden State Warriors,132
74,Orlando Magic,106,Cleveland Cavaliers,115
75,San Antonio Spurs,111,Denver Nuggets,92
76,New Jersey Nets,103,Charlotte Bobcats,94
77,Miami Heat,105,Philadelphia 76ers,78
78,Minnesota Timberwolves,85,Detroit Pistons,108
79,New York Knicks,85,Chicago Bulls,118
80,Phoenix Suns,109,Memphis Grizzlies,95
81,Dallas Mavericks,86,Oklahoma City Thunder,99
82,Utah Jazz,104,Houston Rockets,95
83,Los Angeles Clippers,87,Portland Trail Blazers,109
84,Boston Celtics,95,Sacramento Kings,92
85,Golden State Warriors,94,Los Angeles Lakers,104
86,San Antonio Spurs,90,Indiana Pacers,87
87,Detroit Pistons,91,Orlando Magic,116
88,Memphis Grizzlies,109,Toronto Raptors,102
89,Minnesota Timberwolves,99,Washington Wizards,108
90,Miami Heat,87,New Jersey Nets,84
91,Chicago Bulls,115,New York Knicks,109
92,Houston Rockets,127,Milwaukee Bucks,99
93,Utah Jazz,98,New Orleans Hornets,90
94,Phoenix Suns,97,Dallas Mavericks,107
95,Sacramento Kings,98,Golden State Warriors,130
96,Atlanta Hawks,110,Los Angeles Clippers,92
97,Denver Nuggets,118,Cleveland Cavaliers,116
98,Boston Celtics,87,Los Angeles Lakers,86
99,Cleveland Cavaliers,93,Charlotte Bobcats,110
100,San Antonio Spurs,94,Philadelphia 76ers,106
101,Denver Nuggets,97,Washington Wizards,107
102,Milwaukee Bucks,91,Detroit Pistons,85
103,Miami Heat,100,Memphis Grizzlies,87
104,Chicago Bulls,100,Minnesota Timberwolves,94
105,Toronto Raptors,106,New Jersey Nets,89
106,Indiana Pacers,101,New Orleans Hornets,107
107,Dallas Mavericks,95,Orlando Magic,85
108,Atlanta Hawks,80,Phoenix Suns,88
109,Utah Jazz,100,Golden State Warriors,89
110,Boston Celtics,96,Portland Trail Blazers,76
111,Washington Wizards,104,Toronto Raptors,109
112,Oklahoma City Thunder,121,New York Knicks,118
113,Philadelphia 76ers,90,Chicago Bulls,122
114,Miami Heat,91,Dallas Mavericks,97
115,Indiana Pacers,125,Houston Rockets,115
116,Charlotte Bobcats,88,Milwaukee Bucks,93
117,Sacramento Kings,89,Los Angeles Clippers,99
118,Cleveland Cavaliers,95,Orlando Magic,101
119,Boston Celtics,105,Denver Nuggets,114
120,San Antonio Spurs,101,Detroit Pistons,109
121,Memphis Grizzlies,104,New Jersey Nets,94
122,Oklahoma City Thunder,109,Minnesota Timberwolves,107
123,Houston Rockets,94,New Orleans Hornets,102
124,Atlanta Hawks,104,Golden State Warriors,108
125,Sacramento Kings,88,Phoenix Suns,104
126,Utah Jazz,93,Portland Trail Blazers,89
127,Chicago Bulls,95,Washington Wizards,101
128,Milwaukee Bucks,83,New York Knicks,67
129,Indiana Pacers,82,Dallas Mavericks,91
130,Atlanta Hawks,105,Utah Jazz,100
131,Charlotte Bobcats,94,Los Angeles Clippers,98
132,New Orleans Hornets,95,Cleveland Cavaliers,105
133,New York Knicks,106,Boston Celtics,110
134,Minnesota Timberwolves,91,Miami Heat,88
135,Portland Trail Blazers,102,New Jersey Nets,93
136,Los Angeles Lakers,99,Memphis Grizzlies,98
137,Phoenix Suns,104,Oklahoma City Thunder,102
138,Detroit Pistons,101,Sacramento Kings,89
139,Philadelphia 76ers,110,Golden State Warriors,102
140,Minnesota Timberwolves,92,Atlanta Hawks,98
141,Portland Trail Blazers,101,Toronto Raptors,87
142,Memphis Grizzlies,99,Washington Wizards,94
143,Indiana Pacers,110,Chicago Bulls,120
144,New Orleans Hornets,95,Milwaukee Bucks,115
145,Orlando Magic,110,Houston Rockets,92
146,Oklahoma City Thunder,87,San Antonio Spurs,95
147,Los Angeles Lakers,96,Dallas Mavericks,101
148,Philadelphia 76ers,95,Phoenix Suns,106
149,Charlotte Bobcats,93,Utah Jazz,102
150,Detroit Pistons,91,Los Angeles Clippers,97
151,Milwaukee Bucks,112,Indiana Pacers,110
152,Cleveland Cavaliers,108,Boston Celtics,88
153,Denver Nuggets,127,Golden State Warriors,112
154,Dallas Mavericks,111,Atlanta Hawks,103
155,Cleveland Cavaliers,126,Toronto Raptors,118
156,New York Knicks,118,Washington Wizards,116
157,Portland Trail Blazers,111,Chicago Bulls,115
158,Charlotte Bobcats,93,Memphis Grizzlies,89
159,Minnesota Timberwolves,92,Oklahoma City Thunder,109
160,San Antonio Spurs,104,Houston Rockets,109
161,Detroit Pistons,102,Denver Nuggets,107
162,Los Angeles Clippers,112,Phoenix Suns,125
163,Orlando Magic,93,New Orleans Hornets,100
164,Utah Jazz,99,Sacramento Kings,103
165,Philadelphia 76ers,90,Los Angeles Lakers,99
166,New Jersey Nets,104,Boston Celtics,96
167,Milwaukee Bucks,94,Miami Heat,71
168,Chicago Bulls,90,Indiana Pacers,100
169,Memphis Grizzlies,120,New York Knicks,109
