,Team1,1pts,Team2,2pts
0,Utah Jazz,116,Toronto Raptors,122
1,Detroit Pistons,98,Milwaukee Bucks,121
2,New York Knicks,108,Denver Nuggets,115
3,Portland Trail Blazers,113,Sacramento Kings,108
4,Philadelphia 76ers,119,Los Angeles Clippers,113
5,Dallas Mavericks,122,Charlotte Hornets,84
6,Miami Heat,117,Cleveland Cavaliers,92
7,Atlanta Hawks,98,Washington Wizards,114
8,New Orleans Pelicans,121,Brooklyn Nets,126
9,Minnesota Timberwolves,102,Boston Celtics,115
10,Orlando Magic,112,Chicago Bulls,84
11,Detroit Pistons,101,Memphis Grizzlies,94
12,Philadelphia 76ers,132,Phoenix Suns,127
13,Oklahoma City Thunder,107,Los Angeles Lakers,100
14,Toronto Raptors,107,San Antonio Spurs,125
15,Denver Nuggets,117,Sacramento Kings,113
16,Houston Rockets,135,Golden State Warriors,134
17,Utah Jazz,117,Cleveland Cavaliers,91
18,Dallas Mavericks,93,Boston Celtics,114
19,Indiana Pacers,119,Chicago Bulls,116
20,Brooklyn Nets,109,Memphis Grizzlies,100
21,Washington Wizards,109,Miami Heat,115
22,Orlando Magic,103,Minnesota Timberwolves,120
23,Atlanta Hawks,112,Milwaukee Bucks,144
24,Los Angeles Clippers,121,Phoenix Suns,111
25,New York Knicks,119,Los Angeles Lakers,112
26,Oklahoma City Thunder,111,Portland Trail Blazers,109
27,Charlotte Hornets,110,Denver Nuggets,123
28,Utah Jazz,110,Detroit Pistons,105
29,Dallas Mavericks,100,Philadelphia 76ers,106
30,New Orleans Pelicans,133,Cleveland Cavaliers,98
31,Toronto Raptors,123,Milwaukee Bucks,116
32,Memphis Grizzlies,88,San Antonio Spurs,108
33,Houston Rockets,101,Portland Trail Blazers,110
34,Golden State Warriors,127,Sacramento Kings,123
35,Brooklyn Nets,117,Chicago Bulls,100
36,Orlando Magic,96,Los Angeles Clippers,106
37,Los Angeles Lakers,86,Minnesota Timberwolves,108
38,Miami Heat,82,Atlanta Hawks,106
39,Washington Wizards,116,Oklahoma City Thunder,98
40,Indiana Pacers,105,Toronto Raptors,121
41,Charlotte Hornets,119,Phoenix Suns,113
42,San Antonio Spurs,119,Detroit Pistons,107
43,Brooklyn Nets,95,Boston Celtics,116
44,Denver Nuggets,113,Houston Rockets,125
45,Utah Jazz,102,Milwaukee Bucks,114
46,Memphis Grizzlies,95,New Orleans Pelicans,114
47,Los Angeles Lakers,107,Dallas Mavericks,97
48,New York Knicks,101,Portland Trail Blazers,111
49,Orlando Magic,95,Sacramento Kings,111
50,Indiana Pacers,123,Cleveland Cavaliers,115
51,Washington Wizards,115,Philadelphia 76ers,132
52,Denver Nuggets,103,Miami Heat,99
53,Atlanta Hawks,101,Toronto Raptors,104
54,Minnesota Timberwolves,119,Oklahoma City Thunder,117
55,Sacramento Kings,111,Phoenix Suns,115
56,New York Knicks,95,Golden State Warriors,122
57,Charlotte Hornets,109,Los Angeles Clippers,128
58,Indiana Pacers,108,Boston Celtics,135
59,Philadelphia 76ers,106,Washington Wizards,123
60,Atlanta Hawks,100,Brooklyn Nets,116
61,Milwaukee Bucks,116,Houston Rockets,109
62,San Antonio Spurs,86,Memphis Grizzlies,96
63,Cleveland Cavaliers,124,New Orleans Pelicans,140
64,Phoenix Suns,94,Dallas Mavericks,104
65,Orlando Magic,93,Utah Jazz,106
66,Chicago Bulls,112,Portland Trail Blazers,124
67,Detroit Pistons,100,Los Angeles Lakers,113
68,Boston Celtics,99,Miami Heat,115
69,Los Angeles Clippers,100,Denver Nuggets,121
70,Oklahoma City Thunder,147,San Antonio Spurs,154
71,Detroit Pistons,102,Sacramento Kings,112
72,Atlanta Hawks,123,Philadelphia 76ers,121
73,Milwaukee Bucks,106,Washington Wizards,113
74,Indiana Pacers,121,New York Knicks,106
75,Brooklyn Nets,105,Toronto Raptors,122
76,Cleveland Cavaliers,113,Houston Rockets,141
77,Dallas Mavericks,119,Minnesota Timberwolves,115
78,Charlotte Hornets,96,Portland Trail Blazers,127
79,Los Angeles Lakers,95,Utah Jazz,113
80,Chicago Bulls,109,Golden State Warriors,146
81,Detroit Pistons,109,Los Angeles Clippers,104
82,Memphis Grizzlies,108,Miami Heat,112
83,Boston Celtics,103,Orlando Magic,105
84,New Orleans Pelicans,106,Minnesota Timberwolves,110
85,San Antonio Spurs,112,Oklahoma City Thunder,122
86,Denver Nuggets,93,Phoenix Suns,102
87,Charlotte Hornets,97,Sacramento Kings,104
88,Chicago Bulls,102,Utah Jazz,110
89,Philadelphia 76ers,108,New York Knicks,105
90,Toronto Raptors,140,Washington Wizards,138
91,Milwaukee Bucks,133,Atlanta Hawks,114
92,Houston Rockets,109,Orlando Magic,116
93,Golden State Warriors,119,Dallas Mavericks,114
94,Portland Trail Blazers,113,Denver Nuggets,116
95,Cleveland Cavaliers,101,Los Angeles Lakers,95
96,Boston Celtics,102,Brooklyn Nets,109
97,Memphis Grizzlies,94,Houston Rockets,112
98,Charlotte Hornets,108,San Antonio Spurs,93
99,Detroit Pistons,94,Utah Jazz,100
100,Portland Trail Blazers,107,Sacramento Kings,115
101,New Orleans Pelicans,121,Los Angeles Clippers,117
102,Phoenix Suns,97,Indiana Pacers,131
