,Team1,1pts,Team2,2pts
0,New Orleans Pelicans,122,Toronto Raptors,130
1,Los Angeles Lakers,102,Los Angeles Clippers,112
2,Chicago Bulls,125,Charlotte Hornets,126
3,Detroit Pistons,119,Indiana Pacers,110
4,Cleveland Cavaliers,85,Orlando Magic,94
5,Minnesota Timberwolves,127,Brooklyn Nets,126
6,Memphis Grizzlies,101,Miami Heat,120
7,Boston Celtics,93,Philadelphia 76ers,107
8,Washington Wizards,100,Dallas Mavericks,108
9,New York Knicks,111,San Antonio Spurs,120
10,Oklahoma City Thunder,95,Utah Jazz,100
11,Sacramento Kings,95,Phoenix Suns,124
12,Denver Nuggets,108,Portland Trail Blazers,100
13,Atlanta Hawks,117,Detroit Pistons,100
14,Milwaukee Bucks,117,Houston Rockets,111
15,Los Angeles Clippers,141,Golden State Warriors,122
16,Toronto Raptors,106,Boston Celtics,112
17,Minnesota Timberwolves,121,Charlotte Hornets,99
18,New York Knicks,109,Brooklyn Nets,113
19,Chicago Bulls,110,Memphis Grizzlies,102
20,Dallas Mavericks,123,New Orleans Pelicans,116
21,Washington Wizards,97,Oklahoma City Thunder,85
22,Phoenix Suns,107,Denver Nuggets,108
23,Portland Trail Blazers,122,Sacramento Kings,112
24,Utah Jazz,86,Los Angeles Lakers,95
25,Miami Heat,131,Milwaukee Bucks,126
26,Philadelphia 76ers,117,Detroit Pistons,111
27,Orlando Magic,99,Atlanta Hawks,103
28,Boston Celtics,118,New York Knicks,95
29,Toronto Raptors,108,Chicago Bulls,84
30,Indiana Pacers,99,Cleveland Cavaliers,110
31,New Orleans Pelicans,123,Houston Rockets,126
32,Washington Wizards,122,San Antonio Spurs,124
33,Sacramento Kings,81,Utah Jazz,113
34,Los Angeles Clippers,122,Phoenix Suns,130
35,Golden State Warriors,92,Oklahoma City Thunder,120
36,Brooklyn Nets,133,Memphis Grizzlies,134
37,Portland Trail Blazers,121,Dallas Mavericks,119
38,Miami Heat,109,Minnesota Timberwolves,116
39,Charlotte Hornets,101,Los Angeles Lakers,120
40,Chicago Bulls,98,New York Knicks,105
41,Indiana Pacers,94,Detroit Pistons,96
42,Orlando Magic,95,Toronto Raptors,104
43,Philadelphia 76ers,105,Atlanta Hawks,103
44,Oklahoma City Thunder,112,Houston Rockets,116
45,Cleveland Cavaliers,112,Milwaukee Bucks,129
46,Golden State Warriors,134,New Orleans Pelicans,123
47,Portland Trail Blazers,110,San Antonio Spurs,113
48,Utah Jazz,96,Phoenix Suns,95
49,Denver Nuggets,101,Sacramento Kings,94
50,Charlotte Hornets,96,Los Angeles Clippers,111
51,Atlanta Hawks,97,Miami Heat,112
52,Dallas Mavericks,109,Denver Nuggets,106
53,Memphis Grizzlies,91,Los Angeles Lakers,120
54,Chicago Bulls,111,Cleveland Cavaliers,117
55,New York Knicks,83,Orlando Magic,95
56,Minnesota Timberwolves,95,Philadelphia 76ers,117
57,Milwaukee Bucks,105,Boston Celtics,116
58,Indiana Pacers,118,Brooklyn Nets,108
59,Detroit Pistons,113,Toronto Raptors,125
60,Portland Trail Blazers,102,Oklahoma City Thunder,99
61,Houston Rockets,159,Washington Wizards,158
62,Charlotte Hornets,118,Sacramento Kings,111
63,Los Angeles Clippers,96,Utah Jazz,110
64,Phoenix Suns,121,Golden State Warriors,110
65,Miami Heat,106,Atlanta Hawks,97
66,Denver Nuggets,107,New Orleans Pelicans,122
67,San Antonio Spurs,97,Los Angeles Clippers,103
