,Team1,1pts,Team2,2pts
0,New York Knicks,112,Atlanta Hawks,108
1,Orlando Magic,106,Minnesota Timberwolves,94
2,Sacramento Kings,108,Los Angeles Lakers,109
3,Cleveland Cavaliers,94,New Jersey Nets,86
4,Charlotte Bobcats,107,Miami Heat,97
5,Minnesota Timberwolves,111,Indiana Pacers,122
6,San Antonio Spurs,97,Washington Wizards,86
7,Toronto Raptors,96,Boston Celtics,103
8,Orlando Magic,93,Chicago Bulls,101
9,Houston Rockets,95,New Orleans Hornets,99
10,Oklahoma City Thunder,97,Milwaukee Bucks,103
11,Memphis Grizzlies,128,Phoenix Suns,103
12,Denver Nuggets,105,Utah Jazz,95
13,Golden State Warriors,89,Portland Trail Blazers,105
14,Dallas Mavericks,99,Sacramento Kings,91
15,Charlotte Bobcats,91,Cleveland Cavaliers,88
16,Indiana Pacers,89,New York Knicks,132
17,San Antonio Spurs,86,Toronto Raptors,91
18,Philadelphia 76ers,108,Denver Nuggets,105
19,Dallas Mavericks,96,Los Angeles Lakers,131
20,Atlanta Hawks,75,Miami Heat,92
21,Oklahoma City Thunder,98,Chicago Bulls,85
22,New Orleans Hornets,91,Utah Jazz,87
23,Portland Trail Blazers,95,Los Angeles Clippers,105
24,Chicago Bulls,108,Charlotte Bobcats,113
25,Orlando Magic,90,Indiana Pacers,97
26,Washington Wizards,104,Philadelphia 76ers,97
27,Milwaukee Bucks,98,New Jersey Nets,76
28,Detroit Pistons,93,Dallas Mavericks,98
29,Golden State Warriors,122,Denver Nuggets,123
30,Memphis Grizzlies,109,Portland Trail Blazers,105
31,Phoenix Suns,113,Sacramento Kings,109
32,Houston Rockets,79,Los Angeles Lakers,88
33,New Jersey Nets,89,Atlanta Hawks,119
34,Washington Wizards,98,Cleveland Cavaliers,121
35,Toronto Raptors,108,Orlando Magic,103
36,Boston Celtics,112,Miami Heat,106
37,Golden State Warriors,107,Minnesota Timberwolves,101
38,New Orleans Hornets,97,Oklahoma City Thunder,92
39,Detroit Pistons,92,San Antonio Spurs,112
40,Houston Rockets,110,Phoenix Suns,118
41,Memphis Grizzlies,94,Utah Jazz,117
42,Los Angeles Lakers,91,Los Angeles Clippers,102
