,Team1,1pts,Team2,2pts
0,Boston Celtics,108,Charlotte Bobcats,90
1,Washington Wizards,106,Toronto Raptors,102
2,Phoenix Suns,99,New York Knicks,126
3,Golden State Warriors,107,Denver Nuggets,135
4,Miami Heat,107,Portland Trail Blazers,100
5,New Orleans Hornets,99,Los Angeles Lakers,110
6,Toronto Raptors,115,Atlanta Hawks,146
7,Phoenix Suns,90,Cleveland Cavaliers,107
8,New York Knicks,104,Orlando Magic,118
9,Milwaukee Bucks,102,Washington Wizards,104
10,Dallas Mavericks,117,New Jersey Nets,101
11,Detroit Pistons,85,Chicago Bulls,92
12,Memphis Grizzlies,97,Minnesota Timberwolves,95
13,Philadelphia 76ers,106,Oklahoma City Thunder,117
14,Indiana Pacers,105,Sacramento Kings,110
15,Houston Rockets,102,Los Angeles Clippers,85
16,Boston Celtics,90,San Antonio Spurs,83
17,Miami Heat,96,Denver Nuggets,114
18,Houston Rockets,111,Golden State Warriors,109
19,Toronto Raptors,109,Washington Wizards,107
20,New York Knicks,114,Atlanta Hawks,107
21,Chicago Bulls,87,Cleveland Cavaliers,101
22,Milwaukee Bucks,96,Detroit Pistons,105
23,Dallas Mavericks,82,Memphis Grizzlies,98
24,Charlotte Bobcats,91,New Jersey Nets,97
25,Minnesota Timberwolves,89,New Orleans Hornets,98
26,Boston Celtics,105,Oklahoma City Thunder,87
27,Indiana Pacers,87,Utah Jazz,96
28,Miami Heat,107,Los Angeles Lakers,108
29,Philadelphia 76ers,105,Charlotte Bobcats,106
30,Toronto Raptors,110,Chicago Bulls,78
31,Utah Jazz,101,Minnesota Timberwolves,108
32,Denver Nuggets,106,San Antonio Spurs,99
33,Atlanta Hawks,80,Dallas Mavericks,75
34,Sacramento Kings,107,Phoenix Suns,115
35,Houston Rockets,89,Portland Trail Blazers,90
36,Orlando Magic,126,Golden State Warriors,118
37,Indiana Pacers,72,Los Angeles Clippers,88
38,New Jersey Nets,97,New York Knicks,106
39,Cleveland Cavaliers,101,Milwaukee Bucks,86
40,Washington Wizards,94,Detroit Pistons,98
41,Miami Heat,115,Sacramento Kings,102
42,Phoenix Suns,88,Los Angeles Lakers,108
43,Denver Nuggets,93,Philadelphia 76ers,83
44,Portland Trail Blazers,84,New York Knicks,93
45,Golden State Warriors,88,Oklahoma City Thunder,104
46,San Antonio Spurs,101,Utah Jazz,104
47,Denver Nuggets,95,Charlotte Bobcats,107
48,Minnesota Timberwolves,88,Toronto Raptors,94
49,Milwaukee Bucks,89,Boston Celtics,98
50,New Jersey Nets,103,Chicago Bulls,101
51,Cleveland Cavaliers,109,Memphis Grizzlies,111
52,Sacramento Kings,94,New Orleans Hornets,96
53,Phoenix Suns,101,Dallas Mavericks,102
