,Team1,1pts,Team2,2pts
0,San Antonio Spurs,112,Atlanta Hawks,114
1,Orlando Magic,104,Indiana Pacers,117
2,Detroit Pistons,107,Miami Heat,98
3,Portland Trail Blazers,95,Minnesota Timberwolves,89
4,Toronto Raptors,123,Los Angeles Lakers,114
5,New Orleans Pelicans,82,Cleveland Cavaliers,90
6,Oklahoma City Thunder,94,Milwaukee Bucks,98
7,Utah Jazz,101,Brooklyn Nets,89
8,Orlando Magic,115,New York Knicks,103
9,Charlotte Hornets,111,Chicago Bulls,118
10,Washington Wizards,91,Houston Rockets,101
11,Denver Nuggets,119,Golden State Warriors,127
12,Phoenix Suns,98,Los Angeles Clippers,109
13,Minnesota Timberwolves,91,Philadelphia 76ers,93
14,Utah Jazz,104,Boston Celtics,115
15,Indiana Pacers,121,Detroit Pistons,116
16,Washington Wizards,105,Dallas Mavericks,113
17,Toronto Raptors,82,San Antonio Spurs,110
18,Sacramento Kings,120,Denver Nuggets,113
19,Miami Heat,90,Phoenix Suns,99
20,Memphis Grizzlies,102,Los Angeles Lakers,116
21,Oklahoma City Thunder,112,Charlotte Hornets,123
22,Atlanta Hawks,111,Orlando Magic,92
23,Milwaukee Bucks,105,New York Knicks,104
24,Chicago Bulls,106,Cleveland Cavaliers,94
25,Portland Trail Blazers,117,Golden State Warriors,125
26,Memphis Grizzlies,106,Los Angeles Clippers,115
27,Miami Heat,107,Sacramento Kings,102
28,Brooklyn Nets,109,Indiana Pacers,121
29,Charlotte Hornets,114,Detroit Pistons,115
30,Utah Jazz,93,Toronto Raptors,101
31,Oklahoma City Thunder,116,Houston Rockets,118
32,Atlanta Hawks,99,New Orleans Pelicans,94
33,Phoenix Suns,102,Dallas Mavericks,95
34,San Antonio Spurs,127,Denver Nuggets,99
35,Los Angeles Lakers,109,Portland Trail Blazers,118
36,Houston Rockets,100,Orlando Magic,93
37,Minnesota Timberwolves,105,Washington Wizards,112
38,Philadelphia 76ers,106,Boston Celtics,110
39,Cleveland Cavaliers,116,Brooklyn Nets,108
40,New York Knicks,116,Milwaukee Bucks,111
41,Memphis Grizzlies,128,Golden State Warriors,119
42,Miami Heat,100,Los Angeles Lakers,127
43,Los Angeles Clippers,106,Sacramento Kings,98
44,New York Knicks,109,Indiana Pacers,123
45,New Orleans Pelicans,108,Boston Celtics,117
46,Toronto Raptors,118,Chicago Bulls,123
47,Utah Jazz,94,Minnesota Timberwolves,92
48,Denver Nuggets,106,Oklahoma City Thunder,121
49,Atlanta Hawks,97,Dallas Mavericks,82
50,Charlotte Hornets,85,San Antonio Spurs,102
51,Philadelphia 76ers,105,Brooklyn Nets,95
52,Washington Wizards,107,Milwaukee Bucks,101
53,Miami Heat,86,Los Angeles Clippers,98
54,Houston Rockets,129,Toronto Raptors,122
55,Utah Jazz,79,Memphis Grizzlies,88
56,Cleveland Cavaliers,120,Phoenix Suns,116
57,Detroit Pistons,125,Portland Trail Blazers,124
58,Golden State Warriors,117,Sacramento Kings,106
59,Orlando Magic,95,Los Angeles Lakers,111
60,New Orleans Pelicans,110,New York Knicks,96
61,Oklahoma City Thunder,109,Chicago Bulls,94
62,Dallas Mavericks,92,Minnesota Timberwolves,101
63,Chicago Bulls,99,Washington Wizards,101
64,Atlanta Hawks,117,Brooklyn Nets,97
65,Boston Celtics,106,Toronto Raptors,114
66,Charlotte Hornets,114,Houston Rockets,121
67,Milwaukee Bucks,109,San Antonio Spurs,107
68,Cleveland Cavaliers,92,Utah Jazz,100
69,Miami Heat,95,Golden State Warriors,107
70,Portland Trail Blazers,108,Los Angeles Lakers,87
71,Detroit Pistons,94,Sacramento Kings,100
72,New York Knicks,97,Philadelphia 76ers,98
73,Washington Wizards,108,Boston Celtics,117
74,Houston Rockets,105,Minnesota Timberwolves,119
75,Memphis Grizzlies,95,Oklahoma City Thunder,103
76,Orlando Magic,96,Los Angeles Clippers,105
77,Cleveland Cavaliers,86,Portland Trail Blazers,102
78,Indiana Pacers,112,Denver Nuggets,140
79,New Orleans Pelicans,104,Brooklyn Nets,95
80,Chicago Bulls,89,New York Knicks,104
81,Los Angeles Lakers,94,San Antonio Spurs,134
82,Dallas Mavericks,113,Phoenix Suns,108
83,Detroit Pistons,107,Golden State Warriors,127
84,Charlotte Hornets,93,Philadelphia 76ers,102
85,Brooklyn Nets,113,Toronto Raptors,132
86,Boston Celtics,103,Atlanta Hawks,101
87,Memphis Grizzlies,110,Houston Rockets,105
88,Miami Heat,108,Milwaukee Bucks,116
89,Oklahoma City Thunder,86,Minnesota Timberwolves,96
90,Orlando Magic,115,Portland Trail Blazers,109
91,Cleveland Cavaliers,120,Sacramento Kings,108
92,Detroit Pistons,77,Utah Jazz,110
93,Los Angeles Lakers,97,Los Angeles Clippers,113
94,New Orleans Pelicans,99,Chicago Bulls,107
95,San Antonio Spurs,105,Phoenix Suns,108
96,Philadelphia 76ers,93,Washington Wizards,109
97,Orlando Magic,107,Utah Jazz,114
98,Minnesota Timberwolves,87,Dallas Mavericks,98
99,Milwaukee Bucks,98,Atlanta Hawks,111
100,New York Knicks,101,Toronto Raptors,116
101,Houston Rockets,137,Brooklyn Nets,112
102,Chicago Bulls,108,Memphis Grizzlies,104
103,Oklahoma City Thunder,122,Sacramento Kings,118
104,Detroit Pistons,102,Los Angeles Lakers,97
105,Atlanta Hawks,108,New York Knicks,107
106,Portland Trail Blazers,101,Washington Wizards,120
107,Philadelphia 76ers,113,Milwaukee Bucks,104
108,New Orleans Pelicans,95,Indiana Pacers,98
109,Orlando Magic,112,Denver Nuggets,125
110,Charlotte Hornets,98,Boston Celtics,108
111,Cleveland Cavaliers,91,Golden State Warriors,126
112,Utah Jazz,106,Phoenix Suns,101
113,Oklahoma City Thunder,98,Los Angeles Clippers,120
114,Toronto Raptors,119,Brooklyn Nets,109
115,Houston Rockets,103,Miami Heat,109
116,Dallas Mavericks,99,Chicago Bulls,98
117,Minnesota Timberwolves,114,San Antonio Spurs,122
118,Denver Nuggets,127,Los Angeles Lakers,121
119,Portland Trail Blazers,85,Charlotte Hornets,107
120,Toronto Raptors,89,Philadelphia 76ers,94
121,Memphis Grizzlies,101,Washington Wizards,104
122,New York Knicks,117,Boston Celtics,106
123,Atlanta Hawks,95,Detroit Pistons,118
124,Milwaukee Bucks,92,Houston Rockets,111
125,Orlando Magic,98,New Orleans Pelicans,118
126,Oklahoma City Thunder,100,Golden State Warriors,121
127,Indiana Pacers,106,Sacramento Kings,100
128,Phoenix Suns,103,Cleveland Cavaliers,118
129,Dallas Mavericks,95,Miami Heat,99
130,Washington Wizards,113,New York Knicks,110
131,Denver Nuggets,104,San Antonio Spurs,118
132,Minnesota Timberwolves,104,Los Angeles Clippers,101
133,Toronto Raptors,78,Charlotte Hornets,113
134,Milwaukee Bucks,96,Orlando Magic,112
135,Portland Trail Blazers,92,Philadelphia 76ers,93
136,Chicago Bulls,93,Atlanta Hawks,102
137,Golden State Warriors,125,Houston Rockets,108
138,Sacramento Kings,91,Memphis Grizzlies,107
139,Brooklyn Nets,143,New Orleans Pelicans,114
140,Utah Jazz,112,Dallas Mavericks,107
141,Indiana Pacers,95,Los Angeles Lakers,108
142,Portland Trail Blazers,127,Boston Celtics,123
143,Washington Wizards,112,Detroit Pistons,113
144,Philadelphia 76ers,93,Atlanta Hawks,110
145,Brooklyn Nets,105,Charlotte Hornets,112
146,Milwaukee Bucks,97,Miami Heat,109
147,Phoenix Suns,107,New York Knicks,105
148,Houston Rockets,119,Memphis Grizzlies,95
149,San Antonio Spurs,118,Cleveland Cavaliers,115
150,Sacramento Kings,99,Chicago Bulls,102
151,Los Angeles Clippers,98,Denver Nuggets,123
152,Indiana Pacers,100,Utah Jazz,109
153,Golden State Warriors,118,Orlando Magic,98
154,Los Angeles Lakers,73,Dallas Mavericks,122
155,Phoenix Suns,115,Toronto Raptors,103
156,Denver Nuggets,108,Minnesota Timberwolves,111
157,Washington Wizards,109,Charlotte Hornets,99
158,Los Angeles Clippers,115,Atlanta Hawks,105
159,San Antonio Spurs,112,Brooklyn Nets,86
160,Sacramento Kings,109,Detroit Pistons,104
161,Golden State Warriors,102,Miami Heat,105
162,New York Knicks,109,Indiana Pacers,103
163,Houston Rockets,114,Milwaukee Bucks,127
164,Cleveland Cavaliers,122,New Orleans Pelicans,124
165,Oklahoma City Thunder,97,Utah Jazz,95
166,Chicago Bulls,100,Orlando Magic,92
167,Los Angeles Clippers,110,Philadelphia 76ers,121
168,San Antonio Spurs,108,Toronto Raptors,106
169,Boston Celtics,108,Washington Wizards,123
170,Utah Jazz,93,Denver Nuggets,103
171,Minnesota Timberwolves,112,Phoenix Suns,111
172,Sacramento Kings,116,Cleveland Cavaliers,112
173,Houston Rockets,109,Boston Celtics,120
174,Miami Heat,109,Brooklyn Nets,106
175,Atlanta Hawks,119,Chicago Bulls,114
176,Golden State Warriors,113,Charlotte Hornets,103
177,Toronto Raptors,99,Memphis Grizzlies,101
178,Philadelphia 76ers,114,Milwaukee Bucks,109
179,Oklahoma City Thunder,114,New Orleans Pelicans,105
180,New York Knicks,95,Dallas Mavericks,103
181,Los Angeles Lakers,98,Portland Trail Blazers,105
182,Indiana Pacers,109,Minnesota Timberwolves,103
183,Dallas Mavericks,98,Oklahoma City Thunder,109
184,Phoenix Suns,120,Denver Nuggets,127
185,Los Angeles Lakers,88,Utah Jazz,96
186,Sacramento Kings,111,Indiana Pacers,115
187,Orlando Magic,98,Boston Celtics,128
188,Brooklyn Nets,116,Cleveland Cavaliers,124
189,Charlotte Hornets,107,New York Knicks,110
190,Milwaukee Bucks,86,Toronto Raptors,102
191,Washington Wizards,112,Atlanta Hawks,86
192,Miami Heat,100,Chicago Bulls,88
193,San Antonio Spurs,103,New Orleans Pelicans,119
194,Houston Rockets,123,Philadelphia 76ers,118
195,Memphis Grizzlies,109,Portland Trail Blazers,112
196,Sacramento Kings,109,Charlotte Hornets,106
197,Detroit Pistons,103,Miami Heat,116
198,Boston Celtics,112,Milwaukee Bucks,108
199,Los Angeles Clippers,98,Golden State Warriors,144
200,Brooklyn Nets,109,Minnesota Timberwolves,129
201,Denver Nuggets,123,Phoenix Suns,112
202,Memphis Grizzlies,102,Utah Jazz,95
203,New York Knicks,139,Atlanta Hawks,142
204,Oklahoma City Thunder,91,Cleveland Cavaliers,107
205,Houston Rockets,101,Indiana Pacers,120
206,Washington Wizards,107,New Orleans Pelicans,94
207,Orlando Magic,114,Toronto Raptors,113
208,Philadelphia 76ers,108,Chicago Bulls,121
209,Dallas Mavericks,105,San Antonio Spurs,101
210,Golden State Warriors,113,Portland Trail Blazers,111
211,Sacramento Kings,119,Philadelphia 76ers,122
212,Brooklyn Nets,96,Miami Heat,104
213,Detroit Pistons,109,Boston Celtics,113
214,Orlando Magic,105,Minnesota Timberwolves,111
215,Cleveland Cavaliers,97,Dallas Mavericks,104
216,Memphis Grizzlies,115,Phoenix Suns,96
217,New Orleans Pelicans,106,Toronto Raptors,108
218,New York Knicks,101,Washington Wizards,117
219,Sacramento Kings,83,Houston Rockets,105
220,Oklahoma City Thunder,94,San Antonio Spurs,108
221,Charlotte Hornets,98,Portland Trail Blazers,115
222,Denver Nuggets,116,Los Angeles Lakers,120
