,Team1,1pts,Team2,2pts
125,Denver Nuggets,100,Sacramento Kings,116
126,Memphis Grizzlies,92,Indiana Pacers,102
127,Washington Wizards,112,Philadelphia 76ers,120
128,Miami Heat,108,Atlanta Hawks,90
129,Phoenix Suns,121,Chicago Bulls,128
130,Utah Jazz,109,Milwaukee Bucks,95
131,Dallas Mavericks,84,Minnesota Timberwolves,97
132,Los Angeles Lakers,93,Oklahoma City Thunder,110
133,Boston Celtics,97,Toronto Raptors,107
134,Brooklyn Nets,109,Denver Nuggets,129
135,San Antonio Spurs,105,Los Angeles Clippers,97
136,Charlotte Hornets,99,Sacramento Kings,85
137,Atlanta Hawks,86,Orlando Magic,105
138,Philadelphia 76ers,109,New York Knicks,110
139,Indiana Pacers,95,Miami Heat,113
140,Chicago Bulls,117,Cleveland Cavaliers,99
141,New Orleans Pelicans,83,Dallas Mavericks,96
142,Minnesota Timberwolves,130,Houston Rockets,142
143,Brooklyn Nets,95,Golden State Warriors,112
144,San Antonio Spurs,119,Los Angeles Lakers,98
145,Phoenix Suns,96,Milwaukee Bucks,100
146,Memphis Grizzlies,105,Denver Nuggets,98
147,Utah Jazz,102,Washington Wizards,92
148,Boston Celtics,104,Detroit Pistons,98
149,Portland Trail Blazers,106,Toronto Raptors,112
150,New Orleans Pelicans,110,Oklahoma City Thunder,118
151,Charlotte Hornets,121,Los Angeles Clippers,124
152,Milwaukee Bucks,95,Cleveland Cavaliers,102
153,Toronto Raptors,92,New York Knicks,91
154,Golden State Warriors,119,Philadelphia 76ers,108
155,Atlanta Hawks,114,Boston Celtics,98
156,Miami Heat,89,Dallas Mavericks,96
157,Indiana Pacers,117,Houston Rockets,108
158,Minnesota Timberwolves,102,Sacramento Kings,88
159,Golden State Warriors,108,Washington Wizards,112
160,Portland Trail Blazers,113,Detroit Pistons,120
161,Denver Nuggets,125,Chicago Bulls,107
162,Phoenix Suns,112,Memphis Grizzlies,130
163,Utah Jazz,106,Oklahoma City Thunder,109
164,Charlotte Hornets,109,Los Angeles Lakers,104
