,Team1,1pts,Team2,2pts
0,Detroit Pistons,102,Indiana Pacers,111
1,Miami Heat,105,Boston Celtics,110
2,Milwaukee Bucks,131,Brooklyn Nets,121
3,Chicago Bulls,105,New York Knicks,113
4,Orlando Magic,109,Toronto Raptors,121
5,Portland Trail Blazers,132,Minnesota Timberwolves,122
6,Philadelphia 76ers,102,Dallas Mavericks,122
7,Charlotte Hornets,102,Utah Jazz,111
8,Cleveland Cavaliers,113,Phoenix Suns,122
9,Los Angeles Lakers,103,Oklahoma City Thunder,119
10,Atlanta Hawks,111,San Antonio Spurs,117
11,Houston Rockets,130,Sacramento Kings,105
12,Denver Nuggets,102,Golden State Warriors,116
13,Indiana Pacers,108,Detroit Pistons,89
14,New York Knicks,100,Orlando Magic,114
15,Chicago Bulls,115,Washington Wizards,114
16,Philadelphia 76ers,122,Atlanta Hawks,130
17,Toronto Raptors,115,Brooklyn Nets,105
18,Boston Celtics,112,Miami Heat,102
19,Charlotte Hornets,115,New Orleans Pelicans,109
20,Minnesota Timberwolves,110,Dallas Mavericks,108
21,San Antonio Spurs,85,Denver Nuggets,113
22,Utah Jazz,118,Phoenix Suns,97
23,Memphis Grizzlies,89,Portland Trail Blazers,116
24,Houston Rockets,135,Los Angeles Clippers,103
25,Milwaukee Bucks,128,Philadelphia 76ers,122
26,Cleveland Cavaliers,104,Sacramento Kings,117
27,Golden State Warriors,108,Los Angeles Lakers,90
28,Toronto Raptors,111,Charlotte Hornets,113
29,Atlanta Hawks,113,Orlando Magic,149
30,San Antonio Spurs,129,Washington Wizards,112
31,New York Knicks,96,Houston Rockets,120
32,Boston Celtics,117,Indiana Pacers,97
33,Miami Heat,109,Minnesota Timberwolves,111
34,Detroit Pistons,110,Oklahoma City Thunder,123
35,Memphis Grizzlies,122,Dallas Mavericks,112
36,Sacramento Kings,98,Utah Jazz,119
37,New Orleans Pelicans,126,Phoenix Suns,133
38,Portland Trail Blazers,110,Denver Nuggets,119
39,Cleveland Cavaliers,114,Golden State Warriors,120
40,Los Angeles Lakers,122,Los Angeles Clippers,117
41,Brooklyn Nets,133,Milwaukee Bucks,128
42,Philadelphia 76ers,116,Chicago Bulls,96
43,Miami Heat,109,Toronto Raptors,117
44,San Antonio Spurs,112,Cleveland Cavaliers,90
45,Oklahoma City Thunder,132,Minnesota Timberwolves,126
46,Charlotte Hornets,104,Detroit Pistons,91
47,Brooklyn Nets,108,Indiana Pacers,96
48,Dallas Mavericks,129,Memphis Grizzlies,127
49,Phoenix Suns,113,Houston Rockets,149
50,Atlanta Hawks,107,Milwaukee Bucks,115
51,Orlando Magic,116,Boston Celtics,108
52,Washington Wizards,110,New York Knicks,113
53,Los Angeles Clippers,104,Golden State Warriors,131
54,Denver Nuggets,108,Portland Trail Blazers,115
55,New Orleans Pelicans,133,Sacramento Kings,129
56,Utah Jazz,109,Los Angeles Lakers,113
57,Charlotte Hornets,124,Cleveland Cavaliers,97
58,Memphis Grizzlies,93,Detroit Pistons,100
59,Boston Celtics,116,Washington Wizards,110
60,Philadelphia 76ers,99,Miami Heat,122
61,New York Knicks,96,Chicago Bulls,86
62,Toronto Raptors,120,Minnesota Timberwolves,100
63,Golden State Warriors,112,New Orleans Pelicans,103
64,Phoenix Suns,109,Dallas Mavericks,120
65,Denver Nuggets,108,Utah Jazz,118
66,Houston Rockets,111,Oklahoma City Thunder,112
67,Portland Trail Blazers,104,Los Angeles Lakers,101
68,Indiana Pacers,135,Atlanta Hawks,134
69,Miami Heat,94,Brooklyn Nets,113
70,Orlando Magic,122,Charlotte Hornets,114
71,Golden State Warriors,117,Memphis Grizzlies,132
72,Oklahoma City Thunder,127,Milwaukee Bucks,116
73,Detroit Pistons,115,New York Knicks,89
74,Chicago Bulls,109,Philadelphia 76ers,125
75,Dallas Mavericks,94,San Antonio Spurs,105
76,Minnesota Timberwolves,95,Denver Nuggets,99
77,Utah Jazz,137,Los Angeles Clippers,143
78,Sacramento Kings,131,Portland Trail Blazers,136
