,Team1,1pts,Team2,2pts
126,Chicago Bulls,106,Dallas Mavericks,113
127,Memphis Grizzlies,94,Houston Rockets,107
128,Minnesota Timberwolves,100,Utah Jazz,122
129,New Orleans Hornets,121,Golden State Warriors,131
130,Milwaukee Bucks,93,Los Angeles Clippers,101
131,Orlando Magic,108,Miami Heat,102
132,New Orleans Hornets,80,Denver Nuggets,93
133,Detroit Pistons,102,Indiana Pacers,106
134,Oklahoma City Thunder,115,Toronto Raptors,89
135,Charlotte Bobcats,92,Atlanta Hawks,93
136,Philadelphia 76ers,88,New York Knicks,92
137,Cleveland Cavaliers,92,Chicago Bulls,85
138,Boston Celtics,94,Houston Rockets,87
139,Golden State Warriors,116,San Antonio Spurs,147
140,Utah Jazz,100,Phoenix Suns,110
141,Washington Wizards,74,Portland Trail Blazers,76
142,Milwaukee Bucks,114,Sacramento Kings,108
143,Minnesota Timberwolves,96,Los Angeles Lakers,104
144,Chicago Bulls,98,Philadelphia 76ers,84
145,Charlotte Bobcats,71,Miami Heat,77
146,Toronto Raptors,100,New Jersey Nets,90
147,Golden State Warriors,107,Memphis Grizzlies,123
148,Boston Celtics,102,Dallas Mavericks,93
149,Milwaukee Bucks,102,Denver Nuggets,97
150,New Orleans Hornets,86,Utah Jazz,106
151,Houston Rockets,116,New York Knicks,112
152,Oklahoma City Thunder,101,Indiana Pacers,121
153,Sacramento Kings,102,Los Angeles Clippers,89
154,Detroit Pistons,79,Cleveland Cavaliers,104
155,San Antonio Spurs,114,Atlanta Hawks,119
156,Washington Wizards,92,Los Angeles Lakers,99
157,Portland Trail Blazers,87,Phoenix Suns,93
158,Orlando Magic,109,Philadelphia 76ers,93
159,Miami Heat,99,New Jersey Nets,89
160,Houston Rockets,88,Chicago Bulls,98
161,Atlanta Hawks,95,Milwaukee Bucks,98
162,Toronto Raptors,106,Minnesota Timberwolves,100
163,Dallas Mavericks,99,New Orleans Hornets,115
164,San Antonio Spurs,99,Oklahoma City Thunder,96
165,Boston Celtics,97,Utah Jazz,110
166,Memphis Grizzlies,102,Sacramento Kings,85
167,Phoenix Suns,133,Golden State Warriors,131
168,Charlotte Bobcats,95,Washington Wizards,86
169,Indiana Pacers,98,Detroit Pistons,83
170,Denver Nuggets,104,New York Knicks,109
171,Los Angeles Clippers,96,Dallas Mavericks,106
172,Orlando Magic,84,Atlanta Hawks,86
173,Denver Nuggets,99,Boston Celtics,113
