,Team1,1pts,Team2,2pts
0,Houston Rockets,116,Brooklyn Nets,123
1,Cleveland Cavaliers,95,Indiana Pacers,102
2,Milwaukee Bucks,123,Orlando Magic,91
3,New York Knicks,102,Boston Celtics,104
4,Detroit Pistons,106,Chicago Bulls,112
5,Los Angeles Lakers,119,Dallas Mavericks,110
6,Utah Jazz,101,Sacramento Kings,102
7,San Antonio Spurs,127,Golden State Warriors,110
8,New Orleans Pelicans,104,Oklahoma City Thunder,115
9,Brooklyn Nets,109,Detroit Pistons,113
10,Denver Nuggets,91,Orlando Magic,87
11,Phoenix Suns,114,Memphis Grizzlies,105
12,Toronto Raptors,105,Milwaukee Bucks,115
13,Minnesota Timberwolves,131,Washington Wizards,109
14,Charlotte Hornets,93,Golden State Warriors,87
15,Philadelphia 76ers,129,Portland Trail Blazers,128
16,Chicago Bulls,95,Indiana Pacers,108
17,Houston Rockets,100,Miami Heat,129
18,Sacramento Kings,113,New York Knicks,92
19,Los Angeles Lakers,103,San Antonio Spurs,96
20,Dallas Mavericks,131,Cleveland Cavaliers,111
21,Utah Jazz,94,Los Angeles Clippers,105
22,Detroit Pistons,99,Washington Wizards,115
23,New Orleans Pelicans,125,Brooklyn Nets,135
24,Houston Rockets,107,Memphis Grizzlies,100
25,Milwaukee Bucks,134,Minnesota Timberwolves,106
26,Philadelphia 76ers,109,Phoenix Suns,114
27,Portland Trail Blazers,118,Golden State Warriors,127
28,Indiana Pacers,120,Charlotte Hornets,122
29,Boston Celtics,119,Cleveland Cavaliers,113
30,San Antonio Spurs,100,Atlanta Hawks,108
31,Los Angeles Lakers,118,Chicago Bulls,112
32,Orlando Magic,94,Oklahoma City Thunder,102
33,Miami Heat,89,Denver Nuggets,109
34,New York Knicks,102,Detroit Pistons,122
35,Washington Wizards,106,Indiana Pacers,121
36,Chicago Bulls,113,Atlanta Hawks,93
37,Golden State Warriors,112,Houston Rockets,129
38,Sacramento Kings,120,Toronto Raptors,124
39,Minnesota Timberwolves,121,Memphis Grizzlies,137
40,Orlando Magic,106,Dallas Mavericks,107
41,Philadelphia 76ers,104,Utah Jazz,106
42,Milwaukee Bucks,129,Los Angeles Clippers,124
43,Boston Celtics,108,Charlotte Hornets,87
44,Oklahoma City Thunder,112,San Antonio Spurs,121
45,Miami Heat,124,Phoenix Suns,108
46,Portland Trail Blazers,101,Los Angeles Clippers,107
47,Detroit Pistons,106,Indiana Pacers,112
48,Memphis Grizzlies,86,Orlando Magic,118
49,Cleveland Cavaliers,113,Washington Wizards,100
50,Sacramento Kings,121,Atlanta Hawks,109
51,Golden State Warriors,119,Minnesota Timberwolves,125
52,Toronto Raptors,122,New Orleans Pelicans,104
53,New York Knicks,106,Dallas Mavericks,102
54,Philadelphia 76ers,97,Denver Nuggets,100
55,Milwaukee Bucks,100,Utah Jazz,103
56,Brooklyn Nets,119,Portland Trail Blazers,115
57,Miami Heat,80,Los Angeles Lakers,95
58,Boston Celtics,135,San Antonio Spurs,115
59,New Orleans Pelicans,115,Charlotte Hornets,110
60,Houston Rockets,117,Chicago Bulls,94
61,Dallas Mavericks,138,Memphis Grizzlies,122
62,Golden State Warriors,108,Oklahoma City Thunder,114
63,Denver Nuggets,100,Minnesota Timberwolves,98
64,Indiana Pacers,109,Orlando Magic,102
65,Charlotte Hornets,106,Philadelphia 76ers,114
66,Milwaukee Bucks,121,Oklahoma City Thunder,119
67,Cleveland Cavaliers,108,New York Knicks,87
68,Brooklyn Nets,112,Phoenix Suns,138
69,Atlanta Hawks,113,Portland Trail Blazers,124
70,Toronto Raptors,113,Los Angeles Lakers,104
71,Minnesota Timberwolves,120,Detroit Pistons,114
72,Dallas Mavericks,106,Boston Celtics,116
73,Memphis Grizzlies,113,San Antonio Spurs,109
74,Houston Rockets,122,New Orleans Pelicans,116
75,Utah Jazz,122,Golden State Warriors,108
76,Toronto Raptors,88,Los Angeles Clippers,98
77,Oklahoma City Thunder,85,Indiana Pacers,111
78,Cleveland Cavaliers,97,Philadelphia 76ers,98
79,Detroit Pistons,108,Miami Heat,117
80,New York Knicks,102,Chicago Bulls,120
