,Team1,1pts,Team2,2pts
0,Orlando Magic,125,Toronto Raptors,116
1,New Orleans Hornets,87,Boston Celtics,97
2,Chicago Bulls,87,Miami Heat,95
3,Portland Trail Blazers,83,Oklahoma City Thunder,74
4,Memphis Grizzlies,123,Denver Nuggets,133
5,Minnesota Timberwolves,112,Phoenix Suns,120
6,Atlanta Hawks,110,Los Angeles Lakers,118
7,New Jersey Nets,68,Charlotte Bobcats,79
8,New Orleans Hornets,111,New York Knicks,117
9,Houston Rockets,113,Utah Jazz,96
10,Memphis Grizzlies,116,Sacramento Kings,127
11,Minnesota Timberwolves,90,Los Angeles Clippers,93
12,Washington Wizards,90,Cleveland Cavaliers,102
13,Denver Nuggets,111,Indiana Pacers,93
14,Boston Celtics,105,Philadelphia 76ers,74
15,Orlando Magic,80,Detroit Pistons,85
16,Phoenix Suns,104,Miami Heat,96
17,Milwaukee Bucks,81,Chicago Bulls,83
18,Los Angeles Lakers,101,Oklahoma City Thunder,98
19,Utah Jazz,85,Dallas Mavericks,96
20,Atlanta Hawks,97,Portland Trail Blazers,91
21,Phoenix Suns,100,Orlando Magic,122
22,Detroit Pistons,99,Toronto Raptors,110
23,Miami Heat,93,Washington Wizards,89
24,Denver Nuggets,122,New Jersey Nets,94
25,Indiana Pacers,101,New York Knicks,89
26,Boston Celtics,92,Minnesota Timberwolves,90
27,Los Angeles Lakers,103,Houston Rockets,102
28,Dallas Mavericks,107,New Orleans Hornets,114
29,Atlanta Hawks,113,Sacramento Kings,105
30,Memphis Grizzlies,105,Golden State Warriors,113
31,Chicago Bulls,86,Cleveland Cavaliers,85
32,San Antonio Spurs,99,Utah Jazz,113
33,Atlanta Hawks,83,Charlotte Bobcats,103
34,Washington Wizards,86,Indiana Pacers,102
35,Detroit Pistons,103,Orlando Magic,110
36,New Jersey Nets,94,Philadelphia 76ers,97
37,Phoenix Suns,110,Boston Celtics,103
38,Denver Nuggets,88,Miami Heat,96
39,Milwaukee Bucks,87,Minnesota Timberwolves,72
40,Toronto Raptors,107,New Orleans Hornets,90
41,Cleveland Cavaliers,100,New York Knicks,91
42,Oklahoma City Thunder,94,Houston Rockets,105
43,Los Angeles Clippers,118,Golden State Warriors,90
44,Memphis Grizzlies,98,Los Angeles Lakers,114
45,San Antonio Spurs,84,Portland Trail Blazers,96
46,Denver Nuggets,100,Atlanta Hawks,125
47,Boston Celtics,86,New Jersey Nets,76
48,Charlotte Bobcats,90,Chicago Bulls,93
49,Toronto Raptors,101,Dallas Mavericks,129
50,New York Knicks,87,Milwaukee Bucks,102
51,Sacramento Kings,104,Utah Jazz,99
52,Memphis Grizzlies,110,Los Angeles Clippers,113
53,Philadelphia 76ers,81,Detroit Pistons,88
54,Phoenix Suns,102,Washington Wizards,90
55,Orlando Magic,74,Oklahoma City Thunder,102
56,Minnesota Timberwolves,93,Portland Trail Blazers,116
57,Golden State Warriors,107,Sacramento Kings,120
58,New Orleans Hornets,88,Los Angeles Lakers,104
59,Phoenix Suns,119,Philadelphia 76ers,115
60,Utah Jazz,95,New York Knicks,93
61,Toronto Raptors,124,San Antonio Spurs,131
62,Minnesota Timberwolves,105,Golden State Warriors,146
63,New Orleans Hornets,112,Los Angeles Clippers,84
64,Orlando Magic,93,Charlotte Bobcats,81
65,Washington Wizards,76,Miami Heat,90
66,Denver Nuggets,90,Chicago Bulls,89
67,Portland Trail Blazers,93,Memphis Grizzlies,79
68,Houston Rockets,103,Dallas Mavericks,121
69,Oklahoma City Thunder,98,Sacramento Kings,101
70,Golden State Warriors,94,Indiana Pacers,108
71,Chicago Bulls,89,Toronto Raptors,99
72,Utah Jazz,86,Boston Celtics,105
73,Charlotte Bobcats,75,Detroit Pistons,98
74,Philadelphia 76ers,82,New Jersey Nets,79
75,Atlanta Hawks,114,New York Knicks,101
76,Denver Nuggets,102,Milwaukee Bucks,108
77,Portland Trail Blazers,107,Minnesota Timberwolves,84
78,Cleveland Cavaliers,102,Orlando Magic,93
79,Memphis Grizzlies,79,Houston Rockets,104
80,Dallas Mavericks,83,San Antonio Spurs,92
81,Oklahoma City Thunder,83,Los Angeles Clippers,79
82,New Orleans Hornets,104,Phoenix Suns,124
83,Cleveland Cavaliers,111,Miami Heat,104
84,Phoenix Suns,102,Los Angeles Lakers,121
85,New Jersey Nets,72,Orlando Magic,88
86,Utah Jazz,112,Philadelphia 76ers,90
87,Golden State Warriors,121,New York Knicks,107
88,Atlanta Hawks,97,Boston Celtics,86
89,Dallas Mavericks,89,Minnesota Timberwolves,77
90,Portland Trail Blazers,86,New Orleans Hornets,78
91,Houston Rockets,100,Sacramento Kings,109
92,Los Angeles Lakers,79,Denver Nuggets,105
93,Toronto Raptors,104,Los Angeles Clippers,89
94,New Orleans Hornets,98,Atlanta Hawks,121
95,Portland Trail Blazers,80,Charlotte Bobcats,74
96,Boston Celtics,104,Indiana Pacers,113
97,Detroit Pistons,106,Washington Wizards,103
98,Utah Jazz,103,Cleveland Cavaliers,107
99,New Jersey Nets,80,Miami Heat,81
100,Philadelphia 76ers,88,Chicago Bulls,94
101,Minnesota Timberwolves,87,Memphis Grizzlies,97
102,Golden State Warriors,125,Milwaukee Bucks,129
103,Oklahoma City Thunder,101,San Antonio Spurs,98
104,Dallas Mavericks,95,Detroit Pistons,90
105,Los Angeles Clippers,101,Oklahoma City Thunder,93
106,Toronto Raptors,100,Phoenix Suns,101
107,Houston Rockets,101,Los Angeles Lakers,91
108,Portland Trail Blazers,95,Atlanta Hawks,99
109,Charlotte Bobcats,91,Orlando Magic,97
110,Dallas Mavericks,115,Milwaukee Bucks,113
111,Golden State Warriors,108,Cleveland Cavaliers,114
112,Oklahoma City Thunder,100,Miami Heat,87
113,Indiana Pacers,91,New Jersey Nets,83
114,Los Angeles Clippers,102,New Orleans Hornets,110
115,Phoenix Suns,111,Houston Rockets,105
116,Toronto Raptors,112,Denver Nuggets,130
117,Chicago Bulls,101,Sacramento Kings,87
118,Detroit Pistons,93,Los Angeles Lakers,106
119,Miami Heat,90,Atlanta Hawks,105
120,New York Knicks,110,Indiana Pacers,103
121,Oklahoma City Thunder,94,Orlando Magic,108
122,Charlotte Bobcats,84,Philadelphia 76ers,86
123,Cleveland Cavaliers,91,Washington Wizards,108
124,Golden State Warriors,95,Boston Celtics,109
125,Los Angeles Clippers,91,Memphis Grizzlies,106
126,New Jersey Nets,85,Milwaukee Bucks,99
127,Houston Rockets,97,Minnesota Timberwolves,84
128,Toronto Raptors,91,Utah Jazz,104
129,San Antonio Spurs,94,Dallas Mavericks,99
130,Detroit Pistons,81,Portland Trail Blazers,87
131,Phoenix Suns,103,New Orleans Hornets,110
132,Utah Jazz,90,San Antonio Spurs,83
133,Chicago Bulls,93,Los Angeles Lakers,108
134,Cleveland Cavaliers,105,Indiana Pacers,95
135,Memphis Grizzlies,102,Philadelphia 76ers,97
136,Miami Heat,113,Toronto Raptors,120
137,Houston Rockets,103,Atlanta Hawks,105
138,Orlando Magic,83,Boston Celtics,78
139,Washington Wizards,108,Oklahoma City Thunder,127
140,Sacramento Kings,102,Dallas Mavericks,104
141,Charlotte Bobcats,88,Milwaukee Bucks,95
142,Portland Trail Blazers,94,Golden State Warriors,108
143,Denver Nuggets,99,Los Angeles Clippers,106
144,New York Knicks,98,New Jersey Nets,91
145,Philadelphia 76ers,91,Cleveland Cavaliers,97
146,Milwaukee Bucks,103,Memphis Grizzlies,98
147,Atlanta Hawks,88,New Orleans Hornets,96
148,Sacramento Kings,106,Houston Rockets,113
149,Washington Wizards,84,San Antonio Spurs,106
150,Chicago Bulls,93,Denver Nuggets,112
151,Detroit Pistons,97,Utah Jazz,100
152,Minnesota Timberwolves,78,Portland Trail Blazers,106
153,Orlando Magic,104,Toronto Raptors,96
154,Boston Celtics,107,New York Knicks,105
155,Indiana Pacers,88,Charlotte Bobcats,104
156,New Orleans Hornets,101,Miami Heat,102
157,Detroit Pistons,91,Phoenix Suns,117
158,Oklahoma City Thunder,85,Los Angeles Lakers,101
159,Sacramento Kings,105,Memphis Grizzlies,116
160,Milwaukee Bucks,98,San Antonio Spurs,112
161,Chicago Bulls,98,Portland Trail Blazers,122
162,Minnesota Timberwolves,87,Los Angeles Clippers,91
163,Indiana Pacers,112,Toronto Raptors,123
164,Philadelphia 76ers,107,Washington Wizards,108
165,Golden State Warriors,111,Dallas Mavericks,103
166,New Jersey Nets,87,Denver Nuggets,101
167,Oklahoma City Thunder,104,Utah Jazz,94
168,New York Knicks,90,Los Angeles Lakers,100
169,Toronto Raptors,81,Charlotte Bobcats,116
170,Los Angeles Clippers,73,Indiana Pacers,86
171,Philadelphia 76ers,110,Boston Celtics,113
172,Miami Heat,99,Orlando Magic,98
173,Cleveland Cavaliers,98,Detroit Pistons,88
174,Denver Nuggets,124,Minnesota Timberwolves,111
175,Milwaukee Bucks,99,New Orleans Hornets,102
176,Dallas Mavericks,130,Houston Rockets,99
177,Golden State Warriors,104,San Antonio Spurs,118
178,Memphis Grizzlies,111,Phoenix Suns,126
179,New Jersey Nets,83,Portland Trail Blazers,93
180,New York Knicks,97,Sacramento Kings,111
181,Orlando Magic,93,Atlanta Hawks,76
182,Chicago Bulls,86,Utah Jazz,105
183,Cleveland Cavaliers,87,Charlotte Bobcats,94
184,Washington Wizards,94,Miami Heat,84
185,Toronto Raptors,103,Boston Celtics,116
186,Atlanta Hawks,100,Philadelphia 76ers,86
187,Los Angeles Clippers,104,Detroit Pistons,96
188,Dallas Mavericks,113,Indiana Pacers,92
189,San Antonio Spurs,92,Houston Rockets,84
190,New York Knicks,125,Denver Nuggets,128
191,Phoenix Suns,120,Minnesota Timberwolves,95
192,Milwaukee Bucks,90,Oklahoma City Thunder,108
193,Memphis Grizzlies,106,Portland Trail Blazers,96
194,New Jersey Nets,96,Sacramento Kings,109
195,Charlotte Bobcats,92,Washington Wizards,76
196,Dallas Mavericks,95,Cleveland Cavaliers,111
197,Orlando Magic,100,Milwaukee Bucks,98
198,Portland Trail Blazers,92,Utah Jazz,108
199,Los Angeles Lakers,130,Golden State Warriors,97
200,Atlanta Hawks,88,Detroit Pistons,94
201,Phoenix Suns,113,Toronto Raptors,94
202,Memphis Grizzlies,88,Los Angeles Clippers,98
203,Boston Celtics,92,Miami Heat,85
204,Orlando Magic,114,New York Knicks,102
