,Team1,1pts,Team2,2pts
0,New York Knicks,101,Orlando Magic,90
1,Dallas Mavericks,95,Atlanta Hawks,100
2,Philadelphia 76ers,98,Miami Heat,125
3,Washington Wizards,105,Toronto Raptors,96
4,Cleveland Cavaliers,99,Boston Celtics,103
5,Denver Nuggets,110,Milwaukee Bucks,98
6,Detroit Pistons,86,New Orleans Pelicans,109
7,Indiana Pacers,99,San Antonio Spurs,100
8,Minnesota Timberwolves,107,Utah Jazz,80
9,Houston Rockets,122,Los Angeles Clippers,103
10,Brooklyn Nets,109,Sacramento Kings,100
11,Golden State Warriors,87,Chicago Bulls,94
12,Charlotte Hornets,103,Phoenix Suns,120
13,Oklahoma City Thunder,109,Portland Trail Blazers,114
14,Cleveland Cavaliers,135,Atlanta Hawks,130
15,Miami Heat,99,Orlando Magic,110
16,New York Knicks,102,Philadelphia 76ers,105
17,Toronto Raptors,114,Washington Wizards,106
18,Los Angeles Clippers,101,Milwaukee Bucks,112
19,Memphis Grizzlies,100,Dallas Mavericks,104
20,Oklahoma City Thunder,111,Phoenix Suns,118
21,Brooklyn Nets,97,Utah Jazz,112
22,San Antonio Spurs,101,New Orleans Pelicans,98
23,Boston Celtics,115,Los Angeles Lakers,95
24,Detroit Pistons,136,Philadelphia 76ers,106
25,Cleveland Cavaliers,92,Miami Heat,120
26,Toronto Raptors,94,Milwaukee Bucks,101
27,Los Angeles Clippers,101,Chicago Bulls,91
28,Charlotte Hornets,112,Denver Nuggets,102
29,Memphis Grizzlies,108,Houston Rockets,123
30,Minnesota Timberwolves,90,San Antonio Spurs,97
31,Brooklyn Nets,116,Portland Trail Blazers,130
32,Indiana Pacers,97,Atlanta Hawks,96
33,Golden State Warriors,112,New York Knicks,105
34,Boston Celtics,106,Phoenix Suns,109
35,Orlando Magic,114,Washington Wizards,115
36,Utah Jazz,110,Sacramento Kings,109
37,Oklahoma City Thunder,89,Dallas Mavericks,104
38,New Orleans Pelicans,105,Los Angeles Lakers,97
39,Miami Heat,106,Cleveland Cavaliers,98
40,New York Knicks,113,Orlando Magic,105
41,Milwaukee Bucks,112,Philadelphia 76ers,98
42,Golden State Warriors,119,Atlanta Hawks,111
43,Chicago Bulls,95,Detroit Pistons,109
44,Indiana Pacers,88,Charlotte Hornets,100
45,Brooklyn Nets,122,Memphis Grizzlies,109
46,Houston Rockets,110,San Antonio Spurs,112
47,Sacramento Kings,96,Denver Nuggets,108
48,New Orleans Pelicans,83,Utah Jazz,88
49,Boston Celtics,102,Los Angeles Clippers,116
50,Portland Trail Blazers,126,Oklahoma City Thunder,121
51,Los Angeles Lakers,111,Dallas Mavericks,122
52,Washington Wizards,131,Phoenix Suns,127
53,Chicago Bulls,91,Orlando Magic,98
54,Brooklyn Nets,105,Atlanta Hawks,110
55,Charlotte Hornets,101,Miami Heat,108
56,Utah Jazz,115,Houston Rockets,108
57,Detroit Pistons,98,Indiana Pacers,115
58,New York Knicks,93,Milwaukee Bucks,104
59,Los Angeles Clippers,91,Minnesota Timberwolves,107
60,Toronto Raptors,94,New Orleans Pelicans,87
61,Sacramento Kings,104,San Antonio Spurs,114
62,Washington Wizards,123,Denver Nuggets,113
63,Boston Celtics,99,Golden State Warriors,86
64,Cleveland Cavaliers,101,Detroit Pistons,106
65,Los Angeles Clippers,114,Memphis Grizzlies,98
66,San Antonio Spurs,92,Oklahoma City Thunder,102
67,Philadelphia 76ers,108,Portland Trail Blazers,114
68,Los Angeles Lakers,122,Phoenix Suns,110
69,Orlando Magic,81,Charlotte Hornets,121
70,Toronto Raptors,99,Atlanta Hawks,105
71,Houston Rockets,115,Chicago Bulls,94
72,Indiana Pacers,85,Milwaukee Bucks,99
73,Golden State Warriors,102,Minnesota Timberwolves,103
74,Brooklyn Nets,96,Dallas Mavericks,105
75,Boston Celtics,99,Denver Nuggets,119
76,Washington Wizards,130,Sacramento Kings,122
77,Utah Jazz,104,Oklahoma City Thunder,112
78,Philadelphia 76ers,100,Los Angeles Clippers,112
79,New York Knicks,92,Detroit Pistons,112
80,New Orleans Pelicans,125,Charlotte Hornets,122
81,Cleveland Cavaliers,116,Orlando Magic,104
82,Toronto Raptors,89,Miami Heat,104
83,Minnesota Timberwolves,95,Milwaukee Bucks,102
84,Golden State Warriors,85,San Antonio Spurs,107
85,Phoenix Suns,100,Dallas Mavericks,98
86,Atlanta Hawks,107,Memphis Grizzlies,90
87,Washington Wizards,125,Portland Trail Blazers,124
88,Denver Nuggets,105,Sacramento Kings,92
89,Chicago Bulls,80,Boston Celtics,100
90,New York Knicks,112,Brooklyn Nets,120
91,Miami Heat,98,Indiana Pacers,102
92,Cleveland Cavaliers,112,Houston Rockets,117
93,Portland Trail Blazers,110,Phoenix Suns,101
94,Philadelphia 76ers,118,Los Angeles Lakers,116
95,Chicago Bulls,115,Charlotte Hornets,109
96,Dallas Mavericks,78,Toronto Raptors,100
97,Milwaukee Bucks,93,Memphis Grizzlies,113
98,Washington Wizards,104,Minnesota Timberwolves,119
99,Atlanta Hawks,99,San Antonio Spurs,107
100,Los Angeles Clippers,108,Utah Jazz,114
101,Los Angeles Lakers,101,Denver Nuggets,129
102,Orlando Magic,115,Sacramento Kings,120
103,Detroit Pistons,96,Cleveland Cavaliers,128
104,Oklahoma City Thunder,122,Brooklyn Nets,104
105,Indiana Pacers,81,New York Knicks,87
106,Portland Trail Blazers,77,New Orleans Pelicans,100
107,Philadelphia 76ers,104,Golden State Warriors,106
108,Charlotte Hornets,77,Indiana Pacers,98
109,Dallas Mavericks,112,Washington Wizards,107
110,Minnesota Timberwolves,104,Boston Celtics,117
111,Utah Jazz,97,Detroit Pistons,83
112,New Orleans Pelicans,112,Miami Heat,120
113,Memphis Grizzlies,98,Chicago Bulls,91
114,Los Angeles Lakers,100,Houston Rockets,139
115,Portland Trail Blazers,110,San Antonio Spurs,106
116,Sacramento Kings,107,Phoenix Suns,101
117,Milwaukee Bucks,97,Los Angeles Clippers,96
118,Utah Jazz,83,Cleveland Cavaliers,91
119,Oklahoma City Thunder,123,Toronto Raptors,102
120,Memphis Grizzlies,103,Atlanta Hawks,91
121,Brooklyn Nets,121,New York Knicks,110
122,Los Angeles Clippers,114,Denver Nuggets,129
123,Orlando Magic,92,Golden State Warriors,122
124,Dallas Mavericks,74,Philadelphia 76ers,116
125,Chicago Bulls,107,Washington Wizards,112
126,Boston Celtics,98,Brooklyn Nets,95
127,Toronto Raptors,87,Detroit Pistons,75
128,Minnesota Timberwolves,105,Miami Heat,123
129,Houston Rockets,112,New Orleans Pelicans,128
130,Orlando Magic,109,Phoenix Suns,103
131,Milwaukee Bucks,107,Los Angeles Lakers,103
132,Sacramento Kings,94,Oklahoma City Thunder,110
133,Portland Trail Blazers,113,Atlanta Hawks,97
134,Washington Wizards,93,Charlotte Hornets,98
135,Cleveland Cavaliers,78,Los Angeles Clippers,108
136,Utah Jazz,86,Chicago Bulls,95
137,San Antonio Spurs,96,Memphis Grizzlies,104
138,Houston Rockets,109,Denver Nuggets,105
139,Milwaukee Bucks,92,Golden State Warriors,117
140,Dallas Mavericks,111,Brooklyn Nets,104
141,Boston Celtics,99,Philadelphia 76ers,105
142,Phoenix Suns,95,Detroit Pistons,112
143,Portland Trail Blazers,115,Miami Heat,104
144,Minnesota Timberwolves,109,New Orleans Pelicans,123
145,Indiana Pacers,91,Toronto Raptors,116
146,Sacramento Kings,102,San Antonio Spurs,118
147,Cleveland Cavaliers,125,Los Angeles Lakers,120
148,Atlanta Hawks,90,Charlotte Hornets,105
149,Utah Jazz,100,Indiana Pacers,107
150,Philadelphia 76ers,109,Orlando Magic,112
151,Washington Wizards,102,Boston Celtics,110
152,Denver Nuggets,124,Houston Rockets,125
153,Golden State Warriors,111,Oklahoma City Thunder,95
154,New York Knicks,105,Los Angeles Clippers,114
155,Chicago Bulls,120,Toronto Raptors,122
156,Detroit Pistons,96,Brooklyn Nets,98
157,Phoenix Suns,97,Miami Heat,112
158,Memphis Grizzlies,82,New Orleans Pelicans,95
159,Golden State Warriors,112,Dallas Mavericks,87
160,San Antonio Spurs,100,Minnesota Timberwolves,93
161,Milwaukee Bucks,93,Portland Trail Blazers,90
162,Los Angeles Clippers,133,Los Angeles Lakers,109
163,Charlotte Hornets,109,Orlando Magic,102
164,Indiana Pacers,100,Boston Celtics,109
165,Detroit Pistons,95,Chicago Bulls,117
166,Philadelphia 76ers,97,Oklahoma City Thunder,122
167,Atlanta Hawks,100,Washington Wizards,104
168,Cleveland Cavaliers,113,Denver Nuggets,126
169,Milwaukee Bucks,116,Sacramento Kings,98
170,New York Knicks,101,Utah Jazz,108
171,Phoenix Suns,98,Brooklyn Nets,126
172,Toronto Raptors,101,Miami Heat,84
173,Los Angeles Clippers,95,Dallas Mavericks,97
174,Memphis Grizzlies,90,San Antonio Spurs,97
175,New York Knicks,95,Portland Trail Blazers,110
176,Cleveland Cavaliers,112,Charlotte Hornets,105
177,Denver Nuggets,125,Indiana Pacers,117
178,Detroit Pistons,87,Orlando Magic,115
179,Brooklyn Nets,108,Washington Wizards,129
180,Phoenix Suns,120,Boston Celtics,130
181,Philadelphia 76ers,117,Chicago Bulls,107
182,New Orleans Pelicans,107,Houston Rockets,117
183,Atlanta Hawks,97,Milwaukee Bucks,100
184,Sacramento Kings,100,Golden State Warriors,114
185,Minnesota Timberwolves,119,Los Angeles Lakers,130
186,Utah Jazz,95,Los Angeles Clippers,108
187,Washington Wizards,127,Cleveland Cavaliers,115
188,Toronto Raptors,94,Dallas Mavericks,86
189,New York Knicks,98,San Antonio Spurs,106
190,Minnesota Timberwolves,100,Portland Trail Blazers,112
191,Brooklyn Nets,107,Atlanta Hawks,92
192,Phoenix Suns,106,Charlotte Hornets,120
193,Oklahoma City Thunder,125,Houston Rockets,137
194,Sacramento Kings,98,Los Angeles Clippers,97
195,Chicago Bulls,109,Milwaukee Bucks,94
196,Miami Heat,108,Boston Celtics,112
197,Philadelphia 76ers,94,Indiana Pacers,107
198,New Orleans Pelicans,115,Denver Nuggets,90
