,Team1,1pts,Team2,2pts
0,Boston Celtics,95,Cleveland Cavaliers,89
1,Washington Wizards,102,Dallas Mavericks,91
2,Houston Rockets,87,Portland Trail Blazers,96
3,Los Angeles Clippers,92,Los Angeles Lakers,99
4,Indiana Pacers,109,Atlanta Hawks,120
5,Cleveland Cavaliers,91,Toronto Raptors,101
6,Philadelphia 76ers,106,Orlando Magic,120
7,Charlotte Bobcats,59,Boston Celtics,92
8,New York Knicks,93,Miami Heat,115
9,Sacramento Kings,89,Oklahoma City Thunder,102
10,New Orleans Hornets,96,San Antonio Spurs,113
11,New Jersey Nets,93,Minnesota Timberwolves,95
12,Detroit Pistons,96,Memphis Grizzlies,74
13,Phoenix Suns,109,Los Angeles Clippers,107
14,Houston Rockets,108,Golden State Warriors,107
15,Utah Jazz,105,Denver Nuggets,114
16,San Antonio Spurs,85,Chicago Bulls,92
17,Denver Nuggets,97,Portland Trail Blazers,94
18,New York Knicks,100,Charlotte Bobcats,102
19,Milwaukee Bucks,86,Philadelphia 76ers,99
20,Washington Wizards,89,Atlanta Hawks,100
21,Chicago Bulls,90,Boston Celtics,118
22,Sacramento Kings,92,New Orleans Hornets,97
23,Orlando Magic,95,New Jersey Nets,85
24,Cleveland Cavaliers,104,Minnesota Timberwolves,87
25,Toronto Raptors,107,Memphis Grizzlies,115
26,Miami Heat,96,Indiana Pacers,83
27,Oklahoma City Thunder,91,Detroit Pistons,83
28,Los Angeles Clippers,98,Utah Jazz,111
29,Golden State Warriors,101,Phoenix Suns,123
30,Dallas Mavericks,94,Los Angeles Lakers,80
31,New Jersey Nets,104,Washington Wizards,123
32,Charlotte Bobcats,79,Cleveland Cavaliers,90
33,Philadelphia 76ers,141,New York Knicks,127
34,Portland Trail Blazers,107,Houston Rockets,111
35,Detroit Pistons,85,Milwaukee Bucks,96
36,Sacramento Kings,94,San Antonio Spurs,113
37,Dallas Mavericks,93,Los Angeles Clippers,84
