,Team1,1pts,Team2,2pts
0,Cleveland Cavaliers,91,Chicago Bulls,100
1,New Orleans Hornets,92,Washington Wizards,81
2,Golden State Warriors,107,Miami Heat,114
3,New Jersey Nets,88,Minnesota Timberwolves,103
4,Oklahoma City Thunder,74,San Antonio Spurs,101
5,Sacramento Kings,86,Denver Nuggets,104
6,Dallas Mavericks,87,Milwaukee Bucks,99
7,Memphis Grizzlies,92,Utah Jazz,98
8,Indiana Pacers,92,New York Knicks,98
9,Atlanta Hawks,107,Los Angeles Clippers,98
10,Boston Celtics,93,Toronto Raptors,79
11,Dallas Mavericks,104,Cleveland Cavaliers,95
12,Houston Rockets,85,Portland Trail Blazers,100
13,Phoenix Suns,89,Sacramento Kings,94
14,Memphis Grizzlies,104,Los Angeles Lakers,85
15,Miami Heat,96,Charlotte Bobcats,82
16,Golden State Warriors,90,Orlando Magic,110
17,Minnesota Timberwolves,93,Boston Celtics,96
18,Philadelphia 76ers,77,New Orleans Hornets,84
19,Houston Rockets,106,Denver Nuggets,113
20,Detroit Pistons,97,Utah Jazz,102
21,Milwaukee Bucks,89,Miami Heat,101
22,San Antonio Spurs,115,New York Knicks,128
23,Toronto Raptors,91,Chicago Bulls,111
24,Oklahoma City Thunder,105,Memphis Grizzlies,110
25,Portland Trail Blazers,81,Dallas Mavericks,84
26,Atlanta Hawks,108,Sacramento Kings,102
27,Detroit Pistons,83,Los Angeles Lakers,108
28,Toronto Raptors,120,Cleveland Cavaliers,105
29,Chicago Bulls,94,New Jersey Nets,96
30,Milwaukee Bucks,87,Orlando Magic,97
31,Washington Wizards,97,Philadelphia 76ers,109
32,San Antonio Spurs,103,Boston Celtics,105
33,Charlotte Bobcats,108,Minnesota Timberwolves,105
34,Golden State Warriors,110,New Orleans Hornets,103
35,Portland Trail Blazers,103,Houston Rockets,100
36,Atlanta Hawks,110,Utah Jazz,87
37,Denver Nuggets,93,Los Angeles Clippers,106
38,Los Angeles Lakers,99,Phoenix Suns,95
39,Oklahoma City Thunder,99,Dallas Mavericks,95
40,Denver Nuggets,102,Sacramento Kings,122
41,San Antonio Spurs,90,Indiana Pacers,87
42,Chicago Bulls,99,Philadelphia 76ers,105
43,New Jersey Nets,77,Washington Wizards,97
44,Toronto Raptors,102,Boston Celtics,122
45,Utah Jazz,99,Memphis Grizzlies,110
46,Portland Trail Blazers,108,Minnesota Timberwolves,98
47,Houston Rockets,95,Orlando Magic,110
48,Miami Heat,101,Milwaukee Bucks,95
49,Cleveland Cavaliers,98,Golden State Warriors,116
50,New Orleans Hornets,97,Los Angeles Lakers,101
51,New York Knicks,121,Phoenix Suns,96
52,Indiana Pacers,93,Atlanta Hawks,108
53,Washington Wizards,89,Charlotte Bobcats,104
54,Milwaukee Bucks,115,New Jersey Nets,92
55,Philadelphia 76ers,109,Detroit Pistons,112
56,Boston Celtics,79,Chicago Bulls,90
57,Memphis Grizzlies,100,Oklahoma City Thunder,109
58,Orlando Magic,117,Dallas Mavericks,107
59,Utah Jazz,103,Houston Rockets,99
60,Sacramento Kings,112,Toronto Raptors,118
61,Golden State Warriors,91,Los Angeles Clippers,105
62,Minnesota Timberwolves,91,San Antonio Spurs,94
63,Cleveland Cavaliers,100,Phoenix Suns,108
64,New Orleans Hornets,96,Denver Nuggets,87
65,Miami Heat,107,Portland Trail Blazers,100
66,New York Knicks,87,Los Angeles Lakers,109
67,Memphis Grizzlies,82,Charlotte Bobcats,96
68,Houston Rockets,108,Boston Celtics,102
69,Detroit Pistons,82,Chicago Bulls,95
70,Indiana Pacers,111,Philadelphia 76ers,103
71,Sacramento Kings,133,Washington Wizards,136
72,San Antonio Spurs,107,Minnesota Timberwolves,96
73,Phoenix Suns,98,Denver Nuggets,132
74,New York Knicks,100,Portland Trail Blazers,86
75,Cleveland Cavaliers,57,Los Angeles Lakers,112
76,Chicago Bulls,91,Charlotte Bobcats,96
77,Dallas Mavericks,89,Indiana Pacers,102
78,Atlanta Hawks,104,Toronto Raptors,101
79,Sacramento Kings,95,Boston Celtics,119
80,Memphis Grizzlies,107,Detroit Pistons,99
81,San Antonio Spurs,91,Milwaukee Bucks,84
82,Orlando Magic,89,New Orleans Hornets,92
83,Oklahoma City Thunder,118,Houston Rockets,112
84,New Jersey Nets,109,Phoenix Suns,118
85,New York Knicks,125,Utah Jazz,131
86,Los Angeles Lakers,115,Golden State Warriors,110
87,Miami Heat,105,Los Angeles Clippers,111
88,Washington Wizards,97,Minnesota Timberwolves,109
89,Orlando Magic,124,Oklahoma City Thunder,125
90,Miami Heat,102,Denver Nuggets,130
91,Chicago Bulls,99,Indiana Pacers,86
92,Milwaukee Bucks,94,Philadelphia 76ers,95
93,Detroit Pistons,101,Toronto Raptors,95
94,Charlotte Bobcats,94,Boston Celtics,99
95,Sacramento Kings,93,New York Knicks,83
96,Dallas Mavericks,89,San Antonio Spurs,101
97,New Orleans Hornets,110,Houston Rockets,105
98,Cleveland Cavaliers,99,Utah Jazz,121
99,Los Angeles Clippers,112,Golden State Warriors,122
100,New Jersey Nets,88,Los Angeles Lakers,100
101,Portland Trail Blazers,111,Phoenix Suns,115
102,Houston Rockets,112,Atlanta Hawks,106
103,New Orleans Hornets,88,Charlotte Bobcats,81
104,Toronto Raptors,95,Washington Wizards,98
105,Sacramento Kings,106,Detroit Pistons,110
106,Miami Heat,96,Chicago Bulls,99
107,Dallas Mavericks,70,Memphis Grizzlies,89
