,Team1,1pts,Team2,2pts
0,Chicago Bulls,168,Atlanta Hawks,161
1,Charlotte Hornets,123,Brooklyn Nets,112
2,Washington Wizards,96,Boston Celtics,107
3,Portland Trail Blazers,117,Toronto Raptors,119
4,New Orleans Pelicans,130,Phoenix Suns,116
5,Los Angeles Clippers,116,Sacramento Kings,109
6,Milwaukee Bucks,131,Los Angeles Lakers,120
7,Detroit Pistons,129,Cleveland Cavaliers,93
8,Orlando Magic,117,Indiana Pacers,112
9,Brooklyn Nets,88,Miami Heat,117
10,Memphis Grizzlies,111,Dallas Mavericks,81
11,Golden State Warriors,120,Philadelphia 76ers,117
12,Oklahoma City Thunder,102,San Antonio Spurs,116
13,New Orleans Pelicans,120,Denver Nuggets,112
14,Los Angeles Lakers,109,Phoenix Suns,118
15,Milwaukee Bucks,111,Utah Jazz,115
16,Portland Trail Blazers,118,Charlotte Hornets,108
17,Houston Rockets,115,Boston Celtics,104
18,Atlanta Hawks,123,Chicago Bulls,118
19,New York Knicks,107,Los Angeles Clippers,128
20,Orlando Magic,93,Cleveland Cavaliers,107
21,Toronto Raptors,107,Detroit Pistons,112
22,Minnesota Timberwolves,121,Washington Wizards,135
23,Memphis Grizzlies,95,Oklahoma City Thunder,99
24,Dallas Mavericks,88,Brooklyn Nets,127
25,Atlanta Hawks,113,Miami Heat,114
26,Denver Nuggets,103,San Antonio Spurs,104
27,Milwaukee Bucks,105,Phoenix Suns,114
28,New Orleans Pelicans,115,Utah Jazz,112
29,New York Knicks,108,Sacramento Kings,115
30,Los Angeles Clippers,113,Los Angeles Lakers,105
31,Chicago Bulls,96,Indiana Pacers,105
32,Orlando Magic,106,Philadelphia 76ers,114
33,Portland Trail Blazers,111,Memphis Grizzlies,120
34,Oklahoma City Thunder,120,Minnesota Timberwolves,131
35,Houston Rockets,107,Toronto Raptors,95
36,Boston Celtics,128,Golden State Warriors,95
37,Miami Heat,91,Charlotte Hornets,84
38,Minnesota Timberwolves,114,Detroit Pistons,131
39,Dallas Mavericks,123,Washington Wizards,132
40,San Antonio Spurs,111,Atlanta Hawks,104
41,Cleveland Cavaliers,107,Brooklyn Nets,113
42,Philadelphia 76ers,107,Chicago Bulls,108
43,Utah Jazz,114,New Orleans Pelicans,104
44,New York Knicks,96,Phoenix Suns,107
45,Boston Celtics,111,Sacramento Kings,109
46,Denver Nuggets,115,Los Angeles Lakers,99
47,Indiana Pacers,98,Milwaukee Bucks,117
48,Oklahoma City Thunder,129,Portland Trail Blazers,121
49,Washington Wizards,111,Charlotte Hornets,112
50,Dallas Mavericks,106,Orlando Magic,111
51,Detroit Pistons,112,Chicago Bulls,104
52,Philadelphia 76ers,91,Houston Rockets,107
53,Utah Jazz,104,Memphis Grizzlies,114
54,Cleveland Cavaliers,110,Miami Heat,126
55,Toronto Raptors,127,New Orleans Pelicans,104
56,Denver Nuggets,105,Golden State Warriors,122
57,Oklahoma City Thunder,110,Los Angeles Clippers,118
