,Team1,1pts,Team2,2pts
0,Minnesota Timberwolves,106,Los Angeles Clippers,118
1,New York Knicks,92,Indiana Pacers,85
2,Miami Heat,102,Orlando Magic,89
3,Golden State Warriors,131,Cleveland Cavaliers,112
4,Brooklyn Nets,107,Washington Wizards,113
5,Philadelphia 76ers,95,Boston Celtics,116
6,Atlanta Hawks,100,Dallas Mavericks,123
7,Charlotte Hornets,90,San Antonio Spurs,114
8,Los Angeles Lakers,129,Sacramento Kings,113
9,Utah Jazz,107,Portland Trail Blazers,124
10,Denver Nuggets,123,Detroit Pistons,128
11,New Orleans Pelicans,109,Houston Rockets,117
12,Phoenix Suns,108,Milwaukee Bucks,129
13,Chicago Bulls,102,Toronto Raptors,129
14,Orlando Magic,112,Charlotte Hornets,100
15,New York Knicks,139,Cleveland Cavaliers,134
16,Dallas Mavericks,112,Indiana Pacers,103
17,Golden State Warriors,125,Washington Wizards,117
18,Boston Celtics,123,Atlanta Hawks,115
19,Phoenix Suns,97,Brooklyn Nets,119
20,Philadelphia 76ers,106,Miami Heat,137
21,Detroit Pistons,82,Memphis Grizzlies,96
22,Minnesota Timberwolves,109,Sacramento Kings,113
23,San Antonio Spurs,105,Los Angeles Clippers,108
24,Milwaukee Bucks,120,New Orleans Pelicans,108
25,Charlotte Hornets,110,Houston Rockets,125
26,Portland Trail Blazers,99,Denver Nuggets,127
27,San Antonio Spurs,102,Los Angeles Lakers,129
28,Phoenix Suns,108,Detroit Pistons,116
29,Orlando Magic,100,Boston Celtics,116
30,Golden State Warriors,88,Brooklyn Nets,129
31,Indiana Pacers,118,Toronto Raptors,119
32,Atlanta Hawks,127,Minnesota Timberwolves,120
33,Cleveland Cavaliers,103,Oklahoma City Thunder,109
34,Memphis Grizzlies,121,Dallas Mavericks,107
35,Denver Nuggets,98,Utah Jazz,95
36,Miami Heat,111,Los Angeles Clippers,128
37,Orlando Magic,103,New York Knicks,105
38,New Orleans Pelicans,125,Chicago Bulls,119
39,Philadelphia 76ers,101,Milwaukee Bucks,112
40,San Antonio Spurs,117,Portland Trail Blazers,125
41,Houston Rockets,121,Los Angeles Lakers,111
42,Memphis Grizzlies,107,Philadelphia 76ers,119
43,Dallas Mavericks,118,Washington Wizards,119
