,Team1,1pts,Team2,2pts
0,Washington Wizards,97,Cleveland Cavaliers,85
1,Los Angeles Lakers,91,Philadelphia 76ers,103
2,Phoenix Suns,91,Brooklyn Nets,94
3,Orlando Magic,96,Minnesota Timberwolves,93
4,Memphis Grizzlies,113,New Orleans Pelicans,104
5,Dallas Mavericks,115,Portland Trail Blazers,112
6,Golden State Warriors,116,Charlotte Hornets,99
7,Los Angeles Lakers,108,Washington Wizards,104
8,Phoenix Suns,122,Detroit Pistons,127
9,Philadelphia 76ers,87,New York Knicks,99
10,Toronto Raptors,96,Atlanta Hawks,86
11,Denver Nuggets,90,Chicago Bulls,99
12,New Orleans Pelicans,101,Houston Rockets,108
13,Milwaukee Bucks,70,San Antonio Spurs,95
14,Indiana Pacers,103,Los Angeles Clippers,91
15,Oklahoma City Thunder,95,Miami Heat,97
16,Denver Nuggets,106,Toronto Raptors,105
17,Orlando Magic,103,Utah Jazz,94
18,San Antonio Spurs,103,Memphis Grizzlies,83
19,Indiana Pacers,111,Portland Trail Blazers,123
20,Boston Celtics,114,Sacramento Kings,97
21,Brooklyn Nets,91,New York Knicks,108
22,Phoenix Suns,106,Washington Wizards,109
23,Milwaukee Bucks,95,Detroit Pistons,102
24,Los Angeles Lakers,87,Atlanta Hawks,100
25,Houston Rockets,100,Dallas Mavericks,96
26,Cleveland Cavaliers,108,New Orleans Pelicans,114
27,Denver Nuggets,108,Philadelphia 76ers,105
28,Golden State Warriors,112,Toronto Raptors,109
29,Charlotte Hornets,102,Chicago Bulls,96
30,Sacramento Kings,113,Houston Rockets,120
31,Cleveland Cavaliers,84,Miami Heat,99
32,Portland Trail Blazers,109,Minnesota Timberwolves,103
33,New York Knicks,91,Milwaukee Bucks,106
34,Boston Celtics,105,San Antonio Spurs,108
35,Indiana Pacers,119,Utah Jazz,122
36,Orlando Magic,101,Los Angeles Clippers,103
37,Phoenix Suns,93,Memphis Grizzlies,95
38,Golden State Warriors,114,Brooklyn Nets,98
39,Los Angeles Lakers,91,Detroit Pistons,111
40,Dallas Mavericks,116,Washington Wizards,104
41,Sacramento Kings,95,Oklahoma City Thunder,98
42,Detroit Pistons,84,Charlotte Hornets,104
43,San Antonio Spurs,119,Philadelphia 76ers,68
44,Washington Wizards,114,Miami Heat,103
45,Dallas Mavericks,104,New York Knicks,97
46,Los Angeles Lakers,93,Toronto Raptors,102
47,Phoenix Suns,103,Chicago Bulls,101
48,Portland Trail Blazers,88,Milwaukee Bucks,90
49,Los Angeles Clippers,110,Minnesota Timberwolves,106
50,Boston Celtics,111,New Orleans Pelicans,93
51,Portland Trail Blazers,100,Cleveland Cavaliers,105
52,Golden State Warriors,131,Indiana Pacers,123
53,Houston Rockets,105,Brooklyn Nets,110
54,Oklahoma City Thunder,125,Memphis Grizzlies,88
55,Orlando Magic,85,Denver Nuggets,74
56,Utah Jazz,106,Sacramento Kings,114
57,Chicago Bulls,100,Boston Celtics,105
58,Miami Heat,81,Charlotte Hornets,99
59,Houston Rockets,109,Washington Wizards,103
60,Memphis Grizzlies,93,Detroit Pistons,92
61,San Antonio Spurs,94,Toronto Raptors,97
62,Los Angeles Clippers,109,Milwaukee Bucks,95
63,Los Angeles Lakers,122,Minnesota Timberwolves,123
64,Orlando Magic,104,Phoenix Suns,107
65,New York Knicks,85,Utah Jazz,106
66,Atlanta Hawks,98,Dallas Mavericks,95
67,Philadelphia 76ers,91,Brooklyn Nets,100
68,Los Angeles Clippers,80,Chicago Bulls,83
69,Atlanta Hawks,94,Oklahoma City Thunder,107
70,New York Knicks,97,Sacramento Kings,99
71,Miami Heat,83,Indiana Pacers,96
72,Cleveland Cavaliers,111,Orlando Magic,76
73,Detroit Pistons,107,Philadelphia 76ers,95
74,Golden State Warriors,124,Boston Celtics,119
75,Milwaukee Bucks,83,Toronto Raptors,90
76,Charlotte Hornets,123,Memphis Grizzlies,99
77,Washington Wizards,105,New Orleans Pelicans,107
78,Minnesota Timberwolves,108,Denver Nuggets,111
79,Oklahoma City Thunder,94,Utah Jazz,90
80,Portland Trail Blazers,106,Phoenix Suns,96
81,Los Angeles Lakers,87,San Antonio Spurs,109
82,Los Angeles Clippers,105,Brooklyn Nets,100
83,Boston Celtics,98,Charlotte Hornets,93
84,Indiana Pacers,96,Detroit Pistons,118
