Team1,Team2
Dallas Mavericks,Atlanta Hawks
Philadelphia 76ers,Charlotte Hornets
Indiana Pacers,Milwaukee Bucks
Los Angeles Clippers,Cleveland Cavaliers
Washington Wizards,Miami Heat
New York Knicks,Chicago Bulls
Houston Rockets,Oklahoma City Thunder
Minnesota Timberwolves,San Antonio Spurs
Phoenix Suns,New Orleans Pelicans
Boston Celtics,Sacramento Kings
