Team1,Team2
Portland Trail Blazers,New York Knicks
Denver Nuggets,Sacramento Kings
Chicago Bulls,Orlando Magic
Brooklyn Nets,Philadelphia 76ers
Toronto Raptors,Atlanta Hawks
Milwaukee Bucks,Cleveland Cavaliers
San Antonio Spurs,Houston Rockets
Minnesota Timberwolves,Oklahoma City Thunder
Golden State Warriors,Dallas Mavericks
Memphis Grizzlies,New Orleans Pelicans
Detroit Pistons,Los Angeles Lakers
