Team1,Team2
Toronto Raptors,Washington Wizards
Atlanta Hawks,Dallas Mavericks
Indiana Pacers,Brooklyn Nets
Charlotte Hornets,Memphis Grizzlies
Los Angeles Clippers,Minnesota Timberwolves
New Orleans Pelicans,Chicago Bulls
Cleveland Cavaliers,Denver Nuggets
Milwaukee Bucks,Phoenix Suns
Oklahoma City Thunder,Los Angeles Lakers
