Team1,Team2
Utah Jazz,Atlanta Hawks
Golden State Warriors,Dallas Mavericks
Portland Trail Blazers,Philadelphia 76ers
Houston Rockets,Memphis Grizzlies
Denver Nuggets,Los Angeles Lakers
