Team1,Team2
New Orleans Pelicans,Indiana Pacers
Chicago Bulls,Orlando Magic
Toronto Raptors,Brooklyn Nets
Milwaukee Bucks,Cleveland Cavaliers
Utah Jazz,Charlotte Hornets
Washington Wizards,Miami Heat
Minnesota Timberwolves,Oklahoma City Thunder
Detroit Pistons,Phoenix Suns
Boston Celtics,Los Angeles Clippers
