Team1,Team2
Houston Rockets,Charlotte Hornets
Washington Wizards,Chicago Bulls
Toronto Raptors,Memphis Grizzlies
Minnesota Timberwolves,Dallas Mavericks
Golden State Warriors,San Antonio Spurs
Cleveland Cavaliers,Phoenix Suns
Milwaukee Bucks,Denver Nuggets
Oklahoma City Thunder,Los Angeles Lakers
