Team1,Team2
Toronto Raptors,Orlando Magic
Los Angeles Clippers,Brooklyn Nets
Memphis Grizzlies,Indiana Pacers
Portland Trail Blazers,Washington Wizards
Detroit Pistons,Utah Jazz
Boston Celtics,Golden State Warriors
